,terms,is_set
0,"[CB,[B,setColor,I],getColor]",0.0
0,"[CK,[B,setColor,I],col]",1.0
0,"[BC,[B,setColor,I],getColor]",0.0
0,"[BK,[setColor,obj],getColor]",1.0
0,"[SK,[B,setColor,I],getColor]",0.0
0,"[KC,[B,setColor,I],col]",1.0
0,"[KB,[setColor,obj],getColor]",1.0
0,"[KS,[B,setColor,I],getColor]",0.0
0,"[KK,[setColor,obj],col]",1.0
0,"[CB,[B,setSaturation,I],getSaturation]",0.0
1,"[CB,[B,setSaturation,I],getSize]",0.0
2,"[CB,[B,setSaturation,I],getDensity]",0.0
0,"[CK,[B,setSaturation,I],int]",1.0
0,"[BC,[B,setSaturation,I],getSaturation]",0.0
1,"[BC,[B,setSaturation,I],getSize]",0.0
2,"[BC,[B,setSaturation,I],getDensity]",0.0
0,"[BK,[setSaturation,obj],getSaturation]",1.0
1,"[BK,[setSaturation,obj],getSize]",1.0
2,"[BK,[setSaturation,obj],getDensity]",1.0
0,"[SK,[B,setSaturation,I],getSaturation]",0.0
1,"[SK,[B,setSaturation,I],getSize]",0.0
2,"[SK,[B,setSaturation,I],getDensity]",0.0
0,"[KC,[B,setSaturation,I],int]",1.0
0,"[KB,[setSaturation,obj],getSaturation]",1.0
1,"[KB,[setSaturation,obj],getSize]",1.0
2,"[KB,[setSaturation,obj],getDensity]",1.0
0,"[KS,[B,setSaturation,I],getSaturation]",0.0
1,"[KS,[B,setSaturation,I],getSize]",0.0
2,"[KS,[B,setSaturation,I],getDensity]",0.0
0,"[KK,[setSaturation,obj],int]",1.0
0,"[CB,[B,setShape,I],getShape]",0.0
0,"[CK,[B,setShape,I],shp]",1.0
0,"[BC,[B,setShape,I],getShape]",0.0
0,"[BK,[setShape,obj],getShape]",1.0
0,"[SK,[B,setShape,I],getShape]",0.0
0,"[KC,[B,setShape,I],shp]",1.0
0,"[KB,[setShape,obj],getShape]",1.0
0,"[KS,[B,setShape,I],getShape]",0.0
0,"[KK,[setShape,obj],shp]",1.0
0,"[CB,[B,setSize,I],getSaturation]",0.0
1,"[CB,[B,setSize,I],getSize]",0.0
2,"[CB,[B,setSize,I],getDensity]",0.0
0,"[CK,[B,setSize,I],int]",1.0
0,"[BC,[B,setSize,I],getSaturation]",0.0
1,"[BC,[B,setSize,I],getSize]",0.0
2,"[BC,[B,setSize,I],getDensity]",0.0
0,"[BK,[setSize,obj],getSaturation]",1.0
1,"[BK,[setSize,obj],getSize]",1.0
2,"[BK,[setSize,obj],getDensity]",1.0
0,"[SK,[B,setSize,I],getSaturation]",0.0
1,"[SK,[B,setSize,I],getSize]",0.0
2,"[SK,[B,setSize,I],getDensity]",0.0
0,"[KC,[B,setSize,I],int]",1.0
