,terms,arg_types,return_type,type,count,log_prob
0,I,obj,obj,primitive,1859.0,-2.4849066497880004
1,addnn,num_num,num,primitive,1503.0,-2.4849066497880004
2,getEdge,obj,num,primitive,1503.0,-2.4849066497880004
3,getLength,obj,num,primitive,1.0,-2.4849066497880004
4,getShape,obj,shape,primitive,1.0,-2.4849066497880004
5,ifElse,bool_obj_obj,obj,primitive,1.0,-2.4849066497880004
6,isLength,obj_num,bool,primitive,1.0,-2.4849066497880004
7,isShape,obj_shape,bool,primitive,1.0,-2.4849066497880004
8,mulnn,num_num,num,primitive,2.0,-2.4849066497880004
9,setEdge,obj_num,obj,primitive,1.0,-2.4849066497880004
10,setLength,obj_num,obj,primitive,1503.0,-2.4849066497880004
11,setShape,obj_shape,obj,primitive,1.0,-2.4849066497880004
12,-1,,num,base_term,1501.0,-1.6094379124341005
13,-2,,num,base_term,3.0,-1.6094379124341005
14,0,,num,base_term,1.0,-1.6094379124341005
15,1,,num,base_term,2.0,-1.6094379124341005
16,2,,num,base_term,1.0,-1.6094379124341005
17,False,,bool,base_term,1.0,-0.6931471805599453
18,True,,bool,base_term,1.0,-0.6931471805599453
19,L1,,length,base_term,1.0,-1.791759469228055
20,L2,,length,base_term,1.0,-1.791759469228055
21,L3,,length,base_term,1.0,-1.791759469228055
22,L4,,length,base_term,1.0,-1.791759469228055
23,L5,,length,base_term,1.0,-1.791759469228055
24,L6,,length,base_term,1.0,-1.791759469228055
25,Hexa,,shape,base_term,1.0,-1.3862943611198906
26,Pent,,shape,base_term,1.0,-1.3862943611198906
27,Rect,,shape,base_term,1.0,-1.3862943611198906
28,Tria,,shape,base_term,1.0,-1.3862943611198906
29,"[B,I,I]",obj,obj,program,1.0,-2.4849066497880004
30,"[KB,I,I]",obj_obj,obj,program,1.0,-2.4849066497880004
31,"[B,[addnn,-2],getEdge]",obj,num,program,2.0,-6.579251212010101
32,"[B,[setLength,Stone(Rect,L1)],[B,[addnn,-2],getEdge]]",obj,obj,program,2.0,-12.242211692146045
33,"[KB,[setLength,Stone(Rect,L1)],[B,[addnn,-2],getEdge]]",obj_obj,obj,program,1.0,-12.242211692146045
34,"[B,I,[B,[setLength,Stone(Rect,L1)],[B,[addnn,-2],getEdge]]]",obj,obj,program,1.0,-14.727118341934046
35,"[B,[addnn,-1],getEdge]",obj,num,program,1500.0,-6.579251212010101
36,"[BK,[addnn,-1],getEdge]",obj_obj,num,program,1.0,-6.579251212010101
