,combo,total_0,total_1,total_2,total_3,total_4,total_5,total_6,total_7,total_8,total_9
0,"0,0,1,1,1,1,1,1,1",0.2888,0.2879,0.2196,0.4421,0.3627,0.3511,0.3009,0.3885,0.3543,0.1994
1,"1,1,1,1,1,1,1,1,2",0.4223,0.289,0.3264,0.4894,0.2446,0.3275,0.3219,0.3317,0.4142,0.2699
2,"0,1,2,4,4,4,4,4,4",0.2113,0.2324,0.2105,0.1942,0.1958,0.153,0.2741,0.1969,0.1573,0.2311
3,"1,1,1,1,1,1,1,4,4",0.2903,0.3222,0.2829,0.267,0.2572,0.3836,0.3846,0.3191,0.2757,0.2959
4,"2,4,4,4,4,4,4,4,4",0.211,0.2218,0.2146,0.278,0.2056,0.3257,0.2511,0.3508,0.3842,0.2794
5,"1,1,1,2,2,2,2,2,2",0.4482,0.3177,0.2671,0.2878,0.2689,0.3222,0.314,0.2432,0.3083,0.3131
6,"0,0,0,0,0,0,1,1,4",0.2266,0.2042,0.2069,0.2504,0.2155,0.2075,0.3626,0.3316,0.3161,0.2435
7,"0,0,0,0,0,1,1,1,4",0.2881,0.3713,0.2115,0.3178,0.2412,0.2073,0.281,0.2048,0.2104,0.1989
8,"1,2,2,2,2,2,2,4,4",0.1947,0.1602,0.3363,0.2028,0.1903,0.2324,0.2495,0.2336,0.2392,0.1677
9,"2,2,2,2,4,4,4,4,4",0.21,0.2191,0.1551,0.215,0.323,0.1911,0.178,0.244,0.1716,0.2598
10,"0,1,4,4,4,4,4,4,4",0.2535,0.1618,0.2241,0.2228,0.2375,0.1895,0.239,0.1705,0.2188,0.2089
11,"0,0,0,0,0,0,0,0,0",0.3247,0.3287,0.2792,0.2675,0.5871,0.3137,0.2085,0.3096,0.3091,0.23
12,"1,2,2,2,2,2,4,4,4",0.3312,0.2002,0.2562,0.2086,0.1639,0.2727,0.1932,0.2055,0.2129,0.295
13,"0,1,1,1,4,4,4,4,4",0.212,0.3133,0.1953,0.3707,0.2375,0.25,0.3681,0.2979,0.1901,0.2391
14,"0,0,0,1,1,1,1,2,2",0.2277,0.1427,0.2153,0.1894,0.3639,0.245,0.2127,0.2117,0.2125,0.1966
15,"0,1,1,1,1,1,1,2,2",0.2004,0.2274,0.2519,0.2617,0.2905,0.2784,0.2125,0.2432,0.2307,0.265
16,"0,0,0,0,4,4,4,4,4",0.1313,0.1398,0.1836,0.2785,0.1832,0.1911,0.1752,0.2585,0.2031,0.2246
17,"0,0,0,1,1,1,1,1,1",0.4254,0.3194,0.203,0.261,0.3812,0.2151,0.3133,0.2448,0.4158,0.3803
18,"0,0,0,0,0,0,0,1,1",0.3809,0.2371,0.1874,0.2592,0.308,0.4946,0.3774,0.2443,0.2746,0.2675
19,"1,1,4,4,4,4,4,4,4",0.2445,0.4715,0.2927,0.2893,0.2722,0.3252,0.2506,0.2767,0.2909,0.4393
20,"0,0,0,1,4,4,4,4,4",0.248,0.1934,0.1922,0.2832,0.2524,0.1836,0.1991,0.2282,0.254,0.2367
21,"0,0,1,1,1,1,1,2,4",0.267,0.2681,0.3065,0.3002,0.2815,0.2627,0.1789,0.24,0.2073,0.2032
22,"1,1,1,1,1,1,2,2,2",0.2506,0.2116,0.3902,0.3829,0.3633,0.437,0.3035,0.3879,0.3319,0.2289
23,"1,1,1,1,1,2,2,4,4",0.2328,0.2757,0.3536,0.182,0.2535,0.1791,0.2177,0.2662,0.3011,0.182
24,"0,1,1,1,1,1,2,2,4",0.2508,0.3192,0.2245,0.1747,0.2127,0.2115,0.1649,0.2507,0.2077,0.2678
25,"0,0,0,1,1,1,4,4,4",0.3452,0.2033,0.2082,0.2413,0.2299,0.2131,0.4352,0.2561,0.2697,0.2555
26,"0,1,1,1,1,1,2,2,2",0.2944,0.2324,0.2494,0.298,0.2457,0.2155,0.2541,0.2148,0.2007,0.2506
27,"0,0,0,1,1,1,1,2,4",0.2108,0.2753,0.2141,0.2558,0.233,0.2825,0.1976,0.2567,0.2491,0.17
28,"1,1,1,1,4,4,4,4,4",0.2738,0.2744,0.2856,0.3749,0.1759,0.4208,0.3951,0.2335,0.3463,0.2375
29,"0,0,0,1,1,1,2,4,4",0.199,0.1802,0.1911,0.2084,0.2145,0.1792,0.2587,0.2281,0.2212,0.1625
30,"0,0,0,0,0,0,0,0,2",0.2196,0.2116,0.2545,0.3506,0.1717,0.3489,0.2055,0.2068,0.18,0.3746
31,"0,0,1,1,1,1,1,1,2",0.2363,0.301,0.395,0.2028,0.2726,0.2297,0.1851,0.2891,0.3129,0.2086
32,"0,0,2,2,2,2,2,2,2",0.319,0.1958,0.2778,0.2563,0.2835,0.3515,0.2277,0.3334,0.2319,0.3084
33,"1,1,1,1,1,1,1,1,1",0.3441,0.3829,0.3136,0.3159,0.4159,0.5058,0.3465,0.3647,0.3578,0.2911
34,"0,0,0,0,0,0,1,4,4",0.2393,0.1711,0.2026,0.2098,0.2666,0.2116,0.235,0.3306,0.3625,0.213
