,pair_index,agent,recipient
0,0,"Stone(S0,O0,L1)","Stone(S0,O0,L1)"
1,1,"Stone(S0,O0,L1)","Stone(S0,O0,L2)"
2,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)"
3,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)"
4,4,"Stone(S0,O1,L1)","Stone(S0,O0,L1)"
5,5,"Stone(S0,O1,L1)","Stone(S0,O0,L2)"
6,6,"Stone(S0,O1,L1)","Stone(S0,O0,L3)"
7,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)"
8,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)"
9,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)"
10,10,"Stone(S0,O2,L1)","Stone(S0,O0,L3)"
11,11,"Stone(S0,O2,L1)","Stone(S0,O0,L4)"
12,12,"Stone(S0,O3,L1)","Stone(S0,O0,L1)"
13,13,"Stone(S0,O3,L1)","Stone(S0,O0,L2)"
14,14,"Stone(S0,O3,L1)","Stone(S0,O0,L3)"
15,15,"Stone(S0,O3,L1)","Stone(S0,O0,L4)"
16,16,"Stone(S0,O4,L1)","Stone(S0,O0,L1)"
17,17,"Stone(S0,O4,L1)","Stone(S0,O0,L2)"
18,18,"Stone(S0,O4,L1)","Stone(S0,O0,L3)"
19,19,"Stone(S0,O4,L1)","Stone(S0,O0,L4)"
20,20,"Stone(S1,O0,L1)","Stone(S0,O0,L1)"
21,21,"Stone(S1,O0,L1)","Stone(S0,O0,L2)"
22,22,"Stone(S1,O0,L1)","Stone(S0,O0,L3)"
23,23,"Stone(S1,O0,L1)","Stone(S0,O0,L4)"
24,24,"Stone(S1,O1,L1)","Stone(S0,O0,L1)"
25,25,"Stone(S1,O1,L1)","Stone(S0,O0,L2)"
26,26,"Stone(S1,O1,L1)","Stone(S0,O0,L3)"
27,27,"Stone(S1,O1,L1)","Stone(S0,O0,L4)"
28,28,"Stone(S1,O2,L1)","Stone(S0,O0,L1)"
29,29,"Stone(S1,O2,L1)","Stone(S0,O0,L2)"
30,30,"Stone(S1,O2,L1)","Stone(S0,O0,L3)"
31,31,"Stone(S1,O2,L1)","Stone(S0,O0,L4)"
32,32,"Stone(S1,O3,L1)","Stone(S0,O0,L1)"
33,33,"Stone(S1,O3,L1)","Stone(S0,O0,L2)"
34,34,"Stone(S1,O3,L1)","Stone(S0,O0,L3)"
35,35,"Stone(S1,O3,L1)","Stone(S0,O0,L4)"
36,36,"Stone(S1,O4,L1)","Stone(S0,O0,L1)"
37,37,"Stone(S1,O4,L1)","Stone(S0,O0,L2)"
38,38,"Stone(S1,O4,L1)","Stone(S0,O0,L3)"
39,39,"Stone(S1,O4,L1)","Stone(S0,O0,L4)"
40,40,"Stone(S2,O0,L1)","Stone(S0,O0,L1)"
41,41,"Stone(S2,O0,L1)","Stone(S0,O0,L2)"
42,42,"Stone(S2,O0,L1)","Stone(S0,O0,L3)"
43,43,"Stone(S2,O0,L1)","Stone(S0,O0,L4)"
44,44,"Stone(S2,O1,L1)","Stone(S0,O0,L1)"
45,45,"Stone(S2,O1,L1)","Stone(S0,O0,L2)"
46,46,"Stone(S2,O1,L1)","Stone(S0,O0,L3)"
47,47,"Stone(S2,O1,L1)","Stone(S0,O0,L4)"
48,48,"Stone(S2,O2,L1)","Stone(S0,O0,L1)"
49,49,"Stone(S2,O2,L1)","Stone(S0,O0,L2)"
50,50,"Stone(S2,O2,L1)","Stone(S0,O0,L3)"
51,51,"Stone(S2,O2,L1)","Stone(S0,O0,L4)"
52,52,"Stone(S2,O3,L1)","Stone(S0,O0,L1)"
