,terms,log_prob
0,"PM(""obj_obj_obj"")",1.0
1,"[CC,[CC,[BB,ifElse,eqObject],obj],obj]",-3.5451774444795623
2,"[CC,[CC,[BB,ifElse,[CB,[B,eqColor,getColor],getColor]],obj],obj]",-6.317766166719343
3,"[CC,[CC,[BB,ifElse,[CK,[B,eqColor,getColor],col]],obj],obj]",-5.317766166719343
4,"[CC,[CC,[BB,ifElse,[BC,[B,eqColor,getColor],getColor]],obj],obj]",-6.317766166719343
5,"[CC,[CC,[BB,ifElse,[BK,[eqColor,col],getColor]],obj],obj]",-5.317766166719343
6,"[CC,[CC,[BB,ifElse,[SK,[B,eqColor,getColor],getColor]],obj],obj]",-6.317766166719343
7,"[CC,[CC,[BB,ifElse,[KC,[B,eqColor,getColor],col]],obj],obj]",-5.317766166719343
8,"[CC,[CC,[BB,ifElse,[KB,[eqColor,col],getColor]],obj],obj]",-5.317766166719343
9,"[CC,[CC,[BB,ifElse,[KS,[B,eqColor,getColor],getColor]],obj],obj]",-6.317766166719343
10,"[CC,[CC,[BB,ifElse,[KK,[eqColor,col],col]],obj],obj]",-4.317766166719343
11,"[CC,[CC,[BB,ifElse,[CB,[B,eqDensity,getDensity],getDensity]],obj],obj]",-8.514990744055563
12,"[CC,[CC,[BB,ifElse,[CB,[B,eqDensity,getDensity],getSaturation]],obj],obj]",-8.514990744055563
13,"[CC,[CC,[BB,ifElse,[CB,[B,eqDensity,getDensity],getSize]],obj],obj]",-8.514990744055563
14,"[CC,[CC,[BB,ifElse,[CB,[B,eqDensity,getSaturation],getDensity]],obj],obj]",-8.514990744055563
15,"[CC,[CC,[BB,ifElse,[CB,[B,eqDensity,getSaturation],getSaturation]],obj],obj]",-8.514990744055563
16,"[CC,[CC,[BB,ifElse,[CB,[B,eqDensity,getSaturation],getSize]],obj],obj]",-8.514990744055563
17,"[CC,[CC,[BB,ifElse,[CB,[B,eqDensity,getSize],getDensity]],obj],obj]",-8.514990744055563
18,"[CC,[CC,[BB,ifElse,[CB,[B,eqDensity,getSize],getSaturation]],obj],obj]",-8.514990744055563
19,"[CC,[CC,[BB,ifElse,[CB,[B,eqDensity,getSize],getSize]],obj],obj]",-8.514990744055563
20,"[CC,[CC,[BB,ifElse,[CK,[B,eqDensity,getDensity],int]],obj],obj]",-6.416378455387454
21,"[CC,[CC,[BB,ifElse,[CK,[B,eqDensity,getSaturation],int]],obj],obj]",-6.416378455387454
22,"[CC,[CC,[BB,ifElse,[CK,[B,eqDensity,getSize],int]],obj],obj]",-6.416378455387454
23,"[CC,[CC,[BB,ifElse,[BC,[B,eqDensity,getDensity],getDensity]],obj],obj]",-8.514990744055563
24,"[CC,[CC,[BB,ifElse,[BC,[B,eqDensity,getDensity],getSaturation]],obj],obj]",-8.514990744055563
25,"[CC,[CC,[BB,ifElse,[BC,[B,eqDensity,getDensity],getSize]],obj],obj]",-8.514990744055563
26,"[CC,[CC,[BB,ifElse,[BC,[B,eqDensity,getSaturation],getDensity]],obj],obj]",-8.514990744055563
27,"[CC,[CC,[BB,ifElse,[BC,[B,eqDensity,getSaturation],getSaturation]],obj],obj]",-8.514990744055563
28,"[CC,[CC,[BB,ifElse,[BC,[B,eqDensity,getSaturation],getSize]],obj],obj]",-8.514990744055563
29,"[CC,[CC,[BB,ifElse,[BC,[B,eqDensity,getSize],getDensity]],obj],obj]",-8.514990744055563
30,"[CC,[CC,[BB,ifElse,[BC,[B,eqDensity,getSize],getSaturation]],obj],obj]",-8.514990744055563
31,"[CC,[CC,[BB,ifElse,[BC,[B,eqDensity,getSize],getSize]],obj],obj]",-8.514990744055563
32,"[CC,[CC,[BB,ifElse,[BK,[eqDensity,int],getDensity]],obj],obj]",-6.416378455387454
33,"[CC,[CC,[BB,ifElse,[BK,[eqDensity,int],getSaturation]],obj],obj]",-6.416378455387454
34,"[CC,[CC,[BB,ifElse,[BK,[eqDensity,int],getSize]],obj],obj]",-6.416378455387454
35,"[CC,[CC,[BB,ifElse,[SK,[B,eqDensity,getDensity],getDensity]],obj],obj]",-8.514990744055563
36,"[CC,[CC,[BB,ifElse,[SK,[B,eqDensity,getDensity],getSaturation]],obj],obj]",-8.514990744055563
37,"[CC,[CC,[BB,ifElse,[SK,[B,eqDensity,getDensity],getSize]],obj],obj]",-8.514990744055563
38,"[CC,[CC,[BB,ifElse,[SK,[B,eqDensity,getSaturation],getDensity]],obj],obj]",-8.514990744055563
39,"[CC,[CC,[BB,ifElse,[SK,[B,eqDensity,getSaturation],getSaturation]],obj],obj]",-8.514990744055563
40,"[CC,[CC,[BB,ifElse,[SK,[B,eqDensity,getSaturation],getSize]],obj],obj]",-8.514990744055563
41,"[CC,[CC,[BB,ifElse,[SK,[B,eqDensity,getSize],getDensity]],obj],obj]",-8.514990744055563
42,"[CC,[CC,[BB,ifElse,[SK,[B,eqDensity,getSize],getSaturation]],obj],obj]",-8.514990744055563
43,"[CC,[CC,[BB,ifElse,[SK,[B,eqDensity,getSize],getSize]],obj],obj]",-8.514990744055563
44,"[CC,[CC,[BB,ifElse,[KC,[B,eqDensity,getDensity],int]],obj],obj]",-6.416378455387454
45,"[CC,[CC,[BB,ifElse,[KC,[B,eqDensity,getSaturation],int]],obj],obj]",-6.416378455387454
46,"[CC,[CC,[BB,ifElse,[KC,[B,eqDensity,getSize],int]],obj],obj]",-6.416378455387454
47,"[CC,[CC,[BB,ifElse,[KB,[eqDensity,int],getDensity]],obj],obj]",-6.416378455387454
48,"[CC,[CC,[BB,ifElse,[KB,[eqDensity,int],getSaturation]],obj],obj]",-6.416378455387454
49,"[CC,[CC,[BB,ifElse,[KB,[eqDensity,int],getSize]],obj],obj]",-6.416378455387454
50,"[CC,[CC,[BB,ifElse,[KS,[B,eqDensity,getDensity],getDensity]],obj],obj]",-8.514990744055563
51,"[CC,[CC,[BB,ifElse,[KS,[B,eqDensity,getDensity],getSaturation]],obj],obj]",-8.514990744055563
52,"[CC,[CC,[BB,ifElse,[KS,[B,eqDensity,getDensity],getSize]],obj],obj]",-8.514990744055563
