,terms,log_prob
0,"[BK,I,PM(""obj_obj"")]",-1.3862943611198906
1,"[KB,I,PM(""obj_obj"")]",-1.3862943611198906
2,"[KK,I,obj]",-1.3862943611198906
3,"[BK,[[ifElse,bool],obj],PM(""obj_obj"")]",-2.772588722239781
4,"[BC,[B,[ifElse,bool],PM(""obj_obj"")],PM(""obj_obj"")]",-4.1588830833596715
5,"[BC,[K,[ifElse,bool],obj],PM(""obj_obj"")]",-4.1588830833596715
6,"[BC,[C,[B,ifElse,PM(""obj_bool"")],obj],PM(""obj_obj"")]",-4.1588830833596715
7,"[BC,[S,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],PM(""obj_obj"")]",-4.1588830833596715
8,"[KB,[[ifElse,bool],obj],PM(""obj_obj"")]",-2.772588722239781
9,"[KK,[[ifElse,bool],obj],obj]",-2.772588722239781
10,"[KC,[B,[ifElse,bool],PM(""obj_obj"")],obj]",-4.1588830833596715
11,"[KC,[K,[ifElse,bool],obj],obj]",-4.1588830833596715
12,"[KC,[C,[B,ifElse,PM(""obj_bool"")],obj],obj]",-4.1588830833596715
13,"[KC,[S,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],obj]",-4.1588830833596715
14,"[KS,[B,[ifElse,bool],PM(""obj_obj"")],PM(""obj_obj"")]",-4.1588830833596715
15,"[KS,[K,[ifElse,bool],obj],PM(""obj_obj"")]",-4.1588830833596715
16,"[KS,[C,[B,ifElse,PM(""obj_bool"")],obj],PM(""obj_obj"")]",-4.1588830833596715
17,"[KS,[S,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],PM(""obj_obj"")]",-4.1588830833596715
18,"[CB,[B,[ifElse,bool],PM(""obj_obj"")],PM(""obj_obj"")]",-4.1588830833596715
19,"[CB,[K,[ifElse,bool],obj],PM(""obj_obj"")]",-4.1588830833596715
20,"[CB,[C,[B,ifElse,PM(""obj_bool"")],obj],PM(""obj_obj"")]",-4.1588830833596715
21,"[CB,[S,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],PM(""obj_obj"")]",-4.1588830833596715
22,"[CK,[B,[ifElse,bool],PM(""obj_obj"")],obj]",-4.1588830833596715
23,"[CK,[K,[ifElse,bool],obj],obj]",-4.1588830833596715
24,"[CK,[C,[B,ifElse,PM(""obj_bool"")],obj],obj]",-4.1588830833596715
25,"[CK,[S,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],obj]",-4.1588830833596715
26,"[CC,[BK,[ifElse,bool],PM(""obj_obj"")],obj]",-5.545177444479562
27,"[CC,[BC,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],obj]",-5.545177444479562
28,"[CC,[KB,[ifElse,bool],PM(""obj_obj"")],obj]",-5.545177444479562
29,"[CC,[KK,[ifElse,bool],obj],obj]",-5.545177444479562
30,"[CC,[KC,[B,ifElse,PM(""obj_bool"")],obj],obj]",-5.545177444479562
31,"[CC,[KS,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],obj]",-5.545177444479562
32,"[CC,[CB,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],obj]",-5.545177444479562
33,"[CC,[CK,[B,ifElse,PM(""obj_bool"")],obj],obj]",-5.545177444479562
34,"[CC,[CC,[BB,ifElse,PM(""obj_obj_bool"")],obj],obj]",-5.545177444479562
35,"[CC,[CS,[BB,ifElse,PM(""obj_obj_bool"")],PM(""obj_obj"")],obj]",-5.545177444479562
36,"[CC,[SK,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],obj]",-5.545177444479562
37,"[CC,[SC,[BB,ifElse,PM(""obj_obj_bool"")],PM(""obj_obj"")],obj]",-5.545177444479562
