,terms,arg_types,return_type,type,count
0,Blue,,col,base_term,1.0
1,Checkered,,pat,base_term,1.0
2,Circle,,shp,base_term,1.0
3,Dotted,,pat,base_term,1.0
4,False,,bool,base_term,1.0
5,I,obj,obj,program,1.0
6,Plain,,pat,base_term,1.0
7,Red,,col,base_term,1.0
8,S1,,int,base_term,1.0
9,S2,,int,base_term,1.0
10,S3,,int,base_term,1.0
11,S4,,int,base_term,1.0
12,Square,,shp,base_term,1.0
13,Stripy,,pat,base_term,1.0
14,Triangle,,shp,base_term,1.0
15,True,,bool,base_term,1.0
16,Yellow,,col,base_term,1.0
17,eqColor,col_col,bool,primitive,1.0
18,eqInt,int_int,bool,primitive,1.0
19,eqObject,obj_obj,bool,primitive,1.0
20,eqPattern,pat_pat,bool,primitive,1.0
21,eqShape,shp_shp,bool,primitive,1.0
22,getColor,obj,col,primitive,1.0
23,getDensity,obj,int,primitive,1.0
24,getPattern,obj,pat,primitive,1.0
25,getSaturation,obj,int,primitive,1.0
26,getShape,obj,shp,primitive,1.0
27,getSize,obj,int,primitive,1.0
28,ifElse,bool_obj_obj,obj,primitive,1.0
29,isBlue,obj,bool,primitive,1.0
30,isCheckered,obj,bool,primitive,1.0
31,isCircle,obj,bool,primitive,1.0
32,isDotted,obj,bool,primitive,1.0
33,isPlain,obj,bool,primitive,1.0
34,isRed,obj,bool,primitive,1.0
35,isS1Den,obj,bool,primitive,1.0
36,isS1Sat,obj,bool,primitive,1.0
37,isS1Size,obj,bool,primitive,1.0
38,isS2Den,obj,bool,primitive,1.0
39,isS2Sat,obj,bool,primitive,1.0
40,isS2Size,obj,bool,primitive,1.0
41,isS3Den,obj,bool,primitive,1.0
42,isS3Sat,obj,bool,primitive,1.0
43,isS3Size,obj,bool,primitive,1.0
44,isS4Den,obj,bool,primitive,1.0
45,isS4Sat,obj,bool,primitive,1.0
46,isS4Size,obj,bool,primitive,1.0
47,isSquare,obj,bool,primitive,1.0
48,isStripy,obj,bool,primitive,1.0
49,isTriangle,obj,bool,primitive,1.0
50,isYellow,obj,bool,primitive,1.0
51,setColor,obj_col,obj,primitive,1.0
52,setDensity,obj_int,obj,primitive,1.0
53,setPattern,obj_pat,obj,primitive,1.0
54,setSaturation,obj_int,obj,primitive,1.0
55,setShape,obj_shp,obj,primitive,1.0
56,setSize,obj_int,obj,primitive,1.0
