,terms,arg_types,return_type,type,count,log_prior
4,I,obj,obj,primitive,1.0,-3.5553480614894135
14,eqColor,col_col,bool,primitive,1.0,-3.5553480614894135
15,eqInt,int_int,bool,primitive,1.0,-3.5553480614894135
16,eqObject,obj_obj,bool,primitive,1.0,-3.5553480614894135
17,eqPattern,pat_pat,bool,primitive,1.0,-3.5553480614894135
18,eqShape,shp_shp,bool,primitive,1.0,-3.5553480614894135
19,getColor,obj,col,primitive,1.0,-3.5553480614894135
20,getDensity,obj,int,primitive,1.0,-3.5553480614894135
21,getPattern,obj,pat,primitive,1.0,-3.5553480614894135
22,getSaturation,obj,int,primitive,1.0,-3.5553480614894135
23,getShape,obj,shp,primitive,1.0,-3.5553480614894135
24,getSize,obj,int,primitive,1.0,-3.5553480614894135
25,ifElse,bool_obj_obj,obj,primitive,1.0,-3.5553480614894135
26,isBlue,obj,bool,primitive,1.0,-3.5553480614894135
27,isCheckered,obj,bool,primitive,1.0,-3.5553480614894135
28,isCircle,obj,bool,primitive,1.0,-3.5553480614894135
29,isDotted,obj,bool,primitive,1.0,-3.5553480614894135
30,isPlain,obj,bool,primitive,1.0,-3.5553480614894135
31,isRed,obj,bool,primitive,1.0,-3.5553480614894135
32,isS1Den,obj,bool,primitive,1.0,-3.5553480614894135
33,isS1Sat,obj,bool,primitive,1.0,-3.5553480614894135
34,isS1Size,obj,bool,primitive,1.0,-3.5553480614894135
35,isS2Den,obj,bool,primitive,1.0,-3.5553480614894135
36,isS2Sat,obj,bool,primitive,1.0,-3.5553480614894135
37,isS2Size,obj,bool,primitive,1.0,-3.5553480614894135
38,isSquare,obj,bool,primitive,1.0,-3.5553480614894135
39,isStripy,obj,bool,primitive,1.0,-3.5553480614894135
40,isTriangle,obj,bool,primitive,1.0,-3.5553480614894135
41,isYellow,obj,bool,primitive,1.0,-3.5553480614894135
42,setColor,obj_col,obj,primitive,1.0,-3.5553480614894135
43,setDensity,obj_int,obj,primitive,1.0,-3.5553480614894135
44,setPattern,obj_pat,obj,primitive,1.0,-3.5553480614894135
45,setSaturation,obj_int,obj,primitive,1.0,-3.5553480614894135
46,setShape,obj_shp,obj,primitive,1.0,-3.5553480614894135
47,setSize,obj_int,obj,primitive,1.0,-3.5553480614894135
3,False,,bool,base_term,1.0,-0.6931471805599453
12,True,,bool,base_term,1.0,-0.6931471805599453
2,Dotted,,pat,base_term,1.0,-1.0986122886681098
5,Plain,,pat,base_term,1.0,-1.0986122886681098
10,Stripy,,pat,base_term,1.0,-1.0986122886681098
7,S1,,int,base_term,1.0,-0.6931471805599453
8,S2,,int,base_term,1.0,-0.6931471805599453
0,Blue,,col,base_term,1.0,-1.0986122886681098
6,Red,,col,base_term,1.0,-1.0986122886681098
13,Yellow,,col,base_term,1.0,-1.0986122886681098
1,Circle,,shp,base_term,1.0,-1.0986122886681098
9,Square,,shp,base_term,1.0,-1.0986122886681098
11,Triangle,,shp,base_term,1.0,-1.0986122886681098
48,I,obj,obj,program,1.0,-3.5553480614894135
