,terms,log_prob
0,"[CC,[CS,[B,ifElse,eqObject],I],Stone(Red,S3,Square,S3,Dotted,S1)]",-28.240877966453386
1,"[CC,[CS,[B,ifElse,eqObject],I],Stone(Red,S3,Square,S3,Dotted,S1)]",-28.240877966453386
2,"[CC,[BK,[ifElse,False],I],Stone(Red,S3,Square,S3,Dotted,S1)]",-15.377934355254482
3,"[CC,[SC,[B,ifElse,eqObject],I],Stone(Red,S3,Square,S3,Dotted,S1)]",-28.240877966453386
4,"[CC,[SC,[B,ifElse,eqObject],I],Stone(Red,S3,Square,S3,Dotted,S1)]",-28.240877966453386
5,"[CC,[KB,[ifElse,False],I],Stone(Red,S3,Square,S3,Dotted,S1)]",-15.377934355254482
6,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],obj]",-15.377934355254482
7,"[CC,[KK,[ifElse,False],obj],Stone(Red,S3,Square,S3,Dotted,S1)]",-15.377934355254482
8,"[CB,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]",-11.21905127189481
9,"[CS,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]",-15.377934355254482
10,"[CK,[B,[ifElse,False],I],Stone(Red,S3,Square,S3,Dotted,S1)]",-11.21905127189481
11,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],obj]",-11.21905127189481
12,"[CK,[K,[ifElse,False],obj],Stone(Red,S3,Square,S3,Dotted,S1)]",-11.21905127189481
13,"[BC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]",-11.21905127189481
14,"[BK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]",-7.287579466295357
15,"[SC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]",-15.377934355254482
16,"[SK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]",-11.21905127189481
17,"[KC,[B,[ifElse,False],I],Stone(Red,S3,Square,S3,Dotted,S1)]",-11.21905127189481
18,"[KC,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],obj]",-11.21905127189481
19,"[KC,[K,[ifElse,False],obj],Stone(Red,S3,Square,S3,Dotted,S1)]",-11.21905127189481
20,"[KB,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]",-7.287579466295357
21,"[KS,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]",-11.21905127189481
22,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],obj]",-7.287579466295357
23,"[KK,[[ifElse,False],obj],Stone(Red,S3,Square,S3,Dotted,S1)]",-7.287579466295357
24,"[BC,[B,setColor,I],getColor]",-7.090354888959125
25,"[BK,[setColor,Stone(Blue,S3,Square,S3,Dotted,S1)],getColor]",-12.367021007975193
26,"[BK,[setColor,Stone(Red,S3,Square,S3,Dotted,S1)],getColor]",-12.367021007975193
27,"[BK,[setColor,Stone(Yellow,S3,Square,S3,Dotted,S1)],getColor]",-12.367021007975193
28,"[KC,[B,setColor,I],Red]",-3.416378455387453
29,"[KK,[setColor,Stone(Blue,S3,Square,S3,Dotted,S1)],Red]",-9.69304457440352
30,"[KK,[setColor,Stone(Red,S3,Square,S3,Dotted,S1)],Red]",-9.69304457440352
31,"[KK,[setColor,Stone(Yellow,S3,Square,S3,Dotted,S1)],Red]",-9.69304457440352
32,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],getDensity]",-15.66285787397952
33,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S2)],getDensity]",-15.66285787397952
34,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],getDensity]",-15.66285787397952
35,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S4)],getDensity]",-15.66285787397952
36,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],getSaturation]",-15.66285787397952
37,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S2)],getSaturation]",-15.66285787397952
38,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],getSaturation]",-15.66285787397952
39,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S4)],getSaturation]",-15.66285787397952
40,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],getSize]",-15.66285787397952
41,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S2)],getSize]",-15.66285787397952
42,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],getSize]",-15.66285787397952
43,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S4)],getSize]",-15.66285787397952
44,"[KB,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],getDensity]",-15.66285787397952
45,"[KB,[setDensity,Stone(Red,S3,Square,S3,Dotted,S2)],getDensity]",-15.66285787397952
46,"[KB,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],getDensity]",-15.66285787397952
47,"[KB,[setDensity,Stone(Red,S3,Square,S3,Dotted,S4)],getDensity]",-15.66285787397952
48,"[KK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],S1]",-9.980726646855302
49,"[KK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S2)],S1]",-9.980726646855302
50,"[KK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],S1]",-9.980726646855302
51,"[KK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S4)],S1]",-9.980726646855302
52,"[BK,[setPattern,Stone(Red,S3,Square,S3,Dotted,S1)],getPattern]",-12.367021007975193
53,"[BK,[setPattern,Stone(Red,S3,Square,S3,Plain,S1)],getPattern]",-12.367021007975193
54,"[KB,[setPattern,Stone(Red,S3,Square,S3,Dotted,S1)],getPattern]",-12.367021007975193
55,"[KB,[setPattern,Stone(Red,S3,Square,S3,Plain,S1)],getPattern]",-12.367021007975193
56,"[KK,[setPattern,Stone(Red,S3,Square,S3,Dotted,S1)],Dotted]",-9.287579466295357
57,"[KK,[setPattern,Stone(Red,S3,Square,S3,Plain,S1)],Dotted]",-9.287579466295357
58,"[KB,[setSaturation,Stone(Red,S1,Square,S3,Dotted,S1)],getSaturation]",-15.66285787397952
59,"[KB,[setSaturation,Stone(Red,S2,Square,S3,Dotted,S1)],getSaturation]",-15.66285787397952
60,"[KB,[setSaturation,Stone(Red,S3,Square,S3,Dotted,S1)],getSaturation]",-15.66285787397952
61,"[KB,[setSaturation,Stone(Red,S4,Square,S3,Dotted,S1)],getSaturation]",-15.66285787397952
62,"[KB,[setSaturation,Stone(Red,S1,Square,S3,Dotted,S1)],getSize]",-15.66285787397952
63,"[KB,[setSaturation,Stone(Red,S2,Square,S3,Dotted,S1)],getSize]",-15.66285787397952
64,"[KB,[setSaturation,Stone(Red,S3,Square,S3,Dotted,S1)],getSize]",-15.66285787397952
65,"[KB,[setSaturation,Stone(Red,S4,Square,S3,Dotted,S1)],getSize]",-15.66285787397952
66,"[KK,[setSaturation,Stone(Red,S1,Square,S3,Dotted,S1)],S3]",-9.980726646855302
67,"[KK,[setSaturation,Stone(Red,S2,Square,S3,Dotted,S1)],S3]",-9.980726646855302
68,"[KK,[setSaturation,Stone(Red,S3,Square,S3,Dotted,S1)],S3]",-9.980726646855302
69,"[KK,[setSaturation,Stone(Red,S4,Square,S3,Dotted,S1)],S3]",-9.980726646855302
70,"[KB,[setShape,Stone(Red,S3,Circle,S3,Dotted,S1)],getShape]",-12.367021007975193
71,"[KB,[setShape,Stone(Red,S3,Square,S3,Dotted,S1)],getShape]",-12.367021007975193
72,"[KB,[setShape,Stone(Red,S3,Triangle,S3,Dotted,S1)],getShape]",-12.367021007975193
73,"[KK,[setShape,Stone(Red,S3,Circle,S3,Dotted,S1)],Square]",-9.69304457440352
74,"[KK,[setShape,Stone(Red,S3,Square,S3,Dotted,S1)],Square]",-9.69304457440352
75,"[KK,[setShape,Stone(Red,S3,Triangle,S3,Dotted,S1)],Square]",-9.69304457440352
76,"[KB,[setSize,Stone(Red,S3,Square,S1,Dotted,S1)],getSaturation]",-15.66285787397952
77,"[KB,[setSize,Stone(Red,S3,Square,S2,Dotted,S1)],getSaturation]",-15.66285787397952
78,"[KB,[setSize,Stone(Red,S3,Square,S3,Dotted,S1)],getSaturation]",-15.66285787397952
79,"[KB,[setSize,Stone(Red,S3,Square,S4,Dotted,S1)],getSaturation]",-15.66285787397952
80,"[KB,[setSize,Stone(Red,S3,Square,S1,Dotted,S1)],getSize]",-15.66285787397952
81,"[KB,[setSize,Stone(Red,S3,Square,S2,Dotted,S1)],getSize]",-15.66285787397952
82,"[KB,[setSize,Stone(Red,S3,Square,S3,Dotted,S1)],getSize]",-15.66285787397952
83,"[KB,[setSize,Stone(Red,S3,Square,S4,Dotted,S1)],getSize]",-15.66285787397952
84,"[KK,[setSize,Stone(Red,S3,Square,S1,Dotted,S1)],S3]",-9.980726646855302
85,"[KK,[setSize,Stone(Red,S3,Square,S2,Dotted,S1)],S3]",-9.980726646855302
86,"[KK,[setSize,Stone(Red,S3,Square,S3,Dotted,S1)],S3]",-9.980726646855302
87,"[KK,[setSize,Stone(Red,S3,Square,S4,Dotted,S1)],S3]",-9.980726646855302
