,terms
0,"[BC,[B,setColor,I],getColor]"
1,"[BK,[setColor,Stone(Red,S3,Square,S3,Dotted,S1)],getColor]"
2,"[BK,[setColor,Stone(Yellow,S3,Square,S3,Dotted,S1)],getColor]"
3,"[BK,[setColor,Stone(Blue,S3,Square,S3,Dotted,S1)],getColor]"
4,"[KC,[B,setColor,I],Red]"
5,"[KK,[setColor,Stone(Red,S3,Square,S3,Dotted,S1)],Red]"
6,"[KK,[setColor,Stone(Yellow,S3,Square,S3,Dotted,S1)],Red]"
7,"[KK,[setColor,Stone(Blue,S3,Square,S3,Dotted,S1)],Red]"
8,"[KB,[setSaturation,Stone(Red,S1,Square,S3,Dotted,S1)],getSaturation]"
9,"[KB,[setSaturation,Stone(Red,S3,Square,S3,Dotted,S1)],getSaturation]"
10,"[KB,[setSaturation,Stone(Red,S4,Square,S3,Dotted,S1)],getSaturation]"
11,"[KB,[setSaturation,Stone(Red,S1,Square,S3,Dotted,S1)],getSize]"
12,"[KB,[setSaturation,Stone(Red,S3,Square,S3,Dotted,S1)],getSize]"
13,"[KB,[setSaturation,Stone(Red,S4,Square,S3,Dotted,S1)],getSize]"
14,"[KK,[setSaturation,Stone(Red,S1,Square,S3,Dotted,S1)],S3]"
15,"[KK,[setSaturation,Stone(Red,S3,Square,S3,Dotted,S1)],S3]"
16,"[KK,[setSaturation,Stone(Red,S4,Square,S3,Dotted,S1)],S3]"
17,"[KB,[setShape,Stone(Red,S3,Square,S3,Dotted,S1)],getShape]"
18,"[KB,[setShape,Stone(Red,S3,Triangle,S3,Dotted,S1)],getShape]"
19,"[KB,[setShape,Stone(Red,S3,Circle,S3,Dotted,S1)],getShape]"
20,"[KK,[setShape,Stone(Red,S3,Square,S3,Dotted,S1)],Square]"
21,"[KK,[setShape,Stone(Red,S3,Triangle,S3,Dotted,S1)],Square]"
22,"[KK,[setShape,Stone(Red,S3,Circle,S3,Dotted,S1)],Square]"
23,"[KB,[setSize,Stone(Red,S3,Square,S1,Dotted,S1)],getSaturation]"
24,"[KB,[setSize,Stone(Red,S3,Square,S3,Dotted,S1)],getSaturation]"
25,"[KB,[setSize,Stone(Red,S3,Square,S4,Dotted,S1)],getSaturation]"
26,"[KB,[setSize,Stone(Red,S3,Square,S1,Dotted,S1)],getSize]"
27,"[KB,[setSize,Stone(Red,S3,Square,S3,Dotted,S1)],getSize]"
28,"[KB,[setSize,Stone(Red,S3,Square,S4,Dotted,S1)],getSize]"
29,"[KK,[setSize,Stone(Red,S3,Square,S1,Dotted,S1)],S3]"
30,"[KK,[setSize,Stone(Red,S3,Square,S3,Dotted,S1)],S3]"
31,"[KK,[setSize,Stone(Red,S3,Square,S4,Dotted,S1)],S3]"
32,"[BK,[setPattern,Stone(Red,S3,Square,S3,Dotted,S1)],getPattern]"
33,"[BK,[setPattern,Stone(Red,S3,Square,S3,Plain,S1)],getPattern]"
34,"[KB,[setPattern,Stone(Red,S3,Square,S3,Dotted,S1)],getPattern]"
35,"[KB,[setPattern,Stone(Red,S3,Square,S3,Plain,S1)],getPattern]"
36,"[KK,[setPattern,Stone(Red,S3,Square,S3,Dotted,S1)],Dotted]"
37,"[KK,[setPattern,Stone(Red,S3,Square,S3,Plain,S1)],Dotted]"
38,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],getSaturation]"
39,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],getSaturation]"
