,terms,log_prob
0,"[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]",-7.4547199493640015
1,"[KC,[B,setColor,I],Red]",-5.950642552587727
2,"[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]",-11.495819997067288
3,"[BC,[B,setColor,I],[B,getColor,I]]",-4.852030263919617
4,"[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]",-13.575261538747124
5,"[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]",-13.575261538747124
6,"[CS,[SB,[B,ifElse,[B,isRed,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]",-19.510155734366712
7,"[CS,[SB,[B,ifElse,[B,isRed,I]],[KC,[B,setColor,I],Red]],I]",-18.006078337590438
8,"[CS,[SB,[B,ifElse,[B,isRed,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]",-23.55125578207
9,"[CS,[SB,[B,ifElse,[B,isRed,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]",-16.90746604892233
10,"[CS,[SB,[B,ifElse,[B,isRed,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]",-25.630697323749835
11,"[CS,[SB,[B,ifElse,[B,isRed,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]",-25.630697323749835
12,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]],I]",-31.565591519369427
13,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,I],Red]],I]],I]",-30.061514122593152
14,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]],I]",-35.606691567072716
15,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]],I]",-28.962901833925045
16,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255
17,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255
18,"[CS,[BS,[B,ifElse,[B,isRed,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]",-19.510155734366712
19,"[CS,[BS,[B,ifElse,[B,isRed,I]],[KC,[B,setColor,I],Red]],I]",-18.006078337590438
20,"[CS,[BS,[B,ifElse,[B,isRed,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]",-23.55125578207
21,"[CS,[BS,[B,ifElse,[B,isRed,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]",-16.90746604892233
22,"[CS,[BS,[B,ifElse,[B,isRed,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]",-25.630697323749835
23,"[CS,[BS,[B,ifElse,[B,isRed,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]",-25.630697323749835
24,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]],I]",-31.565591519369427
25,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,I],Red]],I]],I]",-30.061514122593152
26,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]],I]",-35.606691567072716
27,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]],I]",-28.962901833925045
28,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255
29,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255
30,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]],I]",-31.565591519369427
31,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[KC,[B,setColor,I],Red]],I]],I]",-30.061514122593152
32,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]],I]",-35.606691567072716
33,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]],I]",-28.962901833925045
