trial,agent,recipient,result
1,"Stone(S1,O0,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L1)"
2,"Stone(S1,O0,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L2)"
3,"Stone(S1,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L3)"
4,"Stone(S1,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L4)"
5,"Stone(S1,O1,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L0)"
6,"Stone(S1,O1,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L1)"
7,"Stone(S1,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L2)"
8,"Stone(S1,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L3)"
9,"Stone(S1,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L0)"
10,"Stone(S1,O2,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L1)"
11,"Stone(S1,O2,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L2)"
12,"Stone(S1,O3,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L0)"
13,"Stone(S1,O3,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L1)"
14,"Stone(S1,O4,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L0)"
15,"Stone(S2,O0,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L2)"
16,"Stone(S2,O0,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L4)"
17,"Stone(S2,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L6)"
18,"Stone(S2,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L8)"
19,"Stone(S2,O1,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L1)"
20,"Stone(S2,O1,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L3)"
21,"Stone(S2,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L5)"
22,"Stone(S2,O1,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L7)"
23,"Stone(S2,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L0)"
24,"Stone(S2,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L2)"
25,"Stone(S2,O2,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L4)"
26,"Stone(S2,O2,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L6)"
27,"Stone(S2,O3,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L1)"
28,"Stone(S2,O3,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L3)"
29,"Stone(S2,O3,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L5)"
30,"Stone(S2,O4,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L0)"
31,"Stone(S2,O4,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L2)"
32,"Stone(S2,O4,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L4)"
33,"Stone(S3,O0,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L3)"
34,"Stone(S3,O0,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L6)"
35,"Stone(S3,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L9)"
36,"Stone(S3,O1,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L2)"
37,"Stone(S3,O1,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L5)"
38,"Stone(S3,O1,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L8)"
