trial,agent,recipient,result
1,"Stone(Circ,S1,L1)","Stone(Rect,S0,L1)","Stone(Rect,S0,L1)"
2,"Stone(Circ,S1,L1)","Stone(Rect,S0,L2)","Stone(Rect,S0,L2)"
3,"Stone(Circ,S1,L1)","Stone(Rect,S0,L3)","Stone(Rect,S0,L3)"
4,"Stone(Circ,S1,L1)","Stone(Rect,S0,L4)","Stone(Rect,S0,L4)"
5,"Stone(Circ,S2,L1)","Stone(Rect,S0,L1)","Stone(Rect,S0,L2)"
6,"Stone(Circ,S2,L1)","Stone(Rect,S0,L2)","Stone(Rect,S0,L4)"
7,"Stone(Circ,S2,L1)","Stone(Rect,S0,L3)","Stone(Rect,S0,L6)"
8,"Stone(Circ,S2,L1)","Stone(Rect,S0,L4)","Stone(Rect,S0,L8)"
9,"Stone(Circ,S3,L1)","Stone(Rect,S0,L1)","Stone(Rect,S0,L3)"
10,"Stone(Circ,S3,L1)","Stone(Rect,S0,L2)","Stone(Rect,S0,L6)"
11,"Stone(Circ,S3,L1)","Stone(Rect,S0,L3)","Stone(Rect,S0,L9)"
12,"Stone(Circ,S3,L1)","Stone(Rect,S0,L4)","Stone(Rect,S0,L12)"
13,"Stone(Circ,S4,L1)","Stone(Rect,S0,L1)","Stone(Rect,S0,L4)"
14,"Stone(Circ,S4,L1)","Stone(Rect,S0,L2)","Stone(Rect,S0,L8)"
15,"Stone(Circ,S4,L1)","Stone(Rect,S0,L3)","Stone(Rect,S0,L12)"
16,"Stone(Circ,S4,L1)","Stone(Rect,S0,L4)","Stone(Rect,S0,L16)"
