trial_id,agent,recipient,result
1,"(0, 0, 1)","(0, 0, 1)","(0, 0, 0)"
2,"(0, 0, 1)","(0, 0, 2)","(0, 0, 0)"
3,"(0, 0, 1)","(0, 0, 3)","(0, 0, 0)"
4,"(0, 0, 1)","(0, 0, 4)","(0, 0, 0)"
5,"(1, 0, 1)","(0, 0, 1)","(0, 0, 1)"
6,"(1, 0, 1)","(0, 0, 2)","(0, 0, 2)"
7,"(1, 0, 1)","(0, 0, 3)","(0, 0, 3)"
8,"(1, 0, 1)","(0, 0, 4)","(0, 0, 4)"
9,"(1, 1, 1)","(0, 0, 1)","(0, 0, 0)"
10,"(1, 1, 1)","(0, 0, 2)","(0, 0, 1)"
11,"(1, 1, 1)","(0, 0, 3)","(0, 0, 2)"
12,"(1, 1, 1)","(0, 0, 4)","(0, 0, 3)"
13,"(1, 2, 1)","(0, 0, 2)","(0, 0, 0)"
14,"(1, 2, 1)","(0, 0, 3)","(0, 0, 1)"
15,"(1, 2, 1)","(0, 0, 4)","(0, 0, 2)"
16,"(1, 3, 1)","(0, 0, 3)","(0, 0, 0)"
17,"(1, 3, 1)","(0, 0, 4)","(0, 0, 1)"
18,"(1, 4, 1)","(0, 0, 4)","(0, 0, 0)"
19,"(2, 0, 1)","(0, 0, 1)","(0, 0, 2)"
20,"(2, 0, 1)","(0, 0, 2)","(0, 0, 4)"
21,"(2, 0, 1)","(0, 0, 3)","(0, 0, 6)"
22,"(2, 0, 1)","(0, 0, 4)","(0, 0, 8)"
23,"(2, 1, 1)","(0, 0, 1)","(0, 0, 1)"
24,"(2, 1, 1)","(0, 0, 2)","(0, 0, 3)"
25,"(2, 1, 1)","(0, 0, 3)","(0, 0, 5)"
26,"(2, 1, 1)","(0, 0, 4)","(0, 0, 7)"
27,"(2, 2, 1)","(0, 0, 1)","(0, 0, 0)"
28,"(2, 2, 1)","(0, 0, 2)","(0, 0, 2)"
29,"(2, 2, 1)","(0, 0, 3)","(0, 0, 4)"
30,"(2, 2, 1)","(0, 0, 4)","(0, 0, 6)"
31,"(2, 3, 1)","(0, 0, 2)","(0, 0, 1)"
32,"(2, 3, 1)","(0, 0, 3)","(0, 0, 3)"
33,"(2, 3, 1)","(0, 0, 4)","(0, 0, 5)"
34,"(2, 4, 1)","(0, 0, 2)","(0, 0, 0)"
35,"(2, 4, 1)","(0, 0, 3)","(0, 0, 2)"
36,"(2, 4, 1)","(0, 0, 4)","(0, 0, 4)"
37,"(3, 0, 1)","(0, 0, 1)","(0, 0, 3)"
38,"(3, 0, 1)","(0, 0, 2)","(0, 0, 6)"
39,"(3, 0, 1)","(0, 0, 3)","(0, 0, 9)"
40,"(3, 0, 1)","(0, 0, 4)","(0, 0, 12)"
41,"(3, 1, 1)","(0, 0, 1)","(0, 0, 2)"
42,"(3, 1, 1)","(0, 0, 2)","(0, 0, 5)"
43,"(3, 1, 1)","(0, 0, 3)","(0, 0, 8)"
44,"(3, 1, 1)","(0, 0, 4)","(0, 0, 11)"
45,"(3, 2, 1)","(0, 0, 1)","(0, 0, 1)"
46,"(3, 2, 1)","(0, 0, 2)","(0, 0, 4)"
47,"(3, 2, 1)","(0, 0, 3)","(0, 0, 7)"
48,"(3, 2, 1)","(0, 0, 4)","(0, 0, 10)"
49,"(3, 3, 1)","(0, 0, 1)","(0, 0, 0)"
50,"(3, 3, 1)","(0, 0, 2)","(0, 0, 3)"
51,"(3, 3, 1)","(0, 0, 3)","(0, 0, 6)"
52,"(3, 3, 1)","(0, 0, 4)","(0, 0, 9)"
53,"(3, 4, 1)","(0, 0, 2)","(0, 0, 2)"
54,"(3, 4, 1)","(0, 0, 3)","(0, 0, 5)"
55,"(3, 4, 1)","(0, 0, 4)","(0, 0, 8)"
56,"(4, 0, 1)","(0, 0, 1)","(0, 0, 4)"
57,"(4, 0, 1)","(0, 0, 2)","(0, 0, 8)"
58,"(4, 0, 1)","(0, 0, 3)","(0, 0, 12)"
59,"(4, 1, 1)","(0, 0, 1)","(0, 0, 3)"
60,"(4, 1, 1)","(0, 0, 2)","(0, 0, 7)"
61,"(4, 1, 1)","(0, 0, 3)","(0, 0, 11)"
62,"(4, 2, 1)","(0, 0, 1)","(0, 0, 2)"
63,"(4, 2, 1)","(0, 0, 2)","(0, 0, 6)"
64,"(4, 2, 1)","(0, 0, 3)","(0, 0, 10)"
65,"(4, 3, 1)","(0, 0, 1)","(0, 0, 1)"
66,"(4, 3, 1)","(0, 0, 2)","(0, 0, 5)"
67,"(4, 3, 1)","(0, 0, 3)","(0, 0, 9)"
68,"(4, 4, 1)","(0, 0, 1)","(0, 0, 0)"
69,"(4, 4, 1)","(0, 0, 2)","(0, 0, 4)"
70,"(4, 4, 1)","(0, 0, 3)","(0, 0, 8)"
71,"(4, 4, 1)","(0, 0, 4)","(0, 0, 12)"
