,rule,log_prob
0,"mult(stick(d),spot(d))",-6.068425588244111
1,"mult(spot(d),stick(d))",-6.068425588244111
2,"mult(stick(d),add(0,spot(d)))",-10.632773779711947
3,"mult(mult(1,spot(d)),stick(d))",-10.632773779711947
4,"sub(add(sub(sub(mult(spot(d),stick(d)),stick(d)),1),0),sub(add(add(sub(spot(d),1),mult(stick(d),1)),sub(add(spot(d),stripe(d)),2)),mult(sub(3,0),2)))",-63.96654171506707
5,"add(mult(spot(d),add(stripe(d),stick(d))),mult(mult(stripe(d),stick(d)),spot(d)))",-23.17509006430833
6,"add(mult(stick(d),spot(d)),stripe(d))",-10.345091707260165
7,"add(stripe(d),mult(sub(spot(d),stripe(d)),stick(d)))",-14.62175782627622
8,"mult(stick(d),add(0,add(spot(d),add(mult(mult(sub(stick(d),stick(d)),mult(stripe(d),spot(d))),add(3,spot(d))),0))))",-41.144800757727886
9,"mult(sub(spot(d),sub(add(spot(d),add(sub(stripe(d),1),add(add(1,mult(sub(0,0),stripe(d))),stripe(d)))),stick(d))),spot(d))",-45.70914894919572
10,"mult(sub(add(sub(add(sub(3,sub(0,0)),mult(mult(0,2),2)),stick(d)),1),0),stick(d))",-42.58321111998679
11,"add(mult(spot(d),stick(d)),mult(mult(sub(2,sub(add(3,stick(d)),stick(d))),stripe(d)),mult(mult(mult(stripe(d),stripe(d)),2),stick(d))))",-45.42146687674394
12,"mult(spot(d),sub(stick(d),stripe(d)))",-10.345091707260165
13,"mult(mult(spot(d),1),sub(stick(d),stripe(d)))",-14.909439898728001
14,"add(mult(stick(d),stripe(d)),mult(1,mult(stick(d),spot(d))))",-19.186106017744056
15,"add(mult(stick(d),spot(d)),0)",-10.632773779711947
16,"mult(stick(d),mult(spot(d),1))",-10.632773779711947
17,"mult(stick(d),add(spot(d),stripe(d)))",-10.345091707260165
18,"mult(spot(d),add(stick(d),stripe(d)))",-10.345091707260165
19,"mult(add(stripe(d),spot(d)),stick(d))",-10.345091707260165
20,"mult(sub(stick(d),0),spot(d))",-10.632773779711947
21,"add(sub(stick(d),stick(d)),mult(spot(d),stick(d)))",-14.62175782627622
22,"mult(sub(mult(add(2,stripe(d)),3),add(spot(d),2)),sub(spot(d),stripe(d)))",-28.31480240067972
23,"sub(spot(d),sub(spot(d),mult(stick(d),add(stripe(d),spot(d)))))",-18.898423945292276
24,"mult(mult(1,stick(d)),spot(d))",-10.632773779711945
25,"mult(stick(d),sub(spot(d),mult(1,stripe(d))))",-14.909439898728001
