,rule,log_prob
0,"add(mult(spot(d),stick(d)),stripe(d))",-10.345091707260165
1,"mult(stick(d),spot(d))",-6.068425588244111
2,"mult(spot(d),stick(d))",-6.068425588244111
3,"mult(stick(d),add(0,spot(d)))",-10.632773779711947
4,"add(mult(add(sub(stripe(d),stripe(d)),spot(d)),add(stick(d),mult(stripe(d),spot(d)))),mult(stripe(d),1))",-32.016104374792214
5,"mult(add(0,spot(d)),mult(stick(d),1))",-15.197121971179783
6,"mult(add(mult(stripe(d),sub(sub(1,1),1)),1),mult(stick(d),spot(d)))",-28.6024844731315
7,"mult(sub(sub(sub(stick(d),stripe(d)),sub(stick(d),spot(d))),0),stick(d))",-23.462772136760105
8,"mult(stick(d),add(stripe(d),spot(d)))",-10.345091707260165
9,"sub(mult(mult(add(stick(d),stick(d)),stripe(d)),1),mult(spot(d),sub(mult(sub(1,0),add(0,mult(mult(spot(d),mult(3,0)),stick(d)))),mult(add(1,0),stick(d)))))",-63.966541715067066
10,"mult(spot(d),add(mult(stick(d),stripe(d)),stick(d)))",-14.62175782627622
11,"add(0,add(sub(mult(stick(d),add(add(spot(d),mult(stripe(d),1)),1)),stick(d)),stripe(d)))",-32.59146851969577
12,"mult(stick(d),mult(spot(d),1))",-10.632773779711947
13,"sub(add(stripe(d),0),mult(sub(0,stick(d)),spot(d)))",-19.47378809019584
14,"mult(add(spot(d),0),stick(d))",-10.632773779711947
15,"mult(stick(d),sub(spot(d),sub(stripe(d),mult(mult(mult(0,0),spot(d)),stripe(d)))))",-28.027120328227937
16,"add(mult(stripe(d),stripe(d)),mult(1,mult(stick(d),add(sub(spot(d),0),stripe(d)))))",-28.02712032822794
17,"add(mult(add(sub(stick(d),stick(d)),stick(d)),0),mult(stick(d),spot(d)))",-23.46277213676011
18,"mult(stick(d),add(spot(d),0))",-10.632773779711947
19,"add(mult(spot(d),stick(d)),add(mult(stripe(d),2),0))",-19.473788090195832
20,"add(stick(d),mult(stick(d),sub(spot(d),1)))",-14.909439898728001
21,"add(stripe(d),mult(sub(add(stripe(d),stick(d)),mult(spot(d),mult(2,mult(3,stripe(d))))),spot(d)))",-32.303786447243986
22,"mult(spot(d),sub(sub(stick(d),stripe(d)),mult(add(spot(d),1),stripe(d))))",-23.46277213676011
23,"mult(add(stick(d),sub(mult(stick(d),stripe(d)),0)),spot(d))",-19.186106017744056
24,"add(add(mult(mult(stripe(d),add(add(mult(mult(0,add(1,spot(d))),2),stripe(d)),0)),1),stripe(d)),mult(stick(d),spot(d)))",-45.99683102164751
25,"mult(stick(d),sub(spot(d),stripe(d)))",-10.345091707260165
26,"mult(sub(stick(d),0),spot(d))",-10.632773779711947
27,"sub(mult(spot(d),stick(d)),mult(0,mult(2,2)))",-19.761470162647615
28,"add(mult(stick(d),spot(d)),mult(stripe(d),stick(d)))",-14.62175782627622
29,"mult(spot(d),add(stripe(d),stick(d)))",-10.345091707260165
30,"sub(mult(stick(d),spot(d)),0)",-10.632773779711947
31,"mult(spot(d),add(mult(mult(add(sub(add(sub(mult(1,stick(d)),add(add(spot(d),mult(1,3)),sub(0,add(spot(d),3)))),stripe(d)),0),stripe(d)),stripe(d)),sub(1,sub(3,mult(2,2)))),stick(d)))",-77.37190421701882
32,"sub(mult(stick(d),spot(d)),add(0,sub(add(sub(stripe(d),1),1),stripe(d))))",-28.314802400679717
33,"sub(mult(stick(d),add(sub(2,2),add(add(add(mult(3,mult(stripe(d),stripe(d))),stripe(d)),stripe(d)),spot(d)))),stripe(d))",-41.144800757727886
34,"mult(mult(1,spot(d)),stick(d))",-10.632773779711947
35,"sub(add(mult(stick(d),spot(d)),stripe(d)),stripe(d))",-14.62175782627622
36,"mult(mult(1,add(stripe(d),stick(d))),add(stripe(d),spot(d)))",-19.18610601774406
37,"mult(sub(stripe(d),stick(d)),sub(0,spot(d)))",-14.909439898728001
38,"add(0,mult(spot(d),stick(d)))",-10.632773779711947
39,"mult(mult(spot(d),1),add(stripe(d),stick(d)))",-14.909439898728001
40,"add(mult(sub(stick(d),stick(d)),2),mult(sub(1,0),mult(add(spot(d),0),stick(d))))",-32.879150592147546
41,"mult(stick(d),add(spot(d),stripe(d)))",-10.345091707260165
42,"mult(add(stripe(d),stick(d)),spot(d))",-10.345091707260165
43,"mult(1,mult(sub(spot(d),0),stick(d)))",-15.197121971179783
44,"sub(mult(spot(d),stick(d)),mult(0,stripe(d)))",-14.909439898728001
45,"mult(spot(d),add(add(sub(1,3),add(0,1)),add(1,stick(d))))",-28.89016654558328
46,"mult(mult(1,sub(spot(d),0)),stick(d))",-15.197121971179783
47,"add(mult(add(sub(stick(d),spot(d)),0),mult(0,stick(d))),add(mult(stick(d),spot(d)),0))",-32.59146851969577
48,"add(mult(stick(d),sub(spot(d),add(0,0))),stripe(d))",-19.473788090195836
49,"mult(stick(d),add(spot(d),add(sub(stripe(d),stripe(d)),0)))",-19.186106017744056
50,"mult(add(sub(spot(d),0),sub(mult(add(sub(2,mult(mult(add(2,sub(spot(d),stripe(d))),stick(d)),sub(spot(d),stick(d)))),0),mult(stripe(d),1)),stripe(d))),stick(d))",-58.82682937869567
51,"mult(add(spot(d),0),stick(d))",-10.632773779711945
52,"mult(stick(d),mult(spot(d),add(1,0)))",-15.197121971179783
53,"mult(spot(d),mult(stick(d),1))",-10.632773779711947
54,"mult(add(0,stick(d)),spot(d))",-10.632773779711947
55,"mult(1,mult(mult(add(stick(d),stripe(d)),1),spot(d)))",-19.473788090195836
56,"add(0,mult(stick(d),spot(d)))",-10.632773779711945
57,"sub(mult(mult(1,stick(d)),sub(spot(d),0)),0)",-19.761470162647615
58,"mult(sub(stick(d),sub(stick(d),stick(d))),spot(d))",-14.62175782627622
