,rule,log_prob
0,"sub(3,spot(d))",-6.3561076606958915
1,"sub(stick(d),spot(d))",-6.068425588244111
2,"add(stripe(d),sub(3,add(spot(d),stripe(d))))",-14.909439898728001
3,"add(sub(3,add(spot(d),stripe(d))),1)",-15.197121971179783
4,"sub(sub(3,spot(d)),0)",-10.920455852163728
5,"sub(stick(d),add(spot(d),mult(3,add(0,sub(0,0)))))",-24.325818354115448
6,"sub(3,mult(spot(d),stripe(d)))",-10.632773779711947
7,"sub(stripe(d),add(spot(d),sub(sub(2,mult(stripe(d),3)),1)))",-24.03813628166367
8,"sub(mult(3,1),spot(d))",-10.920455852163727
9,"sub(2,mult(stripe(d),sub(spot(d),1)))",-15.197121971179783
10,"sub(sub(2,spot(d)),add(1,sub(3,add(1,add(1,mult(add(stripe(d),2),1))))))",-38.018862928518956
11,"sub(mult(sub(3,0),add(stripe(d),0)),spot(d))",-19.761470162647623
12,"sub(2,sub(sub(3,0),add(add(mult(spot(d),sub(spot(d),add(1,spot(d)))),3),1)))",-37.73118085606716
13,"sub(sub(add(1,stripe(d)),stripe(d)),add(spot(d),sub(0,2)))",-24.038136281663668
14,"sub(3,add(0,spot(d)))",-10.920455852163727
15,"add(sub(2,spot(d)),stripe(d))",-10.632773779711947
16,"sub(add(mult(stick(d),sub(add(stripe(d),1),2)),stick(d)),spot(d))",-23.750454209211888
17,"sub(stick(d),mult(spot(d),1))",-10.632773779711947
18,"sub(add(sub(1,sub(add(spot(d),sub(stripe(d),mult(sub(spot(d),mult(1,add(0,3))),mult(stripe(d),0)))),0)),add(stick(d),stripe(d))),stripe(d))",-54.837845332131394
19,"sub(mult(2,stripe(d)),sub(spot(d),1))",-15.197121971179783
20,"add(sub(sub(stripe(d),spot(d)),1),stick(d))",-14.909439898728001
21,"add(sub(stripe(d),spot(d)),2)",-10.632773779711947
22,"sub(mult(1,stick(d)),spot(d))",-10.632773779711947
23,"sub(mult(add(stripe(d),0),stick(d)),spot(d))",-14.909439898728001
24,"sub(stick(d),mult(1,spot(d)))",-10.632773779711947
25,"sub(add(sub(stripe(d),3),add(stripe(d),add(stripe(d),stick(d)))),spot(d))",-23.46277213676011
26,"add(mult(spot(d),sub(mult(2,0),stripe(d))),3)",-19.76147016264762
27,"add(stick(d),sub(0,spot(d)))",-10.632773779711947
28,"sub(sub(mult(stick(d),add(2,add(stick(d),sub(0,stick(d))))),stick(d)),add(stick(d),add(0,sub(spot(d),3))))",-41.432482830179666
29,"sub(1,sub(spot(d),2))",-10.920455852163728
30,"sub(stick(d),add(spot(d),0))",-10.632773779711947
31,"sub(add(stick(d),0),spot(d))",-10.632773779711947
32,"sub(mult(stripe(d),mult(stick(d),1)),spot(d))",-14.909439898728001
33,"mult(1,add(stick(d),sub(add(mult(2,stripe(d)),1),add(stick(d),spot(d)))))",-28.314802400679717
34,"sub(add(0,add(stick(d),mult(mult(0,spot(d)),0))),spot(d))",-24.03813628166367
35,"sub(2,sub(add(1,spot(d)),2))",-15.484804043631565
36,"sub(add(sub(1,stripe(d)),1),sub(sub(add(0,spot(d)),stripe(d)),stripe(d)))",-28.31480240067972
37,"mult(sub(3,spot(d)),stripe(d))",-10.632773779711947
38,"add(sub(mult(stripe(d),1),spot(d)),add(0,2))",-19.761470162647623
39,"sub(sub(stick(d),mult(spot(d),1)),0)",-15.197121971179783
40,"sub(mult(stick(d),stripe(d)),spot(d))",-10.345091707260165
41,"sub(sub(mult(mult(1,2),3),spot(d)),3)",-20.0491522350994
42,"add(sub(sub(stick(d),spot(d)),stick(d)),3)",-14.909439898728001
43,"add(stick(d),sub(1,add(1,spot(d))))",-15.197121971179783
44,"mult(stripe(d),sub(stick(d),spot(d)))",-10.345091707260165
45,"add(sub(add(1,sub(stripe(d),spot(d))),2),mult(1,3))",-24.325818354115448
46,"add(1,add(add(sub(add(sub(spot(d),spot(d)),sub(1,add(mult(0,1),spot(d)))),sub(add(stick(d),2),stripe(d))),2),mult(1,stick(d))))",-55.12552740458317
47,"sub(add(stick(d),sub(0,mult(2,0))),spot(d))",-19.761470162647615
48,"sub(mult(stripe(d),3),spot(d))",-10.632773779711947
49,"add(1,sub(add(0,add(stick(d),0)),add(spot(d),stripe(d))))",-24.03813628166367
50,"mult(sub(stick(d),spot(d)),stripe(d))",-10.345091707260165
51,"add(2,mult(stripe(d),add(sub(3,add(spot(d),stick(d))),1)))",-24.03813628166367
52,"add(sub(add(stripe(d),stick(d)),spot(d)),sub(stick(d),add(2,mult(1,sub(3,stripe(d))))))",-32.59146851969577
53,"sub(2,sub(spot(d),add(add(1,sub(spot(d),3)),sub(add(2,stripe(d)),spot(d)))))",-32.87915059214755
54,"mult(sub(add(sub(add(mult(1,add(0,0)),mult(sub(1,mult(2,spot(d))),1)),stick(d)),add(sub(add(mult(stick(d),stick(d)),spot(d)),stripe(d)),1)),add(add(mult(1,sub(1,1)),stripe(d)),stick(d))),1)",-81.93625240848667
55,"sub(sub(stick(d),add(3,3)),sub(spot(d),add(3,3)))",-24.325818354115448
56,"add(1,sub(add(stick(d),spot(d)),add(spot(d),add(spot(d),1))))",-23.750454209211888
57,"sub(sub(1,sub(stripe(d),sub(add(2,stripe(d)),spot(d)))),0)",-24.038136281663668
58,"add(2,sub(3,add(3,sub(mult(stripe(d),spot(d)),1))))",-24.32581835411545
59,"sub(mult(stripe(d),stick(d)),spot(d))",-10.345091707260165
60,"sub(mult(mult(sub(2,1),3),mult(1,1)),spot(d))",-24.613500426567228
61,"sub(add(stripe(d),add(0,3)),sub(add(spot(d),1),mult(2,0)))",-28.89016654558328
62,"sub(2,sub(spot(d),1))",-10.920455852163727
63,"add(3,sub(0,add(0,spot(d))))",-15.484804043631565
64,"mult(sub(2,sub(0,sub(stripe(d),spot(d)))),stripe(d))",-19.47378809019584
65,"sub(mult(stripe(d),add(3,0)),spot(d))",-15.197121971179783
66,"add(add(stick(d),sub(2,add(spot(d),2))),mult(mult(2,add(stick(d),1)),0))",-33.16683266459933
67,"sub(stripe(d),sub(spot(d),2))",-10.632773779711947
68,"add(add(stripe(d),sub(add(stripe(d),0),sub(spot(d),0))),1)",-24.038136281663668
69,"sub(add(1,2),spot(d))",-10.920455852163727
70,"add(sub(3,spot(d)),mult(0,spot(d)))",-15.197121971179783
71,"add(2,sub(1,mult(spot(d),1)))",-15.484804043631565
72,"mult(stripe(d),add(mult(mult(mult(stripe(d),0),stripe(d)),stripe(d)),sub(3,spot(d))))",-28.02712032822794
73,"sub(stick(d),mult(spot(d),1))",-10.632773779711945
74,"sub(stripe(d),sub(spot(d),2))",-10.632773779711945
75,"sub(1,add(sub(1,stick(d)),spot(d)))",-15.197121971179783
76,"sub(mult(0,sub(add(add(sub(stick(d),spot(d)),add(2,mult(1,1))),sub(0,sub(3,add(0,stripe(d))))),stick(d))),add(spot(d),sub(1,add(3,1))))",-64.54190585997063
77,"sub(stick(d),mult(stripe(d),spot(d)))",-10.345091707260165
78,"sub(sub(mult(2,stick(d)),3),spot(d))",-15.197121971179783
79,"sub(2,sub(add(sub(spot(d),1),0),0))",-20.049152235099395
80,"add(0,sub(mult(stick(d),stripe(d)),mult(1,spot(d))))",-19.473788090195836
81,"sub(mult(stick(d),1),spot(d))",-10.632773779711947
82,"sub(mult(stripe(d),stick(d)),mult(spot(d),1))",-14.909439898728001
83,"sub(2,sub(add(sub(spot(d),sub(stripe(d),mult(mult(mult(sub(1,add(stick(d),3)),0),1),spot(d)))),stripe(d)),stripe(d)))",-45.9968310216475
84,"mult(sub(1,add(stripe(d),sub(spot(d),3))),mult(1,stripe(d)))",-24.03813628166367
85,"sub(2,sub(spot(d),stripe(d)))",-10.632773779711945
86,"sub(add(0,stick(d)),add(spot(d),0))",-15.197121971179783
87,"add(spot(d),sub(stick(d),mult(2,add(mult(stripe(d),spot(d)),0))))",-23.750454209211888
88,"mult(sub(stick(d),spot(d)),1)",-10.632773779711947
89,"mult(1,add(sub(stripe(d),add(add(1,spot(d)),mult(mult(spot(d),0),0))),3))",-33.166832664599326
90,"sub(add(stripe(d),2),spot(d))",-10.632773779711947
91,"add(stick(d),sub(sub(stripe(d),stick(d)),sub(spot(d),2)))",-19.186106017744052
92,"add(3,sub(stick(d),add(spot(d),3)))",-15.197121971179783
93,"mult(sub(3,spot(d)),1)",-10.920455852163727
94,"add(mult(stripe(d),sub(stick(d),spot(d))),mult(0,mult(1,spot(d))))",-23.750454209211888
95,"add(spot(d),mult(sub(3,mult(2,spot(d))),1))",-19.761470162647615
96,"sub(sub(mult(mult(mult(stick(d),1),1),stripe(d)),0),spot(d))",-24.038136281663668
97,"sub(add(0,stick(d)),spot(d))",-10.632773779711947
98,"add(mult(spot(d),0),add(3,sub(0,spot(d))))",-19.76147016264762
99,"sub(sub(2,stripe(d)),add(sub(spot(d),stick(d)),1))",-19.473788090195836
100,"add(sub(stripe(d),add(2,sub(spot(d),add(1,0)))),3)",-24.325818354115448
101,"add(sub(sub(stripe(d),mult(0,mult(0,spot(d)))),spot(d)),2)",-24.038136281663668
102,"sub(0,sub(spot(d),3))",-10.920455852163728
103,"add(sub(0,spot(d)),3)",-10.920455852163727
104,"sub(2,add(stick(d),add(sub(sub(sub(mult(stripe(d),spot(d)),stripe(d)),stripe(d)),add(0,sub(3,1))),0)))",-41.720164902631446
105,"sub(mult(stripe(d),sub(3,sub(2,add(sub(stripe(d),sub(sub(spot(d),0),stripe(d))),sub(stick(d),3))))),0)",-41.72016490263144
106,"sub(3,mult(mult(spot(d),1),stripe(d)))",-15.197121971179783
107,"add(stick(d),mult(sub(0,spot(d)),1))",-15.197121971179783
108,"add(stick(d),mult(spot(d),sub(mult(sub(1,1),0),1)))",-24.325818354115444
109,"add(2,mult(sub(1,spot(d)),1))",-15.484804043631565
110,"add(sub(sub(3,stick(d)),spot(d)),stick(d))",-14.909439898728001
111,"add(add(sub(stripe(d),add(mult(1,add(spot(d),1)),2)),3),2)",-28.890166545583277
112,"add(sub(mult(sub(stick(d),add(stripe(d),stripe(d))),sub(mult(add(stick(d),2),stick(d)),add(stick(d),1))),spot(d)),sub(1,mult(3,3)))",-50.27349714066356
113,"add(0,mult(stripe(d),sub(3,spot(d))))",-15.197121971179783
114,"sub(add(stick(d),sub(stick(d),3)),spot(d))",-14.909439898728001
115,"add(1,sub(2,spot(d)))",-10.920455852163727
116,"sub(stick(d),add(0,spot(d)))",-10.632773779711947
117,"sub(add(2,1),spot(d))",-10.920455852163728
118,"add(mult(1,add(spot(d),stick(d))),mult(spot(d),sub(stripe(d),3)))",-23.750454209211888
119,"sub(mult(mult(stripe(d),stripe(d)),add(mult(0,add(stripe(d),spot(d))),3)),spot(d))",-28.027120328227937
120,"sub(sub(sub(add(stripe(d),add(stick(d),stripe(d))),mult(1,1)),stripe(d)),spot(d))",-28.027120328227937
121,"add(stick(d),sub(spot(d),mult(spot(d),2)))",-14.909439898728001
122,"add(sub(mult(stripe(d),sub(stripe(d),mult(0,3))),spot(d)),2)",-24.038136281663668
123,"add(stick(d),mult(sub(0,stripe(d)),spot(d)))",-14.909439898728001
124,"add(mult(1,spot(d)),add(stick(d),add(mult(0,2),mult(spot(d),sub(1,stick(d))))))",-32.87915059214755
125,"mult(add(sub(mult(stick(d),0),3),spot(d)),sub(1,2))",-24.32581835411545
126,"add(1,sub(stripe(d),sub(spot(d),mult(1,stripe(d)))))",-19.473788090195836
127,"sub(sub(3,mult(spot(d),stripe(d))),0)",-15.197121971179783
128,"sub(sub(add(stick(d),stripe(d)),stripe(d)),spot(d))",-14.62175782627622
129,"sub(0,sub(spot(d),add(stripe(d),sub(3,1))))",-19.761470162647615
130,"add(add(stick(d),add(stripe(d),sub(mult(add(1,mult(0,stick(d))),sub(spot(d),mult(mult(2,1),spot(d)))),add(1,stick(d))))),sub(add(stripe(d),mult(stripe(d),stick(d))),1))",-63.39117757016351
131,"mult(mult(sub(add(3,sub(add(0,stick(d)),spot(d))),3),1),1)",-28.890166545583284
132,"sub(stick(d),mult(spot(d),stripe(d)))",-10.345091707260165
133,"sub(mult(3,stripe(d)),spot(d))",-10.632773779711947
134,"add(add(sub(stripe(d),spot(d)),stripe(d)),add(0,stripe(d)))",-19.186106017744056
135,"add(stick(d),sub(stick(d),add(spot(d),stick(d))))",-14.62175782627622
136,"sub(add(2,2),add(spot(d),1))",-15.484804043631565
137,"sub(spot(d),sub(add(sub(stripe(d),2),0),sub(stripe(d),sub(add(spot(d),spot(d)),stripe(d)))))",-32.30378644724399
138,"add(sub(add(sub(2,add(sub(mult(sub(stick(d),1),1),stripe(d)),0)),1),mult(stripe(d),spot(d))),stripe(d))",-41.720164902631446
139,"sub(add(3,0),spot(d))",-10.920455852163727
140,"add(sub(stripe(d),mult(1,spot(d))),sub(stick(d),stripe(d)))",-19.186106017744063
141,"add(mult(spot(d),sub(0,stripe(d))),3)",-15.197121971179783
142,"sub(add(sub(mult(sub(mult(stick(d),2),sub(add(0,spot(d)),add(3,spot(d)))),stripe(d)),add(mult(stick(d),2),mult(mult(spot(d),mult(0,stripe(d))),spot(d)))),sub(stripe(d),stripe(d))),add(spot(d),0))",-71.94450980819563
143,"sub(add(sub(3,0),0),spot(d))",-15.484804043631565
144,"add(mult(stripe(d),sub(sub(stick(d),sub(spot(d),stripe(d))),stripe(d))),0)",-23.46277213676011
145,"sub(3,add(spot(d),0))",-10.920455852163728
146,"sub(3,mult(spot(d),sub(stripe(d),0)))",-15.197121971179783
147,"add(mult(1,sub(0,spot(d))),stick(d))",-15.197121971179783
148,"add(sub(sub(mult(add(1,sub(0,mult(stripe(d),1))),stripe(d)),spot(d)),1),add(stick(d),stripe(d)))",-37.155816711163595
149,"sub(2,add(add(3,add(sub(mult(1,stripe(d)),3),sub(3,2))),mult(add(0,stripe(d)),sub(spot(d),3))))",-46.859877239002834
150,"sub(add(mult(3,0),mult(sub(1,0),3)),mult(stripe(d),spot(d)))",-28.890166545583284
151,"mult(sub(stripe(d),sub(stripe(d),stripe(d))),sub(stripe(d),add(sub(1,stick(d)),spot(d))))",-27.73943825577616
152,"sub(add(mult(stick(d),0),stripe(d)),sub(spot(d),sub(3,1)))",-24.038136281663668
153,"add(sub(2,spot(d)),mult(add(1,0),stripe(d)))",-19.76147016264762
154,"add(mult(mult(spot(d),sub(mult(spot(d),0),sub(stick(d),stick(d)))),0),sub(stripe(d),sub(spot(d),2)))",-36.86813463871183
155,"mult(1,sub(mult(1,stick(d)),spot(d)))",-15.197121971179783
156,"sub(add(2,sub(1,spot(d))),0)",-15.484804043631565
157,"sub(add(sub(add(add(mult(2,stripe(d)),sub(stripe(d),sub(0,mult(stripe(d),add(3,sub(add(3,1),1)))))),sub(1,add(3,1))),add(spot(d),mult(3,1))),spot(d)),spot(d))",-73.38292017045453
158,"sub(add(stick(d),sub(3,add(spot(d),sub(mult(stripe(d),sub(sub(spot(d),0),spot(d))),stripe(d))))),add(sub(mult(stripe(d),3),mult(3,sub(2,2))),1))",-59.40219352359923
159,"add(sub(stick(d),spot(d)),0)",-10.632773779711947
160,"sub(add(sub(add(sub(stick(d),add(spot(d),stripe(d))),stripe(d)),0),spot(d)),spot(d))",-27.73943825577616
161,"sub(3,add(spot(d),0))",-10.920455852163727
162,"add(sub(stick(d),add(1,spot(d))),stripe(d))",-14.909439898728001
163,"sub(1,sub(mult(spot(d),stripe(d)),2))",-15.197121971179783
164,"mult(sub(stick(d),spot(d)),1)",-10.632773779711945
165,"sub(3,add(sub(mult(stripe(d),add(2,stripe(d))),stick(d)),spot(d)))",-23.750454209211885
166,"sub(1,add(mult(sub(mult(spot(d),stripe(d)),2),1),0))",-24.32581835411545
167,"sub(add(3,3),add(spot(d),3))",-15.484804043631565
168,"sub(sub(add(1,3),1),spot(d))",-15.484804043631565
169,"add(mult(sub(add(0,0),stripe(d)),spot(d)),3)",-19.761470162647615
170,"mult(sub(stick(d),spot(d)),sub(2,sub(stripe(d),0)))",-19.473788090195836
171,"mult(sub(stripe(d),sub(1,sub(3,spot(d)))),1)",-19.76147016264762
172,"sub(add(stick(d),mult(mult(mult(sub(stick(d),mult(stripe(d),0)),sub(0,sub(0,mult(0,stick(d))))),stick(d)),3)),spot(d))",-45.996831021647495
