,rule,log_prob
0,"mult(stripe(d),stick(d))",-6.068425588244111
1,"mult(stick(d),stripe(d))",-6.068425588244111
2,"mult(stick(d),sub(stripe(d),0))",-10.632773779711947
3,"mult(sub(stripe(d),spot(d)),stick(d))",-10.345091707260165
4,"mult(1,mult(add(add(0,0),stick(d)),stripe(d)))",-19.76147016264762
5,"mult(sub(sub(add(stripe(d),spot(d)),0),0),stick(d))",-19.473788090195836
6,"sub(mult(stick(d),add(mult(mult(2,2),0),stripe(d))),0)",-24.325818354115448
7,"add(0,mult(add(stripe(d),0),stick(d)))",-15.197121971179783
8,"mult(stick(d),add(sub(0,0),stripe(d)))",-15.197121971179783
9,"sub(mult(stick(d),stripe(d)),spot(d))",-10.345091707260165
10,"add(mult(stripe(d),stick(d)),0)",-10.632773779711947
11,"mult(stick(d),add(add(stripe(d),add(spot(d),0)),mult(add(mult(2,3),3),spot(d))))",-32.879150592147546
12,"add(mult(2,spot(d)),mult(stick(d),stripe(d)))",-14.909439898728001
13,"mult(add(0,stick(d)),stripe(d))",-10.632773779711947
14,"add(0,mult(sub(mult(stick(d),stripe(d)),0),1))",-19.761470162647615
15,"sub(mult(stripe(d),stick(d)),sub(stripe(d),stripe(d)))",-14.62175782627622
16,"add(mult(stick(d),stripe(d)),add(spot(d),spot(d)))",-14.62175782627622
17,"add(spot(d),mult(stick(d),stripe(d)))",-10.345091707260165
18,"add(mult(stick(d),stripe(d)),0)",-10.632773779711945
19,"add(mult(mult(add(stick(d),0),3),spot(d)),mult(stick(d),stripe(d)))",-23.75045420921189
20,"mult(mult(stick(d),stripe(d)),1)",-10.632773779711947
21,"mult(stick(d),add(2,sub(stripe(d),2)))",-15.197121971179783
22,"add(stick(d),mult(stick(d),sub(sub(spot(d),sub(1,stripe(d))),mult(spot(d),1))))",-28.027120328227937
23,"add(mult(add(stick(d),0),stripe(d)),0)",-15.197121971179783
24,"sub(mult(stripe(d),stick(d)),spot(d))",-10.345091707260165
25,"add(0,mult(stick(d),stripe(d)))",-10.632773779711945
26,"mult(sub(stick(d),spot(d)),stripe(d))",-10.345091707260165
27,"mult(stick(d),add(mult(0,add(3,1)),stripe(d)))",-19.761470162647615
28,"mult(sub(stripe(d),mult(stick(d),spot(d))),stick(d))",-14.62175782627622
29,"add(0,add(0,mult(1,mult(stick(d),stripe(d)))))",-19.761470162647623
30,"mult(add(stick(d),spot(d)),stripe(d))",-10.345091707260165
31,"mult(stick(d),mult(1,stripe(d)))",-10.632773779711947
32,"add(mult(0,mult(stick(d),2)),mult(stripe(d),stick(d)))",-19.47378809019584
33,"mult(stripe(d),mult(stick(d),1))",-10.632773779711947
34,"mult(stripe(d),add(stick(d),0))",-10.632773779711947
35,"mult(mult(stripe(d),stick(d)),1)",-10.632773779711947
36,"mult(1,mult(stripe(d),stick(d)))",-10.632773779711947
37,"mult(stripe(d),add(sub(3,stripe(d)),1))",-15.197121971179783
38,"mult(sub(add(add(0,2),2),stripe(d)),stripe(d))",-19.761470162647623
39,"add(mult(stripe(d),mult(stick(d),1)),spot(d))",-14.909439898728001
40,"mult(sub(stick(d),0),stripe(d))",-10.632773779711945
41,"mult(mult(stripe(d),1),stick(d))",-10.632773779711947
42,"mult(add(stripe(d),0),add(spot(d),stick(d)))",-14.909439898728001
43,"mult(stripe(d),sub(stick(d),spot(d)))",-10.345091707260165
44,"mult(add(stick(d),0),stripe(d))",-10.632773779711947
45,"add(mult(2,mult(0,add(spot(d),mult(stripe(d),spot(d))))),mult(stick(d),stripe(d)))",-28.02712032822794
46,"mult(stripe(d),add(0,stick(d)))",-10.632773779711947
47,"add(mult(stripe(d),stick(d)),mult(sub(2,2),mult(0,1)))",-24.325818354115448
48,"add(mult(stripe(d),stick(d)),mult(3,spot(d)))",-14.909439898728001
49,"mult(sub(stripe(d),add(spot(d),mult(1,0))),stick(d))",-19.473788090195836
50,"add(mult(stick(d),stripe(d)),spot(d))",-10.345091707260165
51,"sub(mult(sub(stripe(d),sub(spot(d),1)),stick(d)),stick(d))",-19.18610601774406
52,"mult(stick(d),add(spot(d),stripe(d)))",-10.345091707260165
53,"mult(add(spot(d),stick(d)),mult(1,stripe(d)))",-14.909439898728001
54,"mult(mult(add(0,1),stripe(d)),stick(d))",-15.197121971179783
55,"add(mult(stick(d),mult(stripe(d),1)),spot(d))",-14.909439898728001
56,"mult(stick(d),add(0,stripe(d)))",-10.632773779711947
57,"mult(mult(stick(d),1),stripe(d))",-10.632773779711947
58,"mult(sub(stick(d),mult(spot(d),mult(1,2))),stripe(d))",-19.473788090195836
59,"mult(add(stick(d),add(spot(d),mult(0,mult(mult(stick(d),stick(d)),1)))),stripe(d))",-28.02712032822794
60,"sub(add(sub(stick(d),spot(d)),mult(sub(stick(d),0),mult(stripe(d),1))),stick(d))",-28.027120328227937
61,"mult(add(mult(1,spot(d)),stick(d)),add(spot(d),stripe(d)))",-19.18610601774406
62,"add(spot(d),add(mult(stick(d),sub(0,spot(d))),mult(add(sub(3,3),stick(d)),stripe(d))))",-32.59146851969577
63,"mult(stick(d),add(add(mult(stick(d),0),stripe(d)),spot(d)))",-19.186106017744056
64,"add(sub(mult(stick(d),stripe(d)),stripe(d)),stripe(d))",-14.62175782627622
65,"mult(add(stripe(d),mult(spot(d),spot(d))),stick(d))",-14.62175782627622
66,"sub(mult(sub(add(2,stripe(d)),1),stick(d)),stick(d))",-19.473788090195836
67,"add(mult(stick(d),stripe(d)),0)",-10.632773779711947
68,"sub(sub(mult(stick(d),sub(stripe(d),0)),mult(0,sub(1,0))),0)",-28.89016654558328
69,"mult(stripe(d),sub(stick(d),0))",-10.632773779711947
70,"mult(add(stripe(d),spot(d)),stick(d))",-10.345091707260165
71,"mult(sub(stick(d),mult(sub(1,sub(3,2)),3)),stripe(d))",-24.32581835411545
72,"mult(sub(stripe(d),0),stick(d))",-10.632773779711947
73,"add(mult(stripe(d),stick(d)),spot(d))",-10.345091707260165
74,"mult(mult(add(mult(0,3),1),stripe(d)),stick(d))",-19.76147016264762
75,"mult(add(stripe(d),0),stick(d))",-10.632773779711947
76,"sub(sub(mult(sub(3,0),1),sub(3,mult(stick(d),stripe(d)))),spot(d))",-28.6024844731315
77,"mult(sub(add(stripe(d),mult(0,3)),0),stick(d))",-19.76147016264762
78,"sub(mult(stick(d),add(spot(d),stripe(d))),spot(d))",-14.62175782627622
79,"add(0,mult(stripe(d),stick(d)))",-10.632773779711945
80,"add(spot(d),mult(stripe(d),stick(d)))",-10.345091707260165
81,"mult(mult(1,stripe(d)),stick(d))",-10.632773779711947
82,"mult(stick(d),add(stripe(d),spot(d)))",-10.345091707260165
83,"add(mult(stripe(d),sub(stick(d),1)),mult(stripe(d),1))",-19.47378809019584
84,"add(spot(d),mult(1,mult(add(mult(sub(0,stick(d)),add(0,spot(d))),stripe(d)),stick(d))))",-32.59146851969577
85,"sub(mult(stick(d),stripe(d)),mult(add(add(1,3),1),0))",-24.325818354115448
86,"mult(1,mult(sub(spot(d),stick(d)),sub(add(sub(stripe(d),stripe(d)),0),stripe(d))))",-28.02712032822794
87,"sub(add(add(mult(stick(d),stripe(d)),1),2),3)",-19.76147016264762
88,"mult(add(0,stripe(d)),stick(d))",-10.632773779711947
89,"add(mult(1,0),mult(stripe(d),sub(stick(d),0)))",-19.76147016264762
90,"mult(1,mult(stick(d),stripe(d)))",-10.632773779711947
91,"mult(stripe(d),add(spot(d),stick(d)))",-10.345091707260165
92,"sub(add(mult(stick(d),stripe(d)),spot(d)),spot(d))",-14.62175782627622
93,"sub(mult(stick(d),stripe(d)),sub(spot(d),0))",-14.909439898728001
94,"mult(mult(1,mult(stick(d),stripe(d))),1)",-15.197121971179783
95,"mult(sub(stripe(d),add(0,spot(d))),stick(d))",-14.909439898728001
96,"mult(stripe(d),add(stick(d),spot(d)))",-10.345091707260165
97,"mult(stripe(d),add(stick(d),sub(add(spot(d),2),2)))",-19.473788090195836
98,"add(mult(stick(d),mult(1,stripe(d))),spot(d))",-14.909439898728001
99,"mult(mult(add(mult(0,spot(d)),stripe(d)),1),stick(d))",-19.47378809019584
100,"add(0,mult(stick(d),stripe(d)))",-10.632773779711947
101,"add(sub(mult(mult(1,stripe(d)),add(spot(d),add(spot(d),stick(d)))),spot(d)),spot(d))",-27.739438255776157
102,"mult(stick(d),add(stripe(d),0))",-10.632773779711947
103,"mult(sub(add(3,stripe(d)),3),stick(d))",-15.197121971179783
104,"add(spot(d),mult(stripe(d),sub(stick(d),0)))",-14.909439898728001
105,"mult(add(spot(d),stripe(d)),stick(d))",-10.345091707260165
106,"add(spot(d),mult(add(stick(d),spot(d)),add(mult(add(spot(d),stripe(d)),1),0)))",-28.027120328227944
107,"add(mult(spot(d),mult(3,0)),add(0,mult(stripe(d),stick(d))))",-24.03813628166367
108,"add(0,mult(sub(stick(d),spot(d)),stripe(d)))",-14.909439898728001
109,"mult(mult(stick(d),stripe(d)),1)",-10.632773779711945
110,"sub(mult(mult(stripe(d),1),stick(d)),mult(sub(stripe(d),1),0))",-24.038136281663668
111,"add(0,mult(stripe(d),stick(d)))",-10.632773779711947
112,"mult(stripe(d),add(sub(stick(d),spot(d)),add(sub(0,2),2)))",-24.038136281663668
113,"add(mult(add(spot(d),sub(stick(d),0)),stripe(d)),spot(d))",-19.186106017744056
114,"add(mult(stripe(d),stick(d)),mult(stripe(d),spot(d)))",-14.62175782627622
115,"mult(stick(d),add(mult(add(stick(d),3),sub(1,1)),stripe(d)))",-24.038136281663668
116,"sub(mult(stick(d),stripe(d)),mult(2,spot(d)))",-14.909439898728001
117,"mult(add(sub(stick(d),add(0,add(0,1))),mult(1,1)),sub(stripe(d),spot(d)))",-33.166832664599326
118,"mult(stripe(d),mult(1,stick(d)))",-10.632773779711947
119,"mult(stripe(d),add(add(add(0,mult(mult(stripe(d),0),stick(d))),add(stick(d),0)),0))",-32.87915059214755
120,"mult(sub(stripe(d),mult(0,3)),stick(d))",-15.197121971179783
121,"mult(add(add(stick(d),sub(0,1)),1),stripe(d))",-19.761470162647615
122,"add(mult(stripe(d),stick(d)),sub(spot(d),0))",-14.909439898728001
123,"mult(sub(stick(d),sub(sub(stripe(d),stripe(d)),sub(add(1,2),3))),stripe(d))",-28.31480240067972
124,"mult(mult(stripe(d),1),stick(d))",-10.632773779711945
125,"mult(add(stripe(d),sub(mult(add(spot(d),0),mult(3,1)),spot(d))),stick(d))",-28.314802400679717
126,"mult(stick(d),mult(stripe(d),1))",-10.632773779711947
127,"add(add(spot(d),0),sub(spot(d),sub(0,mult(stick(d),stripe(d)))))",-23.750454209211888
128,"mult(stick(d),sub(stripe(d),spot(d)))",-10.345091707260165
129,"mult(add(0,add(0,stick(d))),stripe(d))",-15.197121971179783
130,"sub(mult(add(stick(d),1),stripe(d)),stripe(d))",-14.909439898728001
131,"mult(add(sub(spot(d),spot(d)),stick(d)),stripe(d))",-14.62175782627622
132,"mult(sub(stick(d),0),stripe(d))",-10.632773779711947
133,"sub(mult(stick(d),mult(1,stripe(d))),spot(d))",-14.909439898728001
134,"add(add(spot(d),mult(stick(d),stripe(d))),add(spot(d),spot(d)))",-18.898423945292272
135,"add(mult(stick(d),stripe(d)),mult(add(spot(d),spot(d)),sub(spot(d),spot(d))))",-23.175090064308325
136,"sub(mult(stick(d),stripe(d)),0)",-10.632773779711947
137,"sub(sub(mult(stripe(d),add(stick(d),0)),0),spot(d))",-19.473788090195836
138,"mult(add(stripe(d),mult(3,spot(d))),add(spot(d),stick(d)))",-19.18610601774406
139,"add(mult(spot(d),1),mult(stripe(d),add(spot(d),add(spot(d),stick(d)))))",-23.46277213676011
140,"add(add(0,mult(1,mult(stripe(d),stick(d)))),spot(d))",-19.47378809019584
141,"add(mult(0,2),mult(stick(d),stripe(d)))",-15.197121971179783
142,"mult(add(spot(d),stripe(d)),sub(stick(d),mult(sub(spot(d),3),0)))",-23.75045420921189
143,"mult(add(spot(d),sub(stick(d),spot(d))),stripe(d))",-14.62175782627622
