,rule,log_prob
0,"mult(stick(d),sub(spot(d),1))",-10.632773779711947
1,"sub(mult(3,stripe(d)),mult(stripe(d),stick(d)))",-14.909439898728001
2,"mult(stripe(d),sub(3,stick(d)))",-10.632773779711947
3,"add(stick(d),mult(stick(d),sub(add(0,spot(d)),2)))",-19.473788090195836
4,"sub(mult(stripe(d),sub(mult(1,mult(add(spot(d),stripe(d)),1)),stick(d))),stripe(d))",-28.02712032822794
5,"mult(stick(d),sub(0,sub(stick(d),sub(3,0))))",-19.761470162647615
6,"mult(sub(spot(d),1),stick(d))",-10.632773779711947
7,"sub(mult(spot(d),stick(d)),stripe(d))",-10.345091707260165
8,"mult(sub(3,stripe(d)),stripe(d))",-10.632773779711947
9,"sub(mult(stick(d),spot(d)),stripe(d))",-10.345091707260165
10,"mult(sub(spot(d),1),stripe(d))",-10.632773779711947
11,"mult(sub(3,add(stripe(d),0)),stick(d))",-15.197121971179783
12,"mult(sub(3,stripe(d)),stick(d))",-10.632773779711945
13,"mult(stick(d),sub(3,stripe(d)))",-10.632773779711947
14,"add(add(stripe(d),0),add(mult(stick(d),sub(2,stick(d))),sub(mult(3,1),3)))",-33.16683266459933
15,"mult(add(sub(spot(d),3),2),stripe(d))",-15.197121971179783
16,"sub(mult(stripe(d),spot(d)),add(stripe(d),0))",-14.909439898728001
17,"sub(mult(stripe(d),sub(3,stick(d))),mult(mult(2,0),stick(d)))",-24.03813628166367
18,"mult(sub(3,stick(d)),stick(d))",-10.632773779711947
19,"mult(sub(3,stick(d)),stripe(d))",-10.632773779711947
20,"add(mult(stripe(d),sub(sub(spot(d),stripe(d)),spot(d))),mult(stick(d),3))",-23.46277213676011
21,"add(0,mult(sub(3,stick(d)),stripe(d)))",-15.197121971179783
22,"mult(sub(sub(add(2,spot(d)),3),0),stripe(d))",-19.76147016264762
23,"sub(mult(spot(d),stripe(d)),stripe(d))",-10.345091707260165
24,"sub(mult(spot(d),stick(d)),stick(d))",-10.345091707260165
25,"sub(mult(stripe(d),spot(d)),add(0,stripe(d)))",-14.909439898728001
26,"mult(stripe(d),sub(2,sub(3,spot(d))))",-15.197121971179783
27,"sub(stick(d),mult(stripe(d),sub(2,sub(spot(d),0))))",-19.473788090195836
28,"sub(mult(stick(d),sub(3,stick(d))),0)",-15.197121971179783
29,"sub(add(stick(d),mult(sub(2,stick(d)),stripe(d))),0)",-19.47378809019584
30,"mult(stick(d),sub(3,stick(d)))",-10.632773779711947
31,"mult(add(sub(1,2),spot(d)),stick(d))",-15.197121971179783
32,"mult(sub(3,mult(1,stick(d))),stripe(d))",-15.197121971179783
33,"mult(stick(d),sub(add(mult(add(spot(d),mult(0,stick(d))),0),3),stripe(d)))",-28.31480240067972
34,"sub(mult(spot(d),stripe(d)),stick(d))",-10.345091707260165
35,"sub(stripe(d),mult(mult(sub(1,0),sub(stripe(d),2)),stripe(d)))",-24.038136281663665
36,"mult(stick(d),add(add(sub(mult(add(0,spot(d)),2),spot(d)),sub(1,3)),1))",-33.16683266459933
37,"mult(stick(d),mult(1,add(sub(stripe(d),sub(add(stripe(d),stick(d)),sub(stick(d),stripe(d)))),3)))",-32.303786447243986
38,"mult(stripe(d),add(3,mult(sub(add(sub(1,spot(d)),1),sub(stick(d),1)),stick(d))))",-32.87915059214755
39,"mult(sub(3,stick(d)),stripe(d))",-10.632773779711945
40,"mult(stripe(d),sub(3,stripe(d)))",-10.632773779711947
41,"add(mult(stripe(d),sub(spot(d),2)),stripe(d))",-14.909439898728001
42,"sub(mult(stick(d),spot(d)),stick(d))",-10.345091707260165
43,"mult(add(sub(2,sub(3,mult(stripe(d),0))),spot(d)),stripe(d))",-24.038136281663668
44,"sub(mult(stripe(d),spot(d)),stick(d))",-10.345091707260165
45,"add(mult(mult(stick(d),sub(spot(d),2)),1),stripe(d))",-19.47378809019584
46,"mult(stripe(d),sub(spot(d),1))",-10.632773779711947
47,"add(stripe(d),sub(mult(spot(d),sub(stripe(d),0)),add(add(0,0),mult(2,stick(d)))))",-32.87915059214755
48,"add(3,sub(sub(sub(stripe(d),0),stripe(d)),sub(add(stripe(d),3),mult(stripe(d),spot(d)))))",-32.591468519695766
49,"mult(sub(3,stick(d)),add(0,stripe(d)))",-15.197121971179783
