,rule,log_prob
0,"add(sub(stick(d),spot(d)),mult(0,add(add(mult(stripe(d),2),spot(d)),mult(3,spot(d)))))",-32.59146851969577
1,"sub(stick(d),mult(stripe(d),spot(d)))",-10.345091707260165
2,"sub(mult(2,stick(d)),add(spot(d),3))",-15.197121971179783
3,"sub(stick(d),spot(d))",-6.068425588244111
4,"sub(3,spot(d))",-6.3561076606958915
5,"sub(2,add(sub(spot(d),add(3,stripe(d))),3))",-19.76147016264762
6,"mult(1,sub(3,sub(3,add(1,sub(2,spot(d))))))",-24.61350042656723
7,"sub(sub(add(2,sub(stick(d),sub(sub(stripe(d),mult(1,1)),stripe(d)))),spot(d)),stick(d))",-32.59146851969577
8,"mult(1,add(sub(add(1,stripe(d)),spot(d)),stripe(d)))",-19.47378809019584
9,"sub(sub(2,0),sub(spot(d),stripe(d)))",-15.197121971179783
10,"add(sub(add(stick(d),0),add(stripe(d),spot(d))),stripe(d))",-19.186106017744056
11,"sub(stick(d),sub(spot(d),0))",-10.632773779711947
12,"sub(0,sub(spot(d),3))",-10.920455852163728
13,"add(sub(stick(d),spot(d)),0)",-10.632773779711947
14,"add(sub(0,spot(d)),stick(d))",-10.632773779711947
15,"sub(sub(add(stripe(d),stick(d)),mult(stripe(d),1)),spot(d))",-19.186106017744056
16,"mult(1,sub(stick(d),spot(d)))",-10.632773779711947
17,"sub(mult(stick(d),stripe(d)),spot(d))",-10.345091707260165
18,"sub(3,mult(spot(d),stripe(d)))",-10.632773779711945
19,"sub(sub(stick(d),spot(d)),sub(mult(stripe(d),stick(d)),stick(d)))",-18.898423945292276
20,"sub(2,sub(spot(d),1))",-10.920455852163728
21,"add(stripe(d),sub(2,spot(d)))",-10.632773779711947
22,"sub(0,add(sub(sub(add(spot(d),stripe(d)),1),stick(d)),0))",-24.038136281663668
23,"mult(stripe(d),sub(2,sub(spot(d),sub(sub(1,0),add(0,0)))))",-28.89016654558328
24,"add(mult(sub(3,spot(d)),stripe(d)),0)",-15.197121971179783
25,"add(sub(stripe(d),spot(d)),2)",-10.632773779711947
26,"sub(3,add(sub(spot(d),spot(d)),spot(d)))",-14.909439898728001
27,"add(sub(2,spot(d)),1)",-10.920455852163728
28,"sub(sub(3,mult(0,1)),spot(d))",-15.484804043631565
29,"sub(mult(stick(d),1),spot(d))",-10.632773779711945
30,"sub(0,sub(spot(d),stick(d)))",-10.632773779711947
31,"add(sub(3,spot(d)),0)",-10.920455852163727
32,"sub(add(sub(stripe(d),stripe(d)),stick(d)),spot(d))",-14.62175782627622
33,"sub(stick(d),add(spot(d),0))",-10.632773779711947
34,"sub(mult(3,1),add(add(sub(spot(d),3),stick(d)),mult(2,0)))",-28.890166545583277
35,"sub(add(1,2),spot(d))",-10.920455852163727
36,"mult(sub(sub(2,sub(sub(3,stripe(d)),1)),sub(spot(d),2)),stripe(d))",-28.602484473131504
37,"sub(mult(3,stripe(d)),spot(d))",-10.632773779711947
38,"sub(2,sub(spot(d),stripe(d)))",-10.632773779711947
39,"mult(1,sub(3,mult(spot(d),1)))",-15.484804043631565
40,"add(sub(2,0),sub(1,spot(d)))",-15.484804043631565
41,"sub(3,add(spot(d),0))",-10.920455852163728
42,"mult(stripe(d),sub(3,spot(d)))",-10.632773779711947
43,"sub(sub(3,stripe(d)),sub(spot(d),1))",-15.197121971179783
44,"sub(sub(3,0),spot(d))",-10.920455852163728
45,"sub(mult(stick(d),1),spot(d))",-10.632773779711947
46,"mult(add(mult(sub(stripe(d),2),mult(spot(d),stripe(d))),3),1)",-24.03813628166367
47,"sub(mult(stripe(d),stick(d)),spot(d))",-10.345091707260165
48,"add(mult(2,sub(0,add(stripe(d),0))),sub(mult(2,3),add(stripe(d),spot(d))))",-33.16683266459933
49,"sub(sub(2,sub(1,2)),spot(d))",-15.484804043631565
50,"sub(3,mult(spot(d),stripe(d)))",-10.632773779711947
51,"mult(sub(stick(d),spot(d)),stripe(d))",-10.345091707260165
52,"add(3,mult(spot(d),sub(stick(d),mult(1,add(0,add(stick(d),1))))))",-28.6024844731315
53,"sub(stick(d),add(0,spot(d)))",-10.632773779711947
54,"sub(mult(stripe(d),3),spot(d))",-10.632773779711947
55,"sub(3,sub(spot(d),mult(mult(add(0,2),0),add(spot(d),stick(d)))))",-28.6024844731315
56,"sub(1,sub(spot(d),2))",-10.920455852163728
57,"add(1,sub(2,spot(d)))",-10.920455852163727
58,"sub(mult(sub(add(2,1),2),stick(d)),spot(d))",-19.761470162647615
59,"sub(sub(stick(d),0),spot(d))",-10.632773779711947
60,"sub(sub(add(0,stick(d)),0),spot(d))",-15.197121971179783
61,"add(sub(mult(0,sub(spot(d),1)),spot(d)),3)",-19.761470162647615
62,"sub(add(2,1),sub(spot(d),0))",-15.484804043631565
63,"sub(add(0,stick(d)),spot(d))",-10.632773779711945
64,"add(sub(add(0,stick(d)),mult(add(0,2),spot(d))),spot(d))",-24.038136281663668
65,"sub(add(stripe(d),add(0,2)),spot(d))",-15.197121971179783
66,"add(add(stripe(d),sub(stripe(d),add(spot(d),2))),stick(d))",-19.186106017744052
67,"add(sub(add(add(2,stripe(d)),0),add(stick(d),spot(d))),mult(3,1))",-28.602484473131497
68,"sub(1,sub(1,add(sub(2,spot(d)),stripe(d))))",-19.761470162647623
69,"add(sub(stick(d),spot(d)),mult(0,mult(0,mult(2,sub(1,sub(spot(d),0))))))",-33.16683266459933
70,"mult(1,sub(stick(d),mult(1,spot(d))))",-15.197121971179783
71,"sub(mult(1,mult(1,stick(d))),spot(d))",-15.197121971179783
72,"mult(stripe(d),sub(stick(d),spot(d)))",-10.345091707260165
73,"mult(sub(stick(d),spot(d)),1)",-10.632773779711947
74,"sub(sub(stick(d),3),sub(spot(d),3))",-15.197121971179783
75,"add(sub(stick(d),spot(d)),mult(mult(3,0),stripe(d)))",-19.473788090195836
76,"sub(add(stick(d),mult(0,2)),spot(d))",-15.197121971179783
