,rule,log_prob
0,"mult(stick(d),stripe(d))",-6.068425588244111
1,"mult(stripe(d),stick(d))",-6.068425588244111
2,"sub(mult(stick(d),stripe(d)),spot(d))",-10.345091707260165
3,"mult(stick(d),add(stripe(d),spot(d)))",-10.345091707260165
4,"mult(stripe(d),sub(stick(d),0))",-10.632773779711947
5,"mult(stick(d),mult(stripe(d),1))",-10.632773779711945
6,"mult(stripe(d),sub(stick(d),spot(d)))",-10.345091707260165
7,"mult(stick(d),add(sub(stripe(d),mult(spot(d),add(stick(d),add(1,1)))),0))",-28.31480240067972
8,"add(0,mult(stick(d),stripe(d)))",-10.632773779711947
9,"add(spot(d),mult(stick(d),stripe(d)))",-10.345091707260165
10,"mult(stripe(d),add(0,stick(d)))",-10.632773779711947
11,"mult(stick(d),add(spot(d),stripe(d)))",-10.345091707260165
12,"mult(sub(0,sub(mult(0,stick(d)),stripe(d))),stick(d))",-19.47378809019584
13,"mult(sub(stripe(d),0),stick(d))",-10.632773779711947
14,"mult(stick(d),sub(stripe(d),spot(d)))",-10.345091707260165
15,"mult(add(stick(d),mult(sub(sub(sub(add(spot(d),2),1),3),add(1,0)),spot(d))),stripe(d))",-37.443498783615375
16,"add(mult(stick(d),stripe(d)),mult(3,0))",-15.197121971179783
17,"mult(sub(stick(d),spot(d)),stripe(d))",-10.345091707260165
18,"mult(stripe(d),add(spot(d),sub(stick(d),spot(d))))",-14.62175782627622
19,"mult(stripe(d),add(mult(spot(d),stick(d)),stick(d)))",-14.62175782627622
20,"mult(add(stick(d),sub(2,2)),stripe(d))",-15.197121971179783
21,"sub(mult(stripe(d),stick(d)),spot(d))",-10.345091707260165
22,"mult(stick(d),sub(stripe(d),mult(spot(d),1)))",-14.909439898728001
23,"mult(sub(stripe(d),sub(add(1,2),add(add(add(sub(spot(d),3),add(add(sub(stick(d),stripe(d)),stripe(d)),0)),stick(d)),2))),sub(add(stripe(d),0),mult(mult(mult(mult(add(0,spot(d)),0),stick(d)),3),1)))",-81.64857033603488
24,"add(sub(stripe(d),stripe(d)),mult(stripe(d),stick(d)))",-14.62175782627622
25,"sub(spot(d),mult(mult(1,stripe(d)),sub(spot(d),stick(d))))",-19.186106017744056
26,"mult(add(stick(d),mult(stripe(d),mult(mult(stripe(d),0),2))),stripe(d))",-23.750454209211888
27,"sub(spot(d),mult(sub(0,stick(d)),sub(stripe(d),mult(mult(spot(d),sub(sub(stripe(d),spot(d)),mult(2,stick(d)))),mult(stick(d),mult(mult(add(stick(d),1),stick(d)),mult(spot(d),spot(d))))))))",-62.52813135280817
28,"add(sub(mult(stick(d),stripe(d)),sub(stick(d),spot(d))),stick(d))",-18.898423945292276
29,"mult(stripe(d),add(stick(d),0))",-10.632773779711947
30,"add(mult(stick(d),stripe(d)),sub(2,2))",-15.197121971179783
31,"add(sub(mult(sub(stick(d),add(stick(d),spot(d))),spot(d)),spot(d)),mult(stripe(d),add(sub(mult(1,stick(d)),add(add(spot(d),mult(1,0)),spot(d))),0)))",-54.26248118722784
