,rule,log_prob
0,"sub(mult(stripe(d),spot(d)),spot(d))",-10.345091707260165
1,"sub(mult(stick(d),stripe(d)),spot(d))",-10.345091707260165
2,"add(spot(d),mult(sub(2,spot(d)),stick(d)))",-14.909439898728001
3,"sub(mult(stripe(d),spot(d)),stick(d))",-10.345091707260165
4,"mult(stick(d),sub(3,spot(d)))",-10.632773779711947
5,"mult(spot(d),sub(3,stick(d)))",-10.632773779711947
6,"sub(mult(stripe(d),stick(d)),spot(d))",-10.345091707260165
7,"sub(mult(spot(d),stripe(d)),stick(d))",-10.345091707260165
8,"mult(sub(1,stripe(d)),sub(0,sub(spot(d),0)))",-19.76147016264762
9,"mult(stick(d),sub(sub(2,sub(1,2)),spot(d)))",-19.761470162647615
