,rule,log_prob
0,"mult(spot(d),add(0,add(stick(d),mult(stripe(d),spot(d)))))",-19.186106017744056
1,"sub(mult(sub(stick(d),0),spot(d)),mult(0,add(3,add(0,stripe(d)))))",-28.6024844731315
2,"mult(spot(d),stick(d))",-6.068425588244111
3,"mult(stick(d),spot(d))",-6.068425588244111
4,"add(0,mult(spot(d),stick(d)))",-10.632773779711947
5,"mult(spot(d),add(mult(add(3,1),mult(sub(stick(d),stick(d)),stripe(d))),stick(d)))",-28.027120328227937
6,"mult(mult(1,spot(d)),stick(d))",-10.632773779711945
7,"mult(stick(d),sub(spot(d),stripe(d)))",-10.345091707260165
8,"add(stripe(d),mult(add(0,stick(d)),spot(d)))",-14.909439898728001
9,"mult(mult(sub(spot(d),0),stick(d)),1)",-15.197121971179783
10,"add(stripe(d),sub(add(mult(stick(d),mult(1,spot(d))),spot(d)),spot(d)))",-23.46277213676011
11,"mult(stick(d),add(0,spot(d)))",-10.632773779711947
12,"mult(add(sub(2,1),sub(add(spot(d),0),add(0,1))),stick(d))",-28.89016654558328
13,"sub(mult(stick(d),spot(d)),stripe(d))",-10.345091707260165
14,"add(stripe(d),mult(stick(d),spot(d)))",-10.345091707260165
15,"mult(sub(stick(d),stripe(d)),spot(d))",-10.345091707260165
16,"mult(stick(d),add(add(mult(0,1),stripe(d)),sub(spot(d),0)))",-24.038136281663668
17,"add(mult(spot(d),add(stick(d),stripe(d))),stripe(d))",-14.62175782627622
18,"mult(add(mult(stick(d),add(1,stripe(d))),0),spot(d))",-19.473788090195836
19,"mult(add(stripe(d),stick(d)),add(spot(d),stripe(d)))",-14.62175782627622
20,"add(stripe(d),mult(spot(d),stick(d)))",-10.345091707260165
21,"add(mult(add(stripe(d),spot(d)),stick(d)),mult(stick(d),0))",-19.186106017744056
22,"mult(mult(1,stick(d)),spot(d))",-10.632773779711945
23,"mult(spot(d),mult(stick(d),1))",-10.632773779711947
24,"mult(mult(1,stick(d)),mult(mult(1,1),spot(d)))",-19.761470162647615
25,"sub(sub(mult(stick(d),spot(d)),sub(0,2)),2)",-19.761470162647615
26,"sub(mult(spot(d),add(stick(d),stripe(d))),stripe(d))",-14.62175782627622
27,"sub(stick(d),mult(add(stick(d),mult(add(stripe(d),stripe(d)),stick(d))),sub(stick(d),3)))",-27.739438255776157
28,"mult(add(spot(d),stripe(d)),stick(d))",-10.345091707260165
29,"mult(stick(d),add(spot(d),mult(mult(0,spot(d)),add(stripe(d),2))))",-23.750454209211888
30,"mult(stick(d),sub(spot(d),0))",-10.632773779711947
31,"mult(stick(d),add(spot(d),stripe(d)))",-10.345091707260165
32,"mult(mult(spot(d),stick(d)),1)",-10.632773779711947
33,"mult(mult(stick(d),1),spot(d))",-10.632773779711947
34,"sub(sub(mult(add(stick(d),sub(stripe(d),0)),add(spot(d),0)),0),0)",-28.6024844731315
35,"add(mult(stick(d),spot(d)),stripe(d))",-10.345091707260165
36,"mult(stick(d),add(0,add(0,add(stripe(d),spot(d)))))",-19.47378809019584
37,"mult(spot(d),sub(stick(d),sub(0,0)))",-15.197121971179783
38,"mult(add(sub(spot(d),2),2),stick(d))",-15.197121971179783
39,"add(spot(d),mult(spot(d),add(3,sub(stick(d),add(stick(d),spot(d))))))",-23.46277213676011
40,"mult(stick(d),add(stripe(d),add(mult(mult(stripe(d),sub(stick(d),2)),spot(d)),spot(d))))",-27.739438255776157
41,"sub(mult(stick(d),add(spot(d),3)),mult(add(2,1),stick(d)))",-24.038136281663668
42,"mult(spot(d),add(add(stick(d),spot(d)),add(mult(stripe(d),0),sub(0,spot(d)))))",-28.027120328227937
43,"mult(stick(d),add(spot(d),0))",-10.632773779711947
44,"sub(mult(stick(d),spot(d)),0)",-10.632773779711947
45,"mult(sub(stick(d),0),spot(d))",-10.632773779711947
46,"mult(add(0,add(stripe(d),spot(d))),stick(d))",-14.909439898728001
47,"mult(add(stick(d),mult(stripe(d),0)),spot(d))",-14.909439898728001
48,"mult(add(0,spot(d)),stick(d))",-10.632773779711945
49,"mult(sub(spot(d),sub(sub(mult(1,1),stripe(d)),1)),stick(d))",-24.038136281663665
50,"sub(mult(stick(d),spot(d)),sub(2,2))",-15.197121971179783
51,"mult(mult(spot(d),1),stick(d))",-10.632773779711947
52,"mult(spot(d),sub(stick(d),stripe(d)))",-10.345091707260165
53,"mult(add(stick(d),stripe(d)),spot(d))",-10.345091707260165
54,"mult(sub(stick(d),0),spot(d))",-10.632773779711945
55,"add(mult(spot(d),stick(d)),stripe(d))",-10.345091707260165
56,"mult(add(sub(sub(sub(stick(d),0),3),0),3),spot(d))",-24.325818354115448
57,"mult(mult(sub(2,1),spot(d)),stick(d))",-15.197121971179783
58,"add(stripe(d),mult(add(stripe(d),spot(d)),stick(d)))",-14.62175782627622
59,"mult(add(stripe(d),spot(d)),stick(d))",-10.345091707260165
60,"mult(stick(d),sub(spot(d),mult(3,mult(0,stripe(d)))))",-19.47378809019584
61,"mult(add(add(stick(d),mult(1,mult(mult(spot(d),0),1))),stripe(d)),add(spot(d),0))",-32.879150592147546
62,"mult(stick(d),sub(add(stripe(d),spot(d)),add(sub(3,add(spot(d),3)),spot(d))))",-28.02712032822794
63,"mult(spot(d),add(stick(d),stripe(d)))",-10.345091707260165
64,"add(mult(stick(d),spot(d)),0)",-10.632773779711945
65,"add(mult(spot(d),sub(add(0,stick(d)),stripe(d))),stripe(d))",-19.186106017744056
66,"mult(sub(sub(stick(d),sub(0,0)),0),spot(d))",-19.761470162647615
67,"mult(mult(add(0,stick(d)),1),sub(spot(d),stripe(d)))",-19.47378809019584
68,"mult(mult(spot(d),sub(1,add(stripe(d),0))),stick(d))",-19.473788090195836
69,"mult(add(0,spot(d)),stick(d))",-10.632773779711947
70,"mult(sub(add(stick(d),spot(d)),spot(d)),add(stripe(d),sub(spot(d),stripe(d))))",-23.175090064308332
71,"add(mult(mult(1,mult(stripe(d),spot(d))),spot(d)),mult(stick(d),spot(d)))",-23.462772136760105
72,"mult(add(spot(d),add(mult(mult(stick(d),stripe(d)),stripe(d)),stripe(d))),stick(d))",-23.17509006430833
73,"sub(stripe(d),sub(0,add(stripe(d),mult(spot(d),stick(d)))))",-19.186106017744056
74,"mult(add(stick(d),0),spot(d))",-10.632773779711945
75,"mult(spot(d),add(stick(d),mult(add(stripe(d),0),sub(add(spot(d),sub(2,spot(d))),stripe(d)))))",-32.30378644724399
76,"mult(stick(d),mult(spot(d),1))",-10.632773779711947
77,"sub(mult(mult(spot(d),1),add(0,stick(d))),0)",-19.76147016264762
78,"sub(mult(add(0,stick(d)),spot(d)),stripe(d))",-14.909439898728001
79,"mult(sub(0,spot(d)),sub(stripe(d),stick(d)))",-14.909439898728001
80,"mult(sub(spot(d),mult(stripe(d),sub(1,spot(d)))),stick(d))",-19.186106017744056
81,"sub(sub(add(add(stripe(d),mult(spot(d),stick(d))),stripe(d)),mult(mult(2,stripe(d)),3)),stripe(d))",-32.30378644724399
82,"mult(spot(d),mult(1,stick(d)))",-10.632773779711947
83,"mult(spot(d),add(0,stick(d)))",-10.632773779711947
84,"mult(sub(spot(d),stripe(d)),stick(d))",-10.345091707260165
85,"add(0,sub(mult(stick(d),spot(d)),0))",-15.197121971179781
86,"sub(mult(stick(d),spot(d)),0)",-10.632773779711945
87,"mult(mult(stick(d),spot(d)),mult(sub(1,mult(stripe(d),stripe(d))),1))",-23.750454209211888
88,"mult(mult(1,stick(d)),spot(d))",-10.632773779711947
89,"mult(mult(stick(d),spot(d)),sub(1,stripe(d)))",-14.909439898728001
90,"mult(sub(stick(d),stripe(d)),add(spot(d),stripe(d)))",-14.62175782627622
91,"mult(stick(d),add(stripe(d),spot(d)))",-10.345091707260165
92,"sub(0,mult(add(sub(0,spot(d)),0),stick(d)))",-19.76147016264762
93,"mult(spot(d),add(stick(d),0))",-10.632773779711947
94,"add(mult(stick(d),spot(d)),0)",-10.632773779711947
95,"mult(sub(spot(d),0),stick(d))",-10.632773779711947
96,"add(add(mult(sub(spot(d),0),stick(d)),mult(stripe(d),stick(d))),mult(stick(d),add(stripe(d),stripe(d))))",-32.016104374792214
97,"mult(spot(d),sub(stick(d),mult(stripe(d),add(sub(spot(d),spot(d)),3))))",-23.462772136760105
98,"mult(stick(d),sub(spot(d),mult(3,0)))",-15.197121971179783
99,"mult(add(stripe(d),add(0,spot(d))),sub(stick(d),stripe(d)))",-19.186106017744056
100,"mult(stick(d),add(mult(2,mult(spot(d),0)),add(spot(d),stripe(d))))",-23.75045420921189
101,"add(mult(spot(d),stick(d)),mult(spot(d),mult(3,0)))",-19.473788090195836
102,"mult(spot(d),add(sub(stick(d),1),1))",-15.197121971179783
103,"mult(mult(1,spot(d)),add(0,add(0,stick(d))))",-19.76147016264762
104,"add(mult(spot(d),stick(d)),mult(stripe(d),sub(0,3)))",-19.473788090195836
105,"add(add(mult(spot(d),stick(d)),sub(0,stripe(d))),stripe(d))",-19.186106017744056
106,"mult(mult(stick(d),spot(d)),1)",-10.632773779711947
