,rule,log_prob
0,"sub(stick(d),stripe(d))",-6.068425588244111
1,"sub(3,stripe(d))",-6.3561076606958915
2,"add(stick(d),sub(0,stripe(d)))",-10.632773779711947
3,"sub(2,sub(spot(d),sub(stick(d),add(stripe(d),1))))",-19.473788090195836
4,"add(add(spot(d),spot(d)),sub(add(stick(d),sub(spot(d),add(stripe(d),0))),3))",-28.02712032822794
5,"add(mult(0,spot(d)),add(spot(d),sub(2,stripe(d))))",-19.473788090195836
6,"add(sub(3,0),sub(sub(spot(d),stripe(d)),1))",-19.76147016264762
7,"sub(mult(1,sub(3,sub(sub(stripe(d),2),1))),3)",-24.61350042656723
8,"mult(sub(sub(add(2,3),stripe(d)),add(spot(d),spot(d))),1)",-24.03813628166367
9,"add(1,mult(spot(d),sub(2,stripe(d))))",-15.197121971179783
10,"add(sub(add(0,2),stripe(d)),1)",-15.484804043631565
11,"add(sub(2,stripe(d)),spot(d))",-10.632773779711945
12,"sub(1,add(sub(spot(d),stick(d)),stripe(d)))",-14.909439898728001
13,"sub(2,sub(add(1,sub(stripe(d),spot(d))),spot(d)))",-19.47378809019584
14,"sub(sub(sub(1,sub(0,3)),0),add(1,stripe(d)))",-24.61350042656723
15,"sub(mult(stick(d),spot(d)),stripe(d))",-10.345091707260165
16,"sub(stick(d),add(1,sub(stripe(d),1)))",-15.197121971179783
17,"add(stick(d),sub(mult(spot(d),1),add(spot(d),stripe(d))))",-19.186106017744056
18,"sub(2,add(sub(0,1),stripe(d)))",-15.484804043631565
19,"mult(sub(stick(d),stripe(d)),spot(d))",-10.345091707260165
20,"sub(3,mult(1,stripe(d)))",-10.920455852163727
21,"sub(1,add(stick(d),sub(stripe(d),add(2,add(mult(0,stick(d)),3)))))",-28.6024844731315
22,"sub(add(sub(2,1),add(2,mult(stripe(d),0))),stripe(d))",-24.325818354115448
23,"sub(2,sub(stripe(d),1))",-10.920455852163727
24,"sub(mult(spot(d),add(add(sub(spot(d),stripe(d)),3),mult(0,stick(d)))),spot(d))",-28.027120328227937
25,"add(sub(2,stripe(d)),spot(d))",-10.632773779711947
26,"sub(stripe(d),add(sub(stripe(d),stick(d)),stripe(d)))",-14.62175782627622
27,"mult(add(sub(spot(d),stripe(d)),2),1)",-15.197121971179783
28,"sub(stick(d),add(0,stripe(d)))",-10.632773779711947
29,"add(add(sub(1,stripe(d)),2),mult(1,sub(stripe(d),stripe(d))))",-24.038136281663668
30,"sub(3,sub(stripe(d),add(3,sub(sub(0,1),mult(spot(d),2)))))",-28.89016654558328
31,"sub(sub(stick(d),mult(0,sub(stick(d),mult(2,stick(d))))),stripe(d))",-23.750454209211888
32,"sub(stick(d),sub(stripe(d),0))",-10.632773779711947
33,"sub(mult(add(spot(d),2),spot(d)),stripe(d))",-14.909439898728001
34,"sub(add(2,1),stripe(d))",-10.920455852163727
35,"sub(add(mult(add(3,3),add(1,0)),0),add(3,stripe(d)))",-29.177848618035064
36,"add(stick(d),sub(mult(stick(d),0),add(stripe(d),0)))",-19.47378809019584
37,"sub(stick(d),sub(stripe(d),sub(spot(d),1)))",-14.909439898728001
38,"sub(stick(d),mult(stripe(d),spot(d)))",-10.345091707260165
39,"add(sub(spot(d),stripe(d)),2)",-10.632773779711947
40,"add(sub(1,add(spot(d),stripe(d))),stick(d))",-14.909439898728001
41,"sub(1,sub(stripe(d),mult(2,spot(d))))",-15.197121971179783
42,"sub(add(spot(d),2),stripe(d))",-10.632773779711947
43,"mult(1,sub(sub(3,stripe(d)),0))",-15.484804043631565
44,"add(stick(d),sub(sub(1,2),sub(stripe(d),1)))",-19.761470162647615
45,"add(spot(d),sub(2,stripe(d)))",-10.632773779711947
46,"mult(spot(d),sub(sub(3,sub(3,3)),stripe(d)))",-19.76147016264762
47,"add(sub(2,stripe(d)),sub(2,spot(d)))",-15.197121971179783
48,"sub(1,sub(stripe(d),2))",-10.920455852163727
49,"sub(0,add(sub(stripe(d),3),sub(stick(d),stick(d))))",-19.47378809019584
50,"sub(add(sub(1,add(stripe(d),1)),mult(stick(d),2)),sub(3,mult(0,1)))",-33.454514737051106
51,"mult(spot(d),sub(stick(d),stripe(d)))",-10.345091707260165
52,"add(0,sub(3,stripe(d)))",-10.920455852163727
53,"mult(sub(2,sub(stripe(d),1)),1)",-15.484804043631563
54,"sub(sub(stick(d),0),stripe(d))",-10.632773779711947
55,"sub(add(0,stick(d)),stripe(d))",-10.632773779711947
56,"sub(spot(d),sub(stripe(d),2))",-10.632773779711947
57,"sub(2,sub(stripe(d),spot(d)))",-10.632773779711945
58,"sub(stick(d),add(stripe(d),sub(add(add(1,spot(d)),1),stick(d))))",-23.750454209211888
59,"sub(stripe(d),sub(mult(stripe(d),2),stick(d)))",-14.909439898728001
60,"sub(add(stick(d),1),add(stripe(d),spot(d)))",-14.909439898728001
61,"mult(sub(stick(d),stripe(d)),sub(2,spot(d)))",-14.909439898728001
62,"add(sub(3,stripe(d)),0)",-10.920455852163728
63,"add(mult(stripe(d),sub(stripe(d),add(1,stripe(d)))),mult(3,spot(d)))",-23.75045420921189
64,"sub(mult(1,stick(d)),mult(stripe(d),spot(d)))",-14.909439898728001
65,"sub(add(2,1),stripe(d))",-10.920455852163728
66,"add(add(sub(stick(d),stripe(d)),sub(0,spot(d))),spot(d))",-19.186106017744056
67,"sub(add(sub(sub(2,0),stripe(d)),3),2)",-20.049152235099402
68,"sub(sub(0,sub(1,add(0,mult(2,stick(d))))),add(2,stripe(d)))",-28.890166545583284
69,"add(sub(sub(stick(d),spot(d)),add(sub(stripe(d),spot(d)),stick(d))),3)",-23.46277213676011
70,"add(sub(2,add(stripe(d),2)),stick(d))",-15.197121971179783
71,"add(stick(d),mult(sub(2,3),stripe(d)))",-15.197121971179783
72,"add(2,sub(spot(d),stripe(d)))",-10.632773779711945
73,"sub(stick(d),add(mult(0,spot(d)),stripe(d)))",-14.909439898728001
74,"sub(sub(add(0,3),stripe(d)),0)",-15.484804043631565
75,"sub(add(2,spot(d)),stripe(d))",-10.632773779711947
76,"sub(3,mult(spot(d),stripe(d)))",-10.632773779711947
77,"add(mult(sub(0,spot(d)),0),sub(stick(d),mult(stripe(d),mult(spot(d),1))))",-28.314802400679724
78,"add(sub(2,stripe(d)),1)",-10.920455852163728
79,"add(sub(1,stripe(d)),2)",-10.920455852163727
80,"add(sub(2,stripe(d)),1)",-10.920455852163727
81,"sub(mult(add(0,stick(d)),spot(d)),stripe(d))",-14.909439898728001
82,"add(sub(sub(0,mult(3,mult(mult(0,2),stick(d)))),stripe(d)),stick(d))",-28.602484473131497
83,"mult(sub(0,spot(d)),sub(stripe(d),stick(d)))",-14.909439898728001
84,"sub(3,mult(stripe(d),1))",-10.920455852163728
85,"sub(sub(stick(d),add(sub(stripe(d),2),0)),add(1,spot(d)))",-24.03813628166367
86,"add(sub(stick(d),stripe(d)),0)",-10.632773779711947
87,"sub(sub(add(stick(d),stripe(d)),stripe(d)),stripe(d))",-14.62175782627622
