,rule,log_prob
0,"sub(3,spot(d))",-6.3561076606958915
1,"sub(stick(d),spot(d))",-6.068425588244111
2,"sub(2,sub(spot(d),sub(stick(d),add(stripe(d),1))))",-19.473788090195836
3,"add(sub(mult(1,2),mult(stripe(d),spot(d))),stripe(d))",-19.47378809019584
4,"sub(0,sub(spot(d),stick(d)))",-10.632773779711945
5,"sub(mult(stick(d),stripe(d)),spot(d))",-10.345091707260165
6,"sub(sub(0,sub(0,3)),spot(d))",-15.484804043631565
7,"mult(stripe(d),sub(stick(d),add(0,spot(d))))",-14.909439898728001
8,"sub(3,add(spot(d),0))",-10.920455852163728
9,"sub(mult(stripe(d),0),sub(spot(d),stick(d)))",-14.909439898728001
10,"sub(1,add(sub(spot(d),stick(d)),stripe(d)))",-14.909439898728001
11,"add(stick(d),sub(mult(stripe(d),0),sub(spot(d),sub(mult(1,spot(d)),spot(d)))))",-28.02712032822794
12,"mult(sub(mult(stick(d),1),spot(d)),1)",-15.197121971179783
13,"mult(stripe(d),sub(stripe(d),sub(spot(d),sub(add(1,1),0))))",-24.038136281663665
14,"sub(stripe(d),add(0,sub(spot(d),2)))",-15.197121971179783
15,"add(0,sub(sub(3,spot(d)),0))",-15.484804043631565
16,"sub(2,sub(add(spot(d),3),add(stripe(d),3)))",-19.76147016264762
17,"mult(stripe(d),sub(stick(d),spot(d)))",-10.345091707260165
18,"sub(mult(stick(d),1),spot(d))",-10.632773779711947
19,"sub(add(1,2),mult(1,spot(d)))",-15.484804043631565
20,"sub(0,sub(spot(d),add(2,stripe(d))))",-15.197121971179783
21,"mult(1,sub(stick(d),spot(d)))",-10.632773779711947
22,"add(mult(3,0),sub(stick(d),spot(d)))",-15.197121971179783
23,"add(1,add(add(sub(stripe(d),mult(stripe(d),spot(d))),stripe(d)),0))",-23.750454209211895
24,"add(2,sub(stripe(d),spot(d)))",-10.632773779711945
25,"add(sub(mult(stripe(d),3),add(stick(d),spot(d))),3)",-19.47378809019584
26,"add(sub(spot(d),mult(add(mult(2,1),add(0,0)),spot(d))),stick(d))",-28.602484473131497
27,"sub(add(mult(1,1),add(sub(1,sub(sub(spot(d),spot(d)),0)),stripe(d))),spot(d))",-32.87915059214755
28,"sub(add(0,stick(d)),spot(d))",-10.632773779711945
29,"add(stripe(d),sub(2,mult(stripe(d),spot(d))))",-14.909439898728001
30,"add(sub(0,spot(d)),stick(d))",-10.632773779711947
31,"sub(add(3,0),spot(d))",-10.920455852163728
32,"sub(add(mult(stripe(d),add(0,stripe(d))),2),spot(d))",-19.473788090195836
33,"sub(stick(d),add(sub(0,stripe(d)),add(spot(d),1)))",-19.473788090195836
34,"add(sub(stripe(d),spot(d)),add(add(stripe(d),1),0))",-19.473788090195836
35,"sub(add(2,1),spot(d))",-10.920455852163728
36,"sub(stick(d),mult(stripe(d),spot(d)))",-10.345091707260165
37,"add(sub(mult(0,3),spot(d)),stick(d))",-15.197121971179783
38,"add(sub(1,add(spot(d),stripe(d))),stick(d))",-14.909439898728001
39,"mult(stripe(d),mult(sub(3,spot(d)),1))",-15.197121971179783
40,"sub(spot(d),sub(spot(d),sub(3,spot(d))))",-14.909439898728001
41,"sub(stick(d),sub(spot(d),0))",-10.632773779711945
42,"sub(add(0,stick(d)),spot(d))",-10.632773779711947
43,"sub(mult(stripe(d),1),add(sub(stripe(d),stick(d)),spot(d)))",-19.186106017744056
44,"add(sub(mult(stick(d),stripe(d)),0),sub(0,spot(d)))",-19.473788090195836
45,"sub(sub(add(stick(d),3),spot(d)),stick(d))",-14.909439898728001
46,"sub(sub(add(sub(2,mult(0,stripe(d))),stripe(d)),spot(d)),0)",-24.038136281663668
47,"mult(stripe(d),sub(stripe(d),sub(spot(d),2)))",-14.909439898728001
48,"sub(add(stick(d),add(add(stripe(d),0),sub(stick(d),add(stick(d),spot(d))))),stripe(d))",-27.739438255776157
49,"add(stick(d),mult(sub(3,2),sub(0,spot(d))))",-19.76147016264762
50,"mult(stripe(d),sub(stick(d),mult(spot(d),1)))",-14.909439898728001
51,"mult(sub(2,stick(d)),sub(spot(d),stick(d)))",-14.909439898728001
52,"add(0,add(sub(mult(3,sub(0,0)),spot(d)),3))",-24.613500426567228
53,"add(sub(2,stripe(d)),sub(2,spot(d)))",-15.197121971179783
54,"sub(add(3,0),add(add(spot(d),0),add(stick(d),sub(0,3))))",-28.89016654558328
55,"add(sub(mult(add(spot(d),stick(d)),0),spot(d)),stick(d))",-19.186106017744056
56,"add(2,sub(1,spot(d)))",-10.920455852163727
57,"add(3,mult(spot(d),sub(2,stick(d))))",-15.197121971179783
58,"sub(stick(d),sub(stick(d),sub(mult(2,1),sub(spot(d),1))))",-24.038136281663665
59,"sub(add(stripe(d),2),spot(d))",-10.632773779711947
60,"sub(mult(1,stick(d)),spot(d))",-10.632773779711945
61,"mult(sub(stick(d),spot(d)),stripe(d))",-10.345091707260165
62,"sub(sub(stick(d),0),add(0,spot(d)))",-15.197121971179783
63,"add(sub(3,spot(d)),mult(0,stripe(d)))",-15.197121971179783
64,"sub(mult(sub(stripe(d),spot(d)),add(1,stripe(d))),sub(2,add(spot(d),stick(d))))",-28.02712032822794
65,"add(sub(0,mult(1,spot(d))),add(2,stripe(d)))",-19.761470162647615
66,"add(2,sub(stripe(d),spot(d)))",-10.632773779711947
67,"sub(stick(d),add(stripe(d),sub(add(add(1,spot(d)),1),stick(d))))",-23.750454209211888
68,"add(stripe(d),sub(2,spot(d)))",-10.632773779711945
69,"sub(add(stick(d),1),add(stripe(d),spot(d)))",-14.909439898728001
70,"add(mult(sub(1,add(stick(d),mult(stick(d),mult(0,1)))),spot(d)),add(spot(d),stick(d)))",-32.59146851969577
71,"sub(mult(1,stick(d)),mult(stripe(d),spot(d)))",-14.909439898728001
72,"sub(3,sub(stripe(d),add(sub(mult(stripe(d),0),add(spot(d),stripe(d))),2)))",-28.31480240067972
73,"sub(add(0,mult(stripe(d),stick(d))),spot(d))",-14.909439898728001
74,"add(sub(2,spot(d)),stripe(d))",-10.632773779711947
75,"add(sub(sub(stick(d),spot(d)),1),stripe(d))",-14.909439898728001
76,"sub(3,mult(spot(d),stripe(d)))",-10.632773779711947
77,"sub(add(stripe(d),2),add(0,spot(d)))",-15.197121971179783
78,"add(mult(sub(0,spot(d)),0),sub(stick(d),mult(stripe(d),mult(spot(d),1))))",-28.314802400679724
79,"sub(2,sub(spot(d),1))",-10.920455852163728
80,"add(sub(3,spot(d)),0)",-10.920455852163727
81,"mult(stripe(d),sub(mult(stripe(d),sub(stick(d),spot(d))),mult(2,0)))",-23.750454209211885
82,"add(sub(1,sub(mult(spot(d),1),mult(stripe(d),2))),0)",-24.32581835411545
83,"sub(mult(1,stick(d)),spot(d))",-10.632773779711947
84,"mult(1,sub(3,spot(d)))",-10.920455852163727
85,"sub(add(3,add(mult(spot(d),sub(1,2)),stripe(d))),1)",-24.325818354115448
86,"sub(3,mult(1,spot(d)))",-10.920455852163727
87,"sub(sub(stick(d),add(sub(stripe(d),2),0)),add(1,spot(d)))",-24.03813628166367
88,"sub(stick(d),mult(mult(spot(d),1),1))",-15.197121971179783
89,"sub(stick(d),sub(spot(d),sub(stick(d),mult(mult(3,1),stripe(d)))))",-23.750454209211888
90,"mult(add(sub(0,spot(d)),3),sub(2,stripe(d)))",-19.76147016264762
91,"add(sub(add(add(stick(d),stick(d)),sub(sub(0,add(spot(d),2)),2)),0),stripe(d))",-32.87915059214755
92,"sub(stick(d),sub(add(0,spot(d)),sub(3,stick(d))))",-19.473788090195836
93,"sub(2,sub(add(stripe(d),spot(d)),sub(stick(d),1)))",-19.473788090195836
94,"add(sub(stripe(d),sub(sub(spot(d),1),0)),stripe(d))",-19.473788090195836
95,"mult(stripe(d),add(sub(spot(d),mult(spot(d),2)),stick(d)))",-19.186106017744056
96,"sub(mult(sub(3,spot(d)),stripe(d)),mult(mult(mult(spot(d),spot(d)),stick(d)),0))",-28.027120328227937
97,"sub(spot(d),add(add(spot(d),sub(spot(d),stick(d))),0))",-19.18610601774406
98,"add(stripe(d),sub(2,sub(spot(d),sub(stick(d),stick(d)))))",-19.186106017744056
99,"sub(sub(add(stick(d),sub(stick(d),stripe(d))),mult(mult(1,1),add(1,spot(d)))),1)",-32.87915059214755
100,"sub(add(0,stick(d)),mult(add(0,1),mult(spot(d),1)))",-24.325818354115448
101,"add(sub(stick(d),spot(d)),0)",-10.632773779711947
102,"add(sub(2,spot(d)),stripe(d))",-10.632773779711945
103,"sub(3,add(mult(1,0),spot(d)))",-15.484804043631565
104,"sub(add(1,stripe(d)),sub(spot(d),stripe(d)))",-14.909439898728001
105,"sub(sub(stick(d),spot(d)),0)",-10.632773779711947
106,"mult(1,sub(3,sub(sub(add(spot(d),add(stripe(d),stick(d))),stick(d)),1)))",-28.314802400679724
107,"add(stick(d),sub(add(spot(d),spot(d)),mult(spot(d),3)))",-19.186106017744056
108,"mult(mult(add(sub(1,sub(sub(stripe(d),1),stripe(d))),sub(stripe(d),spot(d))),stripe(d)),1)",-32.591468519695766
109,"sub(stripe(d),sub(spot(d),sub(3,sub(2,stripe(d)))))",-19.473788090195836
110,"mult(sub(stick(d),mult(spot(d),1)),add(stripe(d),sub(sub(mult(2,stick(d)),3),stick(d))))",-32.59146851969577
111,"add(stick(d),sub(0,spot(d)))",-10.632773779711947
112,"sub(spot(d),sub(mult(spot(d),2),stick(d)))",-14.909439898728001
113,"sub(stick(d),sub(spot(d),0))",-10.632773779711947
114,"sub(add(sub(0,2),3),sub(spot(d),sub(3,1)))",-24.61350042656723
115,"sub(add(sub(stick(d),spot(d)),stripe(d)),1)",-14.909439898728001
116,"add(sub(stripe(d),sub(spot(d),stripe(d))),1)",-14.909439898728001
117,"mult(sub(stick(d),spot(d)),1)",-10.632773779711947
118,"sub(add(2,1),mult(spot(d),stripe(d)))",-15.197121971179783
119,"sub(3,mult(sub(stick(d),2),spot(d)))",-15.197121971179783
120,"add(sub(stick(d),spot(d)),mult(add(stick(d),spot(d)),0))",-19.186106017744056
121,"sub(sub(add(sub(1,stripe(d)),3),0),spot(d))",-19.761470162647615
122,"add(sub(stripe(d),sub(spot(d),stripe(d))),stripe(d))",-14.62175782627622
123,"sub(sub(stick(d),add(sub(0,3),spot(d))),stick(d))",-19.473788090195836
124,"add(sub(stick(d),spot(d)),sub(add(mult(add(spot(d),0),0),stick(d)),add(1,2)))",-32.879150592147546
125,"add(2,sub(sub(stripe(d),spot(d)),0))",-15.197121971179783
126,"sub(add(add(3,sub(1,1)),sub(1,spot(d))),stripe(d))",-24.32581835411545
127,"sub(1,add(spot(d),sub(2,sub(add(2,stick(d)),1))))",-24.325818354115448
128,"mult(stripe(d),sub(3,mult(spot(d),stripe(d))))",-14.909439898728001
129,"mult(sub(stick(d),sub(1,add(sub(1,spot(d)),mult(0,stripe(d))))),stripe(d))",-28.31480240067972
130,"sub(1,sub(spot(d),2))",-10.920455852163728
131,"sub(3,add(spot(d),sub(3,stick(d))))",-15.197121971179783
132,"sub(mult(add(0,1),stick(d)),spot(d))",-15.197121971179783
133,"sub(stick(d),add(sub(sub(stick(d),2),stripe(d)),spot(d)))",-19.186106017744056
134,"mult(mult(add(stripe(d),0),sub(stick(d),spot(d))),1)",-19.47378809019584
135,"sub(1,sub(spot(d),2))",-10.920455852163727
136,"sub(sub(stick(d),spot(d)),sub(stick(d),stick(d)))",-14.62175782627622
137,"sub(add(mult(3,sub(1,stripe(d))),3),mult(spot(d),mult(1,stripe(d))))",-28.6024844731315
138,"sub(stick(d),add(spot(d),sub(stripe(d),stripe(d))))",-14.62175782627622
139,"sub(stripe(d),add(sub(1,stick(d)),sub(spot(d),0)))",-19.473788090195836
140,"add(1,sub(3,add(spot(d),1)))",-15.484804043631563
141,"add(sub(2,spot(d)),1)",-10.920455852163728
142,"sub(2,sub(spot(d),sub(stripe(d),0)))",-15.197121971179783
143,"add(add(add(0,2),mult(stripe(d),sub(stripe(d),spot(d)))),0)",-24.038136281663668
144,"add(0,sub(stick(d),spot(d)))",-10.632773779711945
145,"mult(stripe(d),sub(3,spot(d)))",-10.632773779711947
146,"sub(mult(stripe(d),stick(d)),spot(d))",-10.345091707260165
147,"sub(add(0,stick(d)),mult(stripe(d),spot(d)))",-14.909439898728001
148,"sub(sub(2,sub(spot(d),mult(2,stripe(d)))),stripe(d))",-19.473788090195843
149,"sub(add(add(0,stick(d)),sub(stripe(d),stripe(d))),spot(d))",-19.186106017744056
150,"add(2,mult(sub(stick(d),add(mult(stripe(d),2),spot(d))),stripe(d)))",-23.750454209211888
151,"add(stripe(d),sub(2,spot(d)))",-10.632773779711947
152,"sub(add(sub(2,1),2),spot(d))",-15.484804043631565
153,"sub(mult(3,mult(1,add(0,stripe(d)))),spot(d))",-19.76147016264762
154,"add(sub(mult(sub(mult(mult(stripe(d),2),stripe(d)),sub(2,stripe(d))),0),spot(d)),3)",-32.87915059214755
155,"sub(2,sub(spot(d),stripe(d)))",-10.632773779711947
156,"add(sub(mult(stripe(d),3),spot(d)),0)",-15.197121971179783
157,"add(sub(3,spot(d)),0)",-10.920455852163728
158,"add(3,mult(mult(sub(2,stick(d)),1),spot(d)))",-19.76147016264762
159,"sub(2,sub(add(spot(d),sub(spot(d),spot(d))),stripe(d)))",-19.186106017744056
160,"sub(mult(stripe(d),3),spot(d))",-10.632773779711947
161,"mult(sub(stick(d),spot(d)),1)",-10.632773779711945
162,"sub(stripe(d),sub(spot(d),2))",-10.632773779711947
163,"sub(add(0,3),spot(d))",-10.920455852163727
164,"sub(sub(3,1),sub(spot(d),1))",-15.484804043631563
165,"sub(mult(spot(d),sub(2,stick(d))),mult(sub(0,stripe(d)),3))",-24.038136281663668
166,"add(sub(3,spot(d)),mult(0,3))",-15.484804043631565
167,"add(sub(1,1),sub(3,spot(d)))",-15.484804043631565
168,"add(2,sub(mult(stripe(d),stripe(d)),spot(d)))",-14.909439898728001
169,"sub(stick(d),add(spot(d),0))",-10.632773779711947
170,"sub(sub(sub(3,0),spot(d)),0)",-15.484804043631565
171,"sub(1,sub(sub(spot(d),2),mult(stripe(d),mult(stripe(d),0))))",-24.038136281663668
172,"sub(add(sub(mult(stick(d),stripe(d)),1),1),spot(d))",-19.473788090195836
173,"sub(add(mult(2,1),1),spot(d))",-15.484804043631565
174,"sub(mult(3,1),spot(d))",-10.920455852163728
175,"mult(stripe(d),sub(3,spot(d)))",-10.632773779711945
176,"sub(stick(d),mult(spot(d),1))",-10.632773779711947
177,"sub(sub(sub(3,0),0),spot(d))",-15.484804043631565
178,"add(sub(stripe(d),mult(1,spot(d))),2)",-15.197121971179783
179,"sub(3,sub(add(sub(mult(sub(2,0),spot(d)),sub(spot(d),stripe(d))),1),2))",-33.16683266459933
180,"sub(add(3,stick(d)),add(3,spot(d)))",-15.197121971179783
181,"sub(sub(stick(d),spot(d)),sub(stick(d),add(3,0)))",-19.47378809019584
182,"mult(stripe(d),add(add(sub(3,2),stripe(d)),sub(1,spot(d))))",-24.038136281663665
183,"sub(mult(add(stick(d),3),1),add(spot(d),add(mult(mult(spot(d),0),1),stick(d))))",-32.87915059214755
184,"sub(mult(3,stripe(d)),spot(d))",-10.632773779711947
185,"mult(sub(3,spot(d)),add(stripe(d),sub(stripe(d),add(0,stripe(d)))))",-23.750454209211888
186,"sub(sub(3,sub(1,stripe(d))),sub(spot(d),0))",-19.76147016264762
187,"sub(3,sub(spot(d),mult(0,mult(stick(d),3))))",-19.76147016264762
188,"sub(sub(3,spot(d)),mult(3,0))",-15.484804043631565
189,"add(sub(add(stripe(d),sub(sub(2,spot(d)),1)),2),stick(d))",-24.038136281663668
190,"mult(stripe(d),add(mult(spot(d),add(stick(d),sub(sub(2,stick(d)),3))),3))",-28.31480240067972
191,"sub(3,sub(add(sub(3,stripe(d)),spot(d)),2))",-19.76147016264762
192,"sub(stick(d),sub(spot(d),mult(3,0)))",-15.197121971179783
193,"add(mult(sub(add(sub(0,0),3),spot(d)),stripe(d)),mult(0,stick(d)))",-28.602484473131504
194,"sub(mult(1,add(0,3)),spot(d))",-15.484804043631565
195,"add(sub(3,mult(1,spot(d))),mult(stripe(d),0))",-19.76147016264762
