,rule,log_prob
0,"sub(mult(stick(d),stripe(d)),spot(d))",-10.345091707260165
1,"add(sub(sub(mult(stick(d),stripe(d)),spot(d)),spot(d)),stick(d))",-18.898423945292272
2,"add(0,mult(add(0,sub(3,spot(d))),mult(stick(d),1)))",-24.325818354115448
3,"mult(add(spot(d),mult(mult(0,mult(spot(d),0)),stripe(d))),sub(3,spot(d)))",-28.31480240067972
4,"mult(sub(3,stick(d)),spot(d))",-10.632773779711947
5,"sub(mult(spot(d),stripe(d)),add(mult(sub(stripe(d),sub(1,sub(3,stripe(d)))),0),spot(d)))",-32.591468519695766
6,"mult(mult(1,1),sub(mult(spot(d),stripe(d)),mult(spot(d),1)))",-24.03813628166367
7,"sub(mult(mult(1,stripe(d)),spot(d)),stick(d))",-14.909439898728001
8,"mult(mult(stick(d),sub(3,stick(d))),1)",-15.197121971179783
9,"mult(sub(stick(d),0),sub(0,sub(1,add(0,stripe(d)))))",-24.325818354115448
10,"add(mult(sub(3,spot(d)),stick(d)),mult(spot(d),sub(2,2)))",-24.038136281663668
11,"mult(spot(d),sub(sub(stripe(d),mult(1,3)),sub(0,2)))",-24.325818354115448
12,"mult(stick(d),sub(sub(add(1,stripe(d)),mult(0,spot(d))),2))",-24.038136281663668
13,"mult(stick(d),sub(3,stick(d)))",-10.632773779711947
14,"add(sub(mult(stick(d),stripe(d)),0),sub(0,spot(d)))",-19.473788090195836
15,"sub(sub(mult(stripe(d),stick(d)),0),stick(d))",-14.909439898728001
16,"mult(spot(d),sub(3,stick(d)))",-10.632773779711947
17,"sub(spot(d),add(spot(d),mult(spot(d),add(sub(spot(d),3),0))))",-23.750454209211885
18,"add(sub(mult(stick(d),stripe(d)),stick(d)),add(spot(d),sub(spot(d),mult(2,stick(d)))))",-27.739438255776165
19,"sub(mult(mult(stripe(d),sub(spot(d),0)),1),stick(d))",-19.473788090195836
20,"sub(mult(spot(d),sub(3,stick(d))),0)",-15.197121971179783
21,"mult(spot(d),sub(stripe(d),1))",-10.632773779711947
22,"mult(sub(3,stick(d)),add(0,spot(d)))",-15.197121971179783
23,"add(mult(sub(1,add(stick(d),mult(stick(d),mult(0,1)))),spot(d)),add(spot(d),stick(d)))",-32.59146851969577
24,"mult(stick(d),add(add(sub(0,mult(stick(d),1)),2),1))",-24.325818354115448
25,"sub(add(0,mult(stripe(d),stick(d))),spot(d))",-14.909439898728001
26,"mult(1,sub(sub(stripe(d),sub(stripe(d),mult(stripe(d),spot(d)))),spot(d)))",-23.46277213676011
27,"add(sub(add(sub(stripe(d),stripe(d)),0),stick(d)),mult(stripe(d),stick(d)))",-23.46277213676011
28,"sub(mult(stripe(d),spot(d)),spot(d))",-10.345091707260165
29,"add(mult(stripe(d),spot(d)),sub(0,stick(d)))",-14.909439898728001
30,"mult(spot(d),sub(3,spot(d)))",-10.632773779711947
31,"sub(sub(mult(stripe(d),spot(d)),stick(d)),0)",-14.909439898728001
32,"sub(mult(spot(d),stripe(d)),spot(d))",-10.345091707260165
33,"mult(sub(stripe(d),1),spot(d))",-10.632773779711947
34,"mult(mult(spot(d),sub(3,spot(d))),1)",-15.197121971179783
35,"mult(stick(d),sub(stripe(d),1))",-10.632773779711947
36,"add(mult(stick(d),sub(stripe(d),2)),spot(d))",-14.909439898728001
37,"sub(mult(stripe(d),spot(d)),mult(1,spot(d)))",-14.909439898728001
38,"mult(sub(3,spot(d)),spot(d))",-10.632773779711947
39,"mult(sub(3,stick(d)),stick(d))",-10.632773779711947
40,"mult(sub(stripe(d),1),stick(d))",-10.632773779711947
41,"sub(mult(stripe(d),spot(d)),stick(d))",-10.345091707260165
