,terms
0,"[BC,[B,setColor,I],getColor]"
1,"[BK,[setColor,Stone(Red,S3,Square,S3,Dotted,S1)],getColor]"
2,"[BK,[setColor,Stone(Yellow,S3,Square,S3,Dotted,S1)],getColor]"
3,"[KC,[B,setColor,I],Red]"
4,"[KK,[setColor,Stone(Red,S3,Square,S3,Dotted,S1)],Red]"
5,"[KK,[setColor,Stone(Yellow,S3,Square,S3,Dotted,S1)],Red]"
6,"[KB,[setSaturation,Stone(Red,S1,Square,S3,Dotted,S1)],getSaturation]"
7,"[KB,[setSaturation,Stone(Red,S3,Square,S3,Dotted,S1)],getSaturation]"
8,"[KB,[setSaturation,Stone(Red,S1,Square,S3,Dotted,S1)],getSize]"
9,"[KB,[setSaturation,Stone(Red,S3,Square,S3,Dotted,S1)],getSize]"
10,"[KK,[setSaturation,Stone(Red,S1,Square,S3,Dotted,S1)],S3]"
11,"[KK,[setSaturation,Stone(Red,S3,Square,S3,Dotted,S1)],S3]"
12,"[KB,[setShape,Stone(Red,S3,Square,S3,Dotted,S1)],getShape]"
13,"[KB,[setShape,Stone(Red,S3,Triangle,S3,Dotted,S1)],getShape]"
14,"[KK,[setShape,Stone(Red,S3,Square,S3,Dotted,S1)],Square]"
15,"[KK,[setShape,Stone(Red,S3,Triangle,S3,Dotted,S1)],Square]"
16,"[KB,[setSize,Stone(Red,S3,Square,S1,Dotted,S1)],getSaturation]"
17,"[KB,[setSize,Stone(Red,S3,Square,S3,Dotted,S1)],getSaturation]"
18,"[KB,[setSize,Stone(Red,S3,Square,S1,Dotted,S1)],getSize]"
19,"[KB,[setSize,Stone(Red,S3,Square,S3,Dotted,S1)],getSize]"
20,"[KK,[setSize,Stone(Red,S3,Square,S1,Dotted,S1)],S3]"
21,"[KK,[setSize,Stone(Red,S3,Square,S3,Dotted,S1)],S3]"
22,"[BK,[setPattern,Stone(Red,S3,Square,S3,Dotted,S1)],getPattern]"
23,"[BK,[setPattern,Stone(Red,S3,Square,S3,Plain,S1)],getPattern]"
24,"[KB,[setPattern,Stone(Red,S3,Square,S3,Dotted,S1)],getPattern]"
25,"[KB,[setPattern,Stone(Red,S3,Square,S3,Plain,S1)],getPattern]"
26,"[KK,[setPattern,Stone(Red,S3,Square,S3,Dotted,S1)],Dotted]"
27,"[KK,[setPattern,Stone(Red,S3,Square,S3,Plain,S1)],Dotted]"
28,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],getSaturation]"
29,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],getSaturation]"
30,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],getSize]"
31,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],getSize]"
32,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],getDensity]"
33,"[BK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],getDensity]"
34,"[KB,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],getDensity]"
35,"[KB,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],getDensity]"
36,"[KK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S1)],S1]"
37,"[KK,[setDensity,Stone(Red,S3,Square,S3,Dotted,S3)],S1]"
38,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
