,terms,log_prob,total,covered
0,"[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]",-7.4547199493640015,10077696,46656
1,"[KC,[B,setColor,I],Red]",-5.950642552587727,10077696,46656
2,"[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]",-11.495819997067288,10077696,46656
3,"[BC,[B,setColor,I],[B,getColor,I]]",-4.852030263919617,10077696,46656
4,"[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]",-13.575261538747124,10077696,46656
5,"[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]",-13.575261538747124,10077696,46656
6,"[CS,[SB,[B,ifElse,[B,isRed,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]",-19.510155734366712,10077696,46656
7,"[CS,[SB,[B,ifElse,[B,isRed,I]],[KC,[B,setColor,I],Red]],I]",-18.006078337590438,10077696,46656
8,"[CS,[SB,[B,ifElse,[B,isRed,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]",-23.55125578207,10077696,46656
9,"[CS,[SB,[B,ifElse,[B,isRed,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]",-16.90746604892233,10077696,46656
10,"[CS,[SB,[B,ifElse,[B,isRed,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]",-25.630697323749835,10077696,46656
11,"[CS,[SB,[B,ifElse,[B,isRed,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]",-25.630697323749835,10077696,46656
12,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]],I]",-31.565591519369427,10077696,46656
13,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,I],Red]],I]],I]",-30.061514122593152,10077696,46656
14,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]],I]",-35.60669156707272,10077696,46656
15,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]],I]",-28.962901833925045,10077696,46656
16,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255,10077696,46656
17,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[SB,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255,10077696,46656
18,"[CS,[BS,[B,ifElse,[B,isRed,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]",-19.510155734366712,10077696,46656
19,"[CS,[BS,[B,ifElse,[B,isRed,I]],[KC,[B,setColor,I],Red]],I]",-18.006078337590438,10077696,46656
20,"[CS,[BS,[B,ifElse,[B,isRed,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]",-23.55125578207,10077696,46656
21,"[CS,[BS,[B,ifElse,[B,isRed,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]",-16.90746604892233,10077696,46656
22,"[CS,[BS,[B,ifElse,[B,isRed,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]",-25.630697323749835,10077696,46656
23,"[CS,[BS,[B,ifElse,[B,isRed,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]",-25.630697323749835,10077696,46656
24,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]],I]",-31.565591519369427,10077696,46656
25,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,I],Red]],I]],I]",-30.061514122593152,10077696,46656
26,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]],I]",-35.60669156707272,10077696,46656
27,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]],I]",-28.962901833925045,10077696,46656
28,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255,10077696,46656
29,"[CS,[BS,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255,10077696,46656
30,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]],I]",-31.565591519369427,10077696,46656
31,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[KC,[B,setColor,I],Red]],I]],I]",-30.061514122593152,10077696,46656
32,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]],I]",-35.60669156707272,10077696,46656
33,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]],I]",-28.962901833925045,10077696,46656
34,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255,10077696,46656
35,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isBlue,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255,10077696,46656
36,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]],I]",-31.565591519369427,10077696,46656
37,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,I],Red]],I]],I]",-30.061514122593152,10077696,46656
38,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]],I]",-35.60669156707272,10077696,46656
39,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]],I]",-28.962901833925045,10077696,46656
40,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255,10077696,46656
41,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255,10077696,46656
42,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]",-25.05533317884628,10077696,46656
43,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[KC,[B,setColor,I],Red]],I]",-23.55125578207,10077696,46656
44,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]",-29.096433226549564,10077696,46656
45,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[BC,[B,setColor,I],[B,getColor,I]]],I]",-22.45264349340189,10077696,46656
46,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]",-31.1758747682294,10077696,46656
47,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]",-31.1758747682294,10077696,46656
48,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]",-27.25255775618249,10077696,46656
49,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[KC,[B,setColor,I],Red]],I]",-25.74848035940622,10077696,46656
50,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]",-31.29365780388578,10077696,46656
51,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[BC,[B,setColor,I],[B,getColor,I]]],I]",-24.64986807073811,10077696,46656
52,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]",-33.37309934556561,10077696,46656
53,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]",-33.37309934556561,10077696,46656
