,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[BC,[B,mulnn,[B,I,I]],[C,[B,subnn,getStripe],0]]",egg_num,num,program,0.0,2.0,-11.431281475929719
25,"[CS,[BB,addnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[K,getDot,Egg(S1,O0)]]",egg_num,num,program,0.0,1.0,-16.506455291163544
26,"[SB,[B,mulnn,[B,getStripe,I]],[SS,[KK,addnn,0],[KB,I,I]]]",egg_num,num,program,0.0,1.0,-15.59016455928939
27,"[SK,[B,mulnn,[B,getStripe,I]],[S,[K,subnn,4],getStripe]]",egg_num,num,program,0.0,4.0,-11.431281475929717
28,"[BC,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],[B,getStripe,I]]",egg_num,num,program,0.0,1.0,-12.124428656489663
29,"[CB,[B,mulnn,[C,[B,addnn,getStripe],0]],[B,I,I]]",egg_num,num,program,0.0,2.0,-11.431281475929719
30,"[KS,[B,mulnn,[B,[addnn,0],[B,I,I]]],[S,[K,subnn,4],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.218773218711764
31,"[SC,[KB,mulnn,[B,I,I]],[B,getStripe,I]]",egg_num,num,program,0.0,1.0,-8.030084094267563
32,"[BC,[B,mulnn,[B,[addnn,0],[B,I,I]]],getStripe]",egg_num,num,program,0.0,1.0,-10.738134295369772
33,"[SC,[BK,mulnn,getStripe],[B,[subnn,4],getStripe]]",egg_num,num,program,0.0,1.0,-10.738134295369772
34,"[SC,[KB,mulnn,[B,I,I]],getStripe]",egg_num,num,program,0.0,1.0,-7.336936913707618
35,"[CB,[B,mulnn,[B,[addnn,0],getStripe]],[S,[K,mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,1.0,-15.525626038151819
36,"[SB,[B,mulnn,getStripe],[SC,[KB,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,3.0,-12.594432285735397
37,"[SC,[BK,mulnn,[B,getStripe,I]],[B,[subnn,4],getStripe]]",egg_num,num,program,0.0,3.0,-11.431281475929717
38,"[SC,[KB,mulnn,[S,[K,mulnn,1],[B,I,I]]],[C,[B,addnn,getStripe],0]]",egg_num,num,program,0.0,1.0,-16.911920399271708
39,"[BS,[B,mulnn,[B,I,I]],[BK,getStripe,I]]",egg_num,num,program,0.0,2.0,-8.030084094267563
40,"[BS,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],[BB,getStripe,[BK,I,I]]]",egg_num,num,program,0.0,2.0,-15.59016455928939
41,"[BC,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],getStripe]",egg_num,num,program,0.0,2.0,-11.431281475929719
42,"[CC,[BB,addnn,[BS,[B,mulnn,[B,I,I]],[BK,getStripe,I]]],0]",egg_num,num,program,0.0,1.0,-14.897017378729444
43,"[CC,[BB,subnn,[BS,[B,mulnn,[B,I,I]],[BK,getStripe,I]]],0]",egg_num,num,program,0.0,1.0,-14.897017378729444
44,"[SC,[BB,subnn,[BS,[B,mulnn,[B,I,I]],[BK,getStripe,I]]],[B,getDot,I]]",egg_num,num,program,0.0,2.0,-14.673873827415235
45,"[KS,[B,mulnn,[B,I,I]],[S,[K,subnn,4],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.124428656489663
46,"[KS,[B,mulnn,[B,[subnn,4],[B,I,I]]],[B,I,I]]",egg_num,num,program,0.0,1.0,-11.431281475929719
47,"[BS,[B,mulnn,[B,[mulnn,1],[B,I,I]]],[BC,[K,addnn,0],getStripe]]",egg_num,num,program,0.0,1.0,-16.911920399271708
48,"[CB,[B,mulnn,[B,getStripe,I]],[B,I,I]]",egg_num,num,program,0.0,1.0,-7.336936913707618
49,"[CS,[BB,mulnn,[BB,getStripe,[BK,I,I]]],[B,[mulnn,1],[B,I,I]]]",egg_num,num,program,0.0,1.0,-15.59016455928939
50,"[SC,[KB,mulnn,[B,I,I]],[S,[K,mulnn,1],getStripe]]",egg_num,num,program,0.0,1.0,-12.124428656489663
