,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[S,[K,mulnn,1],getDot]]",egg_num,num,program,0.0,5.0,-18.768218389637337
25,"[SB,[B,addnn,[S,[K,mulnn,0],getDot]],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[S,[K,mulnn,1],getDot]]]",egg_num,num,program,0.0,4.0,-28.813205504447165
26,"[SB,[B,addnn,[S,[K,mulnn,0],getStripe]],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[S,[K,mulnn,1],getDot]]]",egg_num,num,program,0.0,2.0,-28.813205504447165
27,"[SC,[BB,addnn,[BB,[mulnn,1],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[S,[K,mulnn,1],getDot]]]],[K,getDot,Egg(S3,O0)]]",egg_num,num,program,0.0,1.0,-34.1115228709952
28,"[BB,[subnn,3],[BS,[K,subnn,3],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[S,[K,mulnn,1],getDot]]]]",egg_num,num,program,0.0,1.0,-30.422643416881264
29,"[SB,[B,addnn,[K,getDot,Egg(S2,O0)]],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[S,[K,mulnn,1],getDot]]]",egg_num,num,program,0.0,1.0,-27.937736767093266
30,"[SB,[K,mulnn,1],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[S,[K,mulnn,1],getDot]]]",egg_num,num,program,0.0,2.0,-24.942004493539272
31,"[CS,[BB,mulnn,[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[S,[K,mulnn,1],getDot]]],[C,[K,addnn,1],0]]",egg_num,num,program,0.0,1.0,-30.422643416881264
32,"[BS,[B,addnn,[K,[addnn,0],0]],[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,I,I]]],[S,[K,mulnn,1],getDot]]]",egg_num,num,program,0.0,4.0,-29.036349055761374
