,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[KS,[B,mulnn,[B,[mulnn,1],[B,I,I]]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,3.0,-15.525626038151819
25,"[SB,[B,mulnn,[C,[B,mulnn,getDot],1]],[BS,[K,subnn,3],[KB,I,I]]]",egg_num,num,program,0.0,1.0,-18.991361940951546
26,"[SB,[B,subnn,[B,[mulnn,3],getDot]],[SC,[BB,mulnn,[KB,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-18.07507120907739
27,"[SC,[BB,mulnn,[KB,I,I]],[C,[B,subnn,getStripe],1]]",egg_num,num,program,0.0,5.0,-13.510723017609553
28,"[SC,[BB,subnn,[SK,[B,mulnn,getDot],getStripe]],[S,[K,addnn,0],getDot]]",egg_num,num,program,0.0,2.0,-16.6887768479575
29,"[SC,[BB,subnn,[SK,[B,mulnn,getStripe],getDot]],[S,[K,addnn,0],getDot]]",egg_num,num,program,0.0,2.0,-16.6887768479575
30,"[SB,[B,mulnn,[B,[subnn,3],getDot]],[SC,[KK,addnn,0],getDot]]",egg_num,num,program,0.0,1.0,-16.911920399271708
31,"[SB,[B,mulnn,getDot],[CK,[B,subnn,getStripe],1]]",egg_num,num,program,0.0,3.0,-12.124428656489663
32,"[SK,[B,mulnn,[B,[subnn,3],getDot]],[B,[addnn,0],getDot]]",egg_num,num,program,0.0,4.0,-14.139331677031928
33,"[CS,[BB,mulnn,[CS,[KK,subnn,3],[B,I,I]]],[B,I,I]]",egg_num,num,program,0.0,1.0,-14.897017378729444
34,"[SK,[B,mulnn,[S,[K,subnn,3],getDot]],[C,[B,mulnn,getDot],1]]",egg_num,num,program,0.0,1.0,-15.525626038151819
35,"[BC,[B,mulnn,[B,[subnn,3],[B,I,I]]],[B,getDot,I]]",egg_num,num,program,0.0,2.0,-11.431281475929719
36,"[BC,[B,subnn,[C,[B,mulnn,[B,I,I]],3]],[S,[B,mulnn,getDot],getDot]]",egg_num,num,program,0.0,1.0,-15.302482486837608
37,"[SS,[BK,mulnn,[B,[subnn,3],getDot]],[BK,getDot,I]]",egg_num,num,program,0.0,2.0,-12.124428656489663
38,"[CS,[BK,mulnn,[C,[B,mulnn,getDot],1]],[B,[subnn,3],[B,I,I]]]",egg_num,num,program,0.0,1.0,-16.218773218711764
39,"[SK,[B,mulnn,[B,[addnn,0],getDot]],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-14.139331677031928
