,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[BB,[subnn,3],[BB,getDot,[BK,I,I]]]",egg_num,num,program,0.0,1.0,-10.33266918726161
25,"[BB,[subnn,3],[BK,[addnn,0],getDot]]",egg_num,num,program,0.0,1.0,-11.654425027243928
26,"[BK,[subnn,3],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-6.866933284461883
27,"[SK,[K,addnn,0],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-10.961277846683984
28,"[BC,[K,addnn,0],[S,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-11.654425027243928
29,"[BC,[K,addnn,1],[S,[K,subnn,2],getDot]]",egg_num,num,program,0.0,1.0,-11.654425027243928
30,"[BC,[K,addnn,3],[S,[K,subnn,0],getDot]]",egg_num,num,program,0.0,1.0,-11.654425027243928
31,"[SK,[K,subnn,3],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-7.560080465021828
32,"[BK,[mulnn,1],[B,[subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-10.268130666124039
33,"[SC,[KB,subnn,[K,getDot,Egg(S1,O3)]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-11.248959919135764
34,"[SK,[B,addnn,[B,[subnn,2],getDot]],getStripe]",egg_num,num,program,0.0,1.0,-10.044987114809828
35,"[SK,[B,subnn,[B,[addnn,2],getStripe]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-10.738134295369772
36,"[BC,[K,subnn,3],getDot]",egg_num,num,program,0.0,1.0,-6.866933284461883
37,"[BK,[subnn,4],[S,[K,addnn,1],getDot]]",egg_num,num,program,0.0,1.0,-10.961277846683984
38,"[SC,[BK,subnn,[C,[K,addnn,1],2]],getDot]",egg_num,num,program,0.0,1.0,-12.347572207803873
39,"[SC,[BK,subnn,[K,getDot,Egg(S1,O3)]],getDot]",egg_num,num,program,0.0,1.0,-10.555812738575817
40,"[CC,[BK,addnn,[B,[subnn,0],getDot]],3]",egg_num,num,program,0.0,1.0,-11.654425027243928
41,"[CC,[BK,addnn,[B,[subnn,1],getDot]],2]",egg_num,num,program,0.0,1.0,-11.654425027243928
42,"[CC,[BK,addnn,[B,[subnn,2],getDot]],1]",egg_num,num,program,0.0,1.0,-11.654425027243928
43,"[SC,[KB,subnn,[B,I,I]],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-8.030084094267563
44,"[BB,[subnn,3],[CK,[B,mulnn,getDot],1]]",egg_num,num,program,0.0,1.0,-12.347572207803875
45,"[BC,[K,subnn,3],[B,[mulnn,1],getDot]]",egg_num,num,program,0.0,1.0,-10.961277846683984
46,"[BS,[K,subnn,3],[SC,[BK,mulnn,getStripe],getDot]]",egg_num,num,program,0.0,1.0,-12.81757583704961
47,"[SC,[KB,subnn,[B,[addnn,0],[B,I,I]]],getDot]",egg_num,num,program,0.0,1.0,-11.431281475929719
48,"[BB,[subnn,3],[CK,[B,addnn,getDot],0]]",egg_num,num,program,0.0,1.0,-12.347572207803875
49,"[BB,[subnn,4],[CK,[B,addnn,getDot],1]]",egg_num,num,program,0.0,1.0,-12.347572207803875
50,"[BS,[K,subnn,3],[BB,getDot,[BK,I,I]]]",egg_num,num,program,0.0,1.0,-11.025816367821555
51,"[SC,[KK,subnn,3],[B,getDot,I]]",egg_num,num,program,0.0,1.0,-8.253227645581774
52,"[BC,[B,subnn,[B,I,I]],getDot]",egg_num,num,program,0.0,1.0,-6.643789733147672
53,"[SC,[BK,mulnn,[B,[subnn,3],getDot]],getStripe]",egg_num,num,program,0.0,1.0,-10.738134295369772
54,"[SK,[B,addnn,[S,[K,subnn,2],getDot]],[K,getStripe,Egg(S1,O1)]]",egg_num,num,program,0.0,1.0,-14.650157300797918
55,"[SK,[B,subnn,[K,getDot,Egg(S1,O3)]],getDot]",egg_num,num,program,0.0,1.0,-9.862665558015873
