,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[SC,[BB,addnn,[BB,[addnn,0],[BC,[B,mulnn,[B,I,I]],[C,[B,subnn,getStripe],0]]]],[S,[K,subnn,0],getDot]]",egg_num,num,program,0.0,3.0,-27.650054694641483
25,"[SC,[BB,addnn,[BB,[addnn,0],[BC,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],[B,getStripe,I]]]],[S,[K,subnn,0],getDot]]",egg_num,num,program,0.0,3.0,-28.343201875201427
26,"[SC,[BB,addnn,[BB,[addnn,0],[CS,[BK,mulnn,getStripe],[B,I,I]]]],[S,[K,subnn,0],getDot]]",egg_num,num,program,0.0,3.0,-23.555710132419378
27,"[SC,[BB,addnn,[BB,[addnn,0],[SB,[B,mulnn,[B,[mulnn,1],getStripe]],[CC,[BB,subnn,[KB,I,I]],0]]]],[S,[K,subnn,0],getDot]]",egg_num,num,program,0.0,1.0,-35.21013515966331
28,"[SS,[KK,mulnn,1],[SC,[BB,addnn,[BB,[addnn,0],[CS,[BK,mulnn,getStripe],[B,I,I]]]],[S,[K,subnn,0],getDot]]]",egg_num,num,program,0.0,2.0,-30.42264341688126
29,"[SC,[BB,mulnn,[SC,[KB,subnn,[B,I,I]],getDot]],[B,getStripe,I]]",egg_num,num,program,0.0,3.0,-13.980726646855288
30,"[SC,[BB,subnn,[BB,[mulnn,1],[CB,[B,mulnn,getStripe],[B,I,I]]]],getDot]",egg_num,num,program,0.0,3.0,-18.075071209077393
31,"[SC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],[C,[B,subnn,getStripe],0]]],getDot]",egg_num,num,program,0.0,3.0,-17.381924028517446
32,"[SC,[BB,subnn,[BC,[B,mulnn,[C,[B,mulnn,[B,I,I]],1]],[B,getStripe,I]]],getDot]",egg_num,num,program,0.0,3.0,-18.075071209077393
33,"[BB,[mulnn,1],[SC,[BB,mulnn,[SC,[KB,subnn,[B,I,I]],getDot]],[B,getStripe,I]]]",egg_num,num,program,0.0,3.0,-19.46136557019728
34,"[BB,[subnn,0],[SB,[B,subnn,getDot],[CB,[B,mulnn,[C,[B,addnn,getStripe],0]],[B,I,I]]]]",egg_num,num,program,0.0,3.0,-22.169415771299494
35,"[BB,[subnn,0],[SB,[B,subnn,getDot],[CB,[B,mulnn,getStripe],[B,I,I]]]]",egg_num,num,program,0.0,3.0,-17.381924028517446
36,"[CC,[BB,subnn,[SC,[BB,mulnn,[SC,[KB,subnn,[B,I,I]],getDot]],[B,getStripe,I]]],0]",egg_num,num,program,0.0,3.0,-20.84765993131717
