,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[CS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,I,I]]",egg_num,num,program,0.0,284.0,-13.287579466295345
25,"[CS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,I,I]]",egg_num,num,program,0.0,204.0,-13.287579466295345
26,"[CS,[BB,subnn,[SC,[BB,mulnn,[KB,I,I]],getStripe]],[B,I,I]]",egg_num,num,program,0.0,8.0,-15.36702100797518
27,"[CS,[BB,subnn,[SS,[BK,mulnn,getStripe],[KB,I,I]]],[B,I,I]]",egg_num,num,program,0.0,4.0,-15.36702100797518
28,"[CC,[BB,subnn,[CS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,I,I]]],0]",egg_num,num,program,0.0,1.0,-20.154512750757227
29,"[BB,[addnn,0],[CS,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],[B,I,I]]]",egg_num,num,program,0.0,9.0,-18.768218389637337
30,"[BB,[mulnn,1],[CS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,I,I]]]",egg_num,num,program,0.0,8.0,-18.768218389637337
31,"[SB,[K,mulnn,1],[CS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,I,I]]]",egg_num,num,program,0.0,2.0,-19.46136557019728
32,"[BS,[K,mulnn,1],[CS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,I,I]]]",egg_num,num,program,0.0,3.0,-19.46136557019728
33,"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,557.0,-12.5944322857354
34,"[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],[B,I,I]]],getDot]",egg_num,num,program,0.0,329.0,-13.287579466295345
35,"[CC,[BB,addnn,[CS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[B,I,I]]],0]",egg_num,num,program,0.0,3.0,-20.154512750757227
