,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[BK,[subnn,3],getDot]",egg_num,num,program,0.0,85.0,-6.1737861039019375
25,"[SB,[K,addnn,0],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,3.0,-12.347572207803875
26,"[SC,[KB,subnn,[B,I,I]],getDot]",egg_num,num,program,0.0,32.0,-7.336936913707618
27,"[CC,[BB,addnn,[BK,[subnn,3],getDot]],0]",egg_num,num,program,0.0,1.0,-13.04071938836382
28,"[BC,[B,subnn,[B,I,I]],getDot]",egg_num,num,program,0.0,45.0,-6.643789733147672
29,"[SK,[K,subnn,3],getDot]",egg_num,num,program,0.0,76.0,-6.866933284461883
30,"[BC,[K,subnn,3],getDot]",egg_num,num,program,0.0,21.0,-6.866933284461883
31,"[BB,[addnn,0],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-11.65442502724393
32,"[SC,[KK,subnn,3],getDot]",egg_num,num,program,0.0,10.0,-7.560080465021828
33,"[SC,[BB,subnn,[KB,I,I]],getDot]",egg_num,num,program,0.0,8.0,-8.723231274827508
34,"[BB,[addnn,0],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-12.347572207803875
35,"[SS,[KK,mulnn,1],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-13.733866568923766
36,"[SS,[BK,mulnn,getStripe],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-12.81757583704961
37,"[SB,[K,mulnn,1],[BC,[B,subnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-12.81757583704961
38,"[BB,[mulnn,1],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,4.0,-11.65442502724393
39,"[CC,[BB,mulnn,[BK,[subnn,3],getDot]],1]",egg_num,num,program,0.0,1.0,-13.04071938836382
40,"[SB,[K,mulnn,1],[BK,[subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-12.347572207803875
41,"[BB,[mulnn,1],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,2.0,-12.347572207803875
42,"[SB,[K,mulnn,1],[SK,[K,subnn,3],getDot]]",egg_num,num,program,0.0,1.0,-13.04071938836382
