,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[CS,[BK,mulnn,getDot],[B,I,I]]",egg_num,num,program,0.0,71.0,-7.336936913707618
25,"[SB,[K,mulnn,1],[CS,[BK,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-13.510723017609555
26,"[SC,[KB,mulnn,[B,I,I]],getDot]",egg_num,num,program,0.0,44.0,-7.336936913707618
27,"[BS,[K,mulnn,1],[SC,[KB,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-13.510723017609555
28,"[BB,[mulnn,1],[CS,[BK,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.81757583704961
29,"[BC,[B,mulnn,[B,I,I]],getDot]",egg_num,num,program,0.0,157.0,-6.643789733147672
30,"[BB,[mulnn,1],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,4.0,-12.124428656489664
31,"[SB,[B,addnn,getStripe],[CS,[BK,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,2.0,-12.5944322857354
32,"[SB,[B,mulnn,getDot],[KB,I,I]]",egg_num,num,program,0.0,54.0,-8.030084094267563
33,"[SB,[B,addnn,getStripe],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,3.0,-11.901285105175454
34,"[CB,[B,mulnn,getDot],[B,I,I]]",egg_num,num,program,0.0,194.0,-6.643789733147672
35,"[SC,[BB,mulnn,[KB,I,I]],getDot]",egg_num,num,program,0.0,18.0,-8.723231274827508
36,"[SS,[KK,addnn,0],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-13.510723017609555
37,"[SC,[BB,addnn,[BC,[B,mulnn,[B,I,I]],getDot]],getStripe]",egg_num,num,program,0.0,1.0,-12.5944322857354
38,"[SS,[BK,mulnn,getDot],[KB,I,I]]",egg_num,num,program,0.0,17.0,-8.723231274827508
39,"[CC,[BB,subnn,[CB,[B,mulnn,getDot],[B,I,I]]],0]",egg_num,num,program,0.0,1.0,-13.510723017609555
40,"[SS,[KK,mulnn,1],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,2.0,-13.510723017609555
41,"[SB,[K,addnn,0],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.81757583704961
42,"[BB,[mulnn,1],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,3.0,-12.124428656489664
43,"[BS,[K,addnn,0],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,2.0,-12.81757583704961
44,"[BB,[addnn,0],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,4.0,-12.124428656489664
45,"[SB,[B,addnn,getStripe],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,4.0,-11.901285105175454
46,"[SB,[K,mulnn,1],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.81757583704961
47,"[CC,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getDot]],0]",egg_num,num,program,0.0,3.0,-13.510723017609555
48,"[BB,[addnn,0],[CS,[BK,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.81757583704961
49,"[SC,[BB,subnn,[CB,[B,mulnn,getDot],[B,I,I]]],getStripe]",egg_num,num,program,0.0,2.0,-12.5944322857354
50,"[BS,[K,mulnn,1],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.81757583704961
51,"[BB,[mulnn,1],[SC,[BB,mulnn,[KB,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-14.2038701981695
52,"[SS,[BK,addnn,getStripe],[SC,[KB,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-13.287579466295345
53,"[SC,[BB,addnn,[SC,[KB,mulnn,[B,I,I]],getDot]],getStripe]",egg_num,num,program,0.0,1.0,-13.287579466295345
