,terms,arg_types,return_type,type,count,log_prob
0,O0,,dot,base_term,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,-1.6094379124341005
5,L0,,length,base_term,1.0,-2.5649493574615367
6,L1,,length,base_term,1.0,-2.5649493574615367
7,L10,,length,base_term,1.0,-2.5649493574615367
8,L11,,length,base_term,1.0,-2.5649493574615367
9,L12,,length,base_term,1.0,-2.5649493574615367
10,L2,,length,base_term,1.0,-2.5649493574615367
11,L3,,length,base_term,1.0,-2.5649493574615367
12,L4,,length,base_term,1.0,-2.5649493574615367
13,L5,,length,base_term,1.0,-2.5649493574615367
14,L6,,length,base_term,1.0,-2.5649493574615367
15,L7,,length,base_term,1.0,-2.5649493574615367
16,L8,,length,base_term,1.0,-2.5649493574615367
17,L9,,length,base_term,1.0,-2.5649493574615367
18,0,,num,base_term,1.0,-1.6094379124341005
19,1,,num,base_term,1.0,-1.6094379124341005
20,2,,num,base_term,1.0,-1.6094379124341005
21,3,,num,base_term,1.0,-1.6094379124341005
22,4,,num,base_term,1.0,-1.6094379124341005
23,S0,,stripe,base_term,1.0,-1.6094379124341005
24,S1,,stripe,base_term,1.0,-1.6094379124341005
25,S2,,stripe,base_term,1.0,-1.6094379124341005
26,S3,,stripe,base_term,1.0,-1.6094379124341005
27,S4,,stripe,base_term,1.0,-1.6094379124341005
28,addnn,num_num,num,primitive,1.0,-1.9459101490553128
29,mulnn,num_num,num,primitive,1.0,-1.9459101490553128
30,subnn,num_num,num,primitive,1.0,-1.9459101490553128
31,getDot,obj,num,primitive,1.0,-1.9459101490553128
32,getLength,obj,num,primitive,1.0,-1.9459101490553128
33,getStripe,obj,num,primitive,1.0,-1.9459101490553128
34,I,obj,obj,primitive,1.0,-1.9459101490553128
35,"[KB,getLength,I]",obj_obj,num,program,302.0,-1.0986122886681098
36,"[B,I,I]",obj,obj,program,1.0,-1.0986122886681098
37,"[KB,I,I]",obj_obj,obj,program,1.0,-1.0986122886681098
38,"[B,getLength,I]",obj,num,program,418.0,-3.8918202981106265
39,"[C,[K,mulnn,3],1]",obj,num,program,197.0,-6.551080335043404
40,"[CK,[K,mulnn,3],1]",obj_obj,num,program,10.0,-7.937374696163295
41,"[SC,[KK,subnn,4],getLength]",obj_obj,num,program,13.0,-8.273846932784508
42,"[SC,[BB,mulnn,[KB,getLength,I]],getStripe]",obj_obj,num,program,68.0,-10.556229318461034
43,"[CB,[B,mulnn,getStripe],getLength]",obj_obj,num,program,140.0,-8.61031916940572
44,"[CS,[BK,mulnn,getStripe],getLength]",obj_obj,num,program,73.0,-8.61031916940572
45,"[SB,[B,mulnn,getStripe],[KB,getLength,I]]",obj_obj,num,program,121.0,-10.556229318461034
46,"[SC,[KB,mulnn,getLength],getStripe]",obj_obj,num,program,63.0,-8.61031916940572
47,"[BC,[B,mulnn,getLength],getStripe]",obj_obj,num,program,131.0,-8.61031916940572
48,"[SS,[BK,mulnn,getStripe],[KB,getLength,I]]",obj_obj,num,program,62.0,-10.556229318461034
49,"[B,[subnn,3],getStripe]",obj,num,program,1.0,-5.501258210544726
50,"[BK,[subnn,3],getStripe]",obj_obj,num,program,1.0,-5.501258210544726
51,"[C,[B,subnn,[C,[K,mulnn,3],1]],1]",obj,num,program,1.0,-11.492722757652707
52,"[KC,[B,subnn,[C,[K,mulnn,3],1]],1]",obj_obj,num,program,1.0,-12.879017118772598
53,"[KK,getLength,Stone(S0,O0,L2)]",obj_obj,num,program,1.0,-7.729735331385051
54,"[B,[subnn,3],getDot]",obj,num,program,171.0,-5.501258210544726
55,"[BK,[subnn,3],getDot]",obj_obj,num,program,171.0,-5.501258210544726
56,"[BC,[K,subnn,3],getDot]",obj_obj,num,program,77.0,-8.273846932784508
57,"[SC,[BK,subnn,[C,[K,mulnn,3],1]],getDot]",obj_obj,num,program,46.0,-13.215489355393812
58,"[S,[B,subnn,[C,[K,mulnn,3],1]],getDot]",obj,num,program,76.0,-11.829194994273921
59,"[SC,[KB,subnn,[B,getLength,I]],getDot]",obj_obj,num,program,40.0,-10.556229318461034
60,"[SC,[KB,subnn,getLength],getDot]",obj_obj,num,program,52.0,-8.61031916940572
61,"[SK,[B,subnn,[C,[K,mulnn,3],1]],getDot]",obj_obj,num,program,76.0,-13.215489355393812
62,"[BC,[B,subnn,[B,getLength,I]],getDot]",obj_obj,num,program,77.0,-10.556229318461034
63,"[BC,[B,subnn,[C,[K,mulnn,3],1]],getDot]",obj_obj,num,program,43.0,-13.215489355393812
64,"[BC,[B,subnn,getLength],getDot]",obj_obj,num,program,98.0,-8.61031916940572
65,"[S,[K,subnn,3],getDot]",obj,num,program,84.0,-6.887552571664616
66,"[SK,[K,subnn,3],getDot]",obj_obj,num,program,84.0,-8.273846932784508
67,"[SC,[KK,subnn,3],getDot]",obj_obj,num,program,52.0,-8.273846932784508
68,"[SC,[KB,subnn,[C,[K,mulnn,3],1]],getDot]",obj_obj,num,program,21.0,-13.215489355393812
69,"[SC,[BB,subnn,[KB,getLength,I]],getDot]",obj_obj,num,program,49.0,-10.556229318461034
70,"[SC,[BB,subnn,[SC,[KK,subnn,4],getLength]],getDot]",obj_obj,num,program,12.0,-14.938255953134917
71,"[SC,[BB,subnn,[SB,[B,mulnn,getStripe],[KB,getLength,I]]],getDot]",obj_obj,num,program,1.0,-17.22063833881144
72,"[SC,[BB,subnn,[SC,[KB,mulnn,getLength],getStripe]],getDot]",obj_obj,num,program,5.0,-15.274728189756129
73,"[SC,[BB,subnn,[CS,[BK,mulnn,getStripe],getLength]],getDot]",obj_obj,num,program,5.0,-15.274728189756129
74,"[SC,[BB,subnn,[BC,[B,mulnn,getLength],getStripe]],getDot]",obj_obj,num,program,5.0,-15.274728189756129
75,"[SC,[BB,subnn,[CK,[K,mulnn,3],1]],getDot]",obj_obj,num,program,9.0,-14.601783716513703
76,"[SC,[BB,subnn,[CB,[B,mulnn,getStripe],getLength]],getDot]",obj_obj,num,program,4.0,-15.274728189756129
