,terms,arg_types,return_type,type,is_init,count,comp_lp
0,O0,,dot,base_term,1.0,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,1.0,-1.6094379124341005
5,0,,num,base_term,1.0,1.0,-1.6094379124341005
6,1,,num,base_term,1.0,1.0,-1.6094379124341005
7,2,,num,base_term,1.0,1.0,-1.6094379124341005
8,3,,num,base_term,1.0,1.0,-1.6094379124341005
9,4,,num,base_term,1.0,1.0,-1.6094379124341005
10,S0,,stripe,base_term,1.0,1.0,-1.6094379124341005
11,S1,,stripe,base_term,1.0,1.0,-1.6094379124341005
12,S2,,stripe,base_term,1.0,1.0,-1.6094379124341005
13,S3,,stripe,base_term,1.0,1.0,-1.6094379124341005
14,S4,,stripe,base_term,1.0,1.0,-1.6094379124341005
15,I,egg,egg,primitive,1.0,1.0,0.0
16,getDot,egg,num,primitive,1.0,1.0,-0.6931471805599453
17,getStripe,egg,num,primitive,1.0,1.0,-0.6931471805599453
18,addnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
19,mulnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
20,subnn,num_num,num,primitive,1.0,1.0,-1.0986122886681098
21,"[BK,I,I]",egg_num,egg,program,1.0,1.0,-2.772588722239781
22,"[KB,I,I]",egg_num,num,program,1.0,1.0,-2.772588722239781
23,"[B,I,I]",num,num,program,1.0,1.0,-1.3862943611198906
24,"[CB,[B,mulnn,getDot],[B,I,I]]",egg_num,num,program,0.0,173.0,-6.643789733147672
25,"[SB,[B,mulnn,getDot],[KB,I,I]]",egg_num,num,program,0.0,62.0,-8.030084094267563
26,"[BB,[addnn,0],[SB,[B,mulnn,getDot],[KB,I,I]]]",egg_num,num,program,0.0,2.0,-13.510723017609555
27,"[BB,[mulnn,1],[SB,[B,mulnn,getDot],[KB,I,I]]]",egg_num,num,program,0.0,1.0,-13.510723017609555
28,"[SB,[K,addnn,0],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.81757583704961
29,"[SC,[KB,mulnn,[B,I,I]],getDot]",egg_num,num,program,0.0,76.0,-7.336936913707618
30,"[CS,[BK,mulnn,getDot],[B,I,I]]",egg_num,num,program,0.0,69.0,-7.336936913707618
31,"[BC,[B,mulnn,[B,I,I]],getDot]",egg_num,num,program,0.0,146.0,-6.643789733147672
32,"[SB,[B,addnn,getStripe],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-11.901285105175454
33,"[SS,[KK,mulnn,1],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-13.510723017609555
34,"[SS,[BK,mulnn,getDot],[KB,I,I]]",egg_num,num,program,0.0,26.0,-8.723231274827508
35,"[BS,[K,mulnn,1],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,3.0,-12.81757583704961
36,"[BB,[addnn,0],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,2.0,-12.124428656489664
37,"[BB,[mulnn,1],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,8.0,-12.124428656489664
38,"[BS,[K,addnn,0],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,3.0,-12.81757583704961
39,"[BS,[K,addnn,0],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,2.0,-12.81757583704961
40,"[SC,[BB,mulnn,[KB,I,I]],getDot]",egg_num,num,program,0.0,6.0,-8.723231274827508
41,"[BB,[addnn,0],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,5.0,-12.124428656489664
42,"[SB,[K,addnn,0],[SC,[KB,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-13.510723017609555
43,"[BS,[K,mulnn,1],[SC,[KB,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,2.0,-13.510723017609555
44,"[SC,[BB,addnn,[CB,[B,mulnn,getDot],[B,I,I]]],getStripe]",egg_num,num,program,0.0,1.0,-12.5944322857354
45,"[BB,[mulnn,1],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,2.0,-12.124428656489664
46,"[SB,[B,addnn,getStripe],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-11.901285105175454
47,"[SB,[B,addnn,getStripe],[SC,[KB,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,1.0,-12.5944322857354
48,"[SB,[K,mulnn,1],[BC,[B,mulnn,[B,I,I]],getDot]]",egg_num,num,program,0.0,2.0,-12.81757583704961
49,"[BS,[K,mulnn,1],[CB,[B,mulnn,getDot],[B,I,I]]]",egg_num,num,program,0.0,1.0,-12.81757583704961
