,terms,arg_types,return_type,type,count,log_prob
0,O0,,dot,base_term,1.0,-1.6094379124341005
1,O1,,dot,base_term,1.0,-1.6094379124341005
2,O2,,dot,base_term,1.0,-1.6094379124341005
3,O3,,dot,base_term,1.0,-1.6094379124341005
4,O4,,dot,base_term,1.0,-1.6094379124341005
5,L0,,length,base_term,1.0,-2.5649493574615367
6,L1,,length,base_term,1.0,-2.5649493574615367
7,L10,,length,base_term,1.0,-2.5649493574615367
8,L11,,length,base_term,1.0,-2.5649493574615367
9,L12,,length,base_term,1.0,-2.5649493574615367
10,L2,,length,base_term,1.0,-2.5649493574615367
11,L3,,length,base_term,1.0,-2.5649493574615367
12,L4,,length,base_term,1.0,-2.5649493574615367
13,L5,,length,base_term,1.0,-2.5649493574615367
14,L6,,length,base_term,1.0,-2.5649493574615367
15,L7,,length,base_term,1.0,-2.5649493574615367
16,L8,,length,base_term,1.0,-2.5649493574615367
17,L9,,length,base_term,1.0,-2.5649493574615367
18,0,,num,base_term,1.0,-1.6094379124341005
19,1,,num,base_term,1.0,-1.6094379124341005
20,2,,num,base_term,1.0,-1.6094379124341005
21,3,,num,base_term,1.0,-1.6094379124341005
22,4,,num,base_term,1.0,-1.6094379124341005
23,S0,,stripe,base_term,1.0,-1.6094379124341005
24,S1,,stripe,base_term,1.0,-1.6094379124341005
25,S2,,stripe,base_term,1.0,-1.6094379124341005
26,S3,,stripe,base_term,1.0,-1.6094379124341005
27,S4,,stripe,base_term,1.0,-1.6094379124341005
28,addnn,num_num,num,primitive,1.0,-1.9459101490553132
29,mulnn,num_num,num,primitive,1.0,-1.9459101490553132
30,subnn,num_num,num,primitive,1.0,-1.9459101490553132
31,getDot,obj,num,primitive,1.0,-1.9459101490553132
32,getLength,obj,num,primitive,1.0,-1.9459101490553132
33,getStripe,obj,num,primitive,1.0,-1.9459101490553132
34,I,obj,obj,primitive,1.0,-1.9459101490553132
35,"[KB,getLength,I]",obj_obj,num,program,4.036283241464453,-1.0986122886681098
36,"[B,I,I]",obj,obj,program,3.137814035413279,-1.0986122886681098
37,"[KB,I,I]",obj_obj,obj,program,1.0183156388887342,-1.0986122886681098
38,"[B,getDot,[B,I,I]]",obj,num,program,1.0183156388887342,-5.8377304471659395
39,"[B,getStripe,[B,I,I]]",obj,num,program,1.0,-5.8377304471659395
40,"[KB,getDot,[B,I,I]]",obj_obj,num,program,1.0024787521766663,-5.8377304471659395
41,"[KB,getStripe,[B,I,I]]",obj_obj,num,program,1.0,-5.8377304471659395
42,"[KK,[mulnn,0],0]",obj_obj,num,program,1.0,-5.1647859739235145
43,"[B,getLength,I]",obj,num,program,22.435267203423827,-3.8918202981106265
44,"[BB,getDot,[KB,I,I]]",obj_obj,num,program,0.018315638888734182,-5.8377304471659395
45,"[C,[B,subnn,getStripe],1]",obj,num,program,5.325617483139428,-6.887552571664617
46,"[C,[K,subnn,2],0]",obj,num,program,3.8964640828478743,-6.551080335043404
47,"[CB,[K,subnn,2],getStripe]",obj_obj,num,program,0.3097805964273601,-8.273846932784508
48,"[CK,[B,subnn,getStripe],1]",obj_obj,num,program,0.720743950490531,-8.273846932784508
49,"[CK,[K,subnn,2],0]",obj_obj,num,program,0.22594910402821394,-7.937374696163295
50,"[BB,[subnn,3],[KB,getLength,I]]",obj_obj,num,program,1.787245847048347,-7.447168359600041
51,"[CB,[K,subnn,3],getLength]",obj_obj,num,program,0.44263712748730644,-8.273846932784508
52,"[KK,[addnn,2],0]",obj_obj,num,program,1.5038710741772636,-5.1647859739235145
53,"[B,[addnn,2],getStripe]",obj,num,program,12.80717978772669,-5.501258210544727
54,"[CB,[K,subnn,2],getDot]",obj_obj,num,program,0.02575189541873326,-8.273846932784508
55,"[KB,[addnn,2],getStripe]",obj_obj,num,program,1.7332633040342138,-5.501258210544727
56,"[C,[K,addnn,1],1]",obj,num,program,8.749938971738,-6.551080335043404
57,"[CK,[K,addnn,1],1]",obj_obj,num,program,0.6353980795667881,-7.937374696163295
58,"[S,[K,subnn,3],getDot]",obj,num,program,2.3622487609168967,-6.887552571664617
59,"[S,[K,subnn,3],getLength]",obj,num,program,2.669550605167591,-6.887552571664617
60,"[SK,[K,subnn,3],getDot]",obj_obj,num,program,0.3196956051340255,-8.273846932784508
61,"[SK,[K,subnn,3],getLength]",obj_obj,num,program,0.03070939977206598,-8.273846932784508
62,"[S,[K,addnn,1],getLength]",obj,num,program,4.442637127487307,-6.887552571664617
63,"[SK,[K,addnn,1],getLength]",obj_obj,num,program,0.601245553965986,-8.273846932784508
64,"[B,[subnn,3],getDot]",obj,num,program,7.481562304587265,-5.501258210544727
65,"[B,[subnn,3],getLength]",obj,num,program,12.474436493571787,-5.501258210544727
66,"[BK,[subnn,3],getDot]",obj_obj,num,program,1.0125193535436827,-5.501258210544727
67,"[BK,[subnn,3],getLength]",obj_obj,num,program,0.5198928137435063,-5.501258210544727
68,"[KK,[subnn,4],2]",obj_obj,num,program,1.0770708334020251,-5.1647859739235145
69,"[KK,[addnn,1],1]",obj_obj,num,program,1.6444743072817354,-5.1647859739235145
70,"[C,[K,subnn,3],1]",obj,num,program,7.038925177099959,-6.551080335043404
71,"[C,[K,subnn,4],2]",obj,num,program,6.515899683042243,-6.551080335043404
72,"[CK,[K,subnn,3],1]",obj_obj,num,program,0.7781696193334,-7.937374696163295
73,"[CK,[K,subnn,4],2]",obj_obj,num,program,0.6037243061426524,-7.937374696163295
74,"[KK,[mulnn,1],2]",obj_obj,num,program,1.449234603025587,-5.1647859739235145
75,"[S,[B,subnn,getStripe],getLength]",obj,num,program,4.135335283236612,-7.22402480828583
76,"[SK,[B,subnn,getStripe],getLength]",obj_obj,num,program,0.559656771835185,-8.61031916940572
77,"[C,[K,mulnn,2],1]",obj,num,program,5.9402211716408155,-6.551080335043404
78,"[KB,[subnn,3],getLength]",obj_obj,num,program,1.1683385823311703,-5.501258210544727
79,"[KC,[K,mulnn,2],1]",obj_obj,num,program,0.6037243061426525,-7.937374696163295
80,"[KK,[subnn,3],1]",obj_obj,num,program,1.994018861800774,-5.1647859739235145
81,"[B,[mulnn,2],getLength]",obj,num,program,9.768254610626734,-5.501258210544727
82,"[BK,[mulnn,2],getLength]",obj_obj,num,program,1.3219895044565173,-5.501258210544727
83,"[C,[K,mulnn,1],2]",obj,num,program,7.020609538211224,-6.551080335043404
84,"[KC,[K,mulnn,1],2]",obj_obj,num,program,0.36968501744689536,-7.937374696163295
85,"[C,[B,addnn,getLength],1]",obj,num,program,4.731623332849267,-6.887552571664617
86,"[CK,[B,addnn,getLength],1]",obj_obj,num,program,0.6403555839201208,-8.273846932784508
87,"[SB,[K,subnn,3],[KB,getLength,I]]",obj_obj,num,program,0.5258146917489086,-10.219757081839822
88,"[C,[K,addnn,0],2]",obj,num,program,2.8852742549746138,-6.551080335043404
89,"[KC,[K,addnn,0],2]",obj_obj,num,program,0.06238317319620162,-7.937374696163295
90,"[KK,[addnn,0],2]",obj_obj,num,program,0.8455102968829343,-5.1647859739235145
91,"[KK,[subnn,2],0]",obj_obj,num,program,1.165859830154504,-5.1647859739235145
92,"[BC,[K,mulnn,2],getLength]",obj_obj,num,program,0.6037243061426524,-8.273846932784508
93,"[CC,[KK,addnn,2],0]",obj_obj,num,program,0.2731493186498918,-7.937374696163295
94,"[B,[addnn,2],getDot]",obj,num,program,11.770548509949222,-5.501258210544727
95,"[CK,[K,mulnn,1],2]",obj_obj,num,program,0.5804511629005856,-7.937374696163295
96,"[KB,[addnn,2],getDot]",obj_obj,num,program,1.592970516444268,-5.501258210544727
97,"[B,[subnn,2],getDot]",obj,num,program,4.534215321930978,-5.501258210544727
98,"[KB,[subnn,2],getDot]",obj_obj,num,program,0.6136393148493179,-5.501258210544727
99,"[KK,[mulnn,2],1]",obj_obj,num,program,1.4883446329797216,-5.1647859739235145
100,"[KK,getLength,Stone(S0,O0,L2)]",obj_obj,num,program,2.814981196275046,-7.729735331385051
101,"[SC,[KK,subnn,3],getDot]",obj_obj,num,program,0.018315638888734182,-8.273846932784508
102,"[KC,[K,subnn,4],2]",obj_obj,num,program,0.2781068230032245,-7.937374696163295
103,"[BC,[K,subnn,3],getLength]",obj_obj,num,program,0.5537348938297826,-8.273846932784508
104,"[C,[B,addnn,getDot],2]",obj,num,program,3.614603688501388,-6.887552571664617
105,"[KC,[B,addnn,getDot],2]",obj_obj,num,program,0.4891834139714403,-8.273846932784508
106,"[SC,[KK,addnn,1],getLength]",obj_obj,num,program,0.29146495753862595,-8.273846932784508
107,"[CK,[K,addnn,0],2]",obj_obj,num,program,0.3280962353160943,-7.937374696163295
108,"[B,[addnn,1],getLength]",obj,num,program,8.986272159756245,-5.501258210544727
109,"[BK,[addnn,1],getLength]",obj_obj,num,program,1.2161596879818992,-5.501258210544727
110,"[SS,[KK,subnn,3],[KB,getLength,I]]",obj_obj,num,program,0.13781403541327905,-10.219757081839822
111,"[CS,[KK,subnn,2],getDot]",obj_obj,num,program,0.2706705664732254,-8.273846932784508
112,"[KS,[K,subnn,3],getLength]",obj_obj,num,program,0.33057498749276065,-8.273846932784508
113,"[CC,[KK,addnn,0],2]",obj_obj,num,program,0.1536509221253469,-7.937374696163295
114,"[C,[K,addnn,2],0]",obj,num,program,4.614603688501388,-6.551080335043404
115,"[CK,[K,addnn,2],0]",obj_obj,num,program,0.32809623531609433,-7.937374696163295
116,"[KS,[K,addnn,2],getDot]",obj_obj,num,program,0.2964224618919587,-8.273846932784508
117,"[S,[K,addnn,2],getDot]",obj,num,program,2.190282199902815,-6.887552571664617
118,"[BC,[K,subnn,3],getDot]",obj_obj,num,program,0.20859783879154942,-8.273846932784508
119,"[B,[subnn,2],getStripe]",obj,num,program,6.020609538211226,-5.501258210544727
120,"[KB,[subnn,2],getStripe]",obj_obj,num,program,0.8148008971108683,-5.501258210544727
121,"[CC,[KK,subnn,2],0]",obj_obj,num,program,0.1353352832366127,-7.937374696163295
122,"[CC,[KK,subnn,3],1]",obj_obj,num,program,0.03911002995413472,-7.937374696163295
123,"[CB,[K,addnn,2],getStripe]",obj_obj,num,program,0.5646142761885178,-8.273846932784508
124,"[BC,[K,addnn,1],getLength]",obj_obj,num,program,0.36720626527022904,-8.273846932784508
125,"[KC,[K,addnn,1],1]",obj_obj,num,program,0.5487773894764499,-7.937374696163295
126,"[C,[B,mulnn,getLength],2]",obj,num,program,3.4243214885985727,-6.887552571664617
127,"[CK,[B,mulnn,getLength],2]",obj_obj,num,program,0.463431518552707,-8.273846932784508
128,"[CC,[KK,mulnn,2],1]",obj_obj,num,program,0.2731493186498918,-7.937374696163295
129,"[SC,[KK,mulnn,2],getLength]",obj_obj,num,program,0.29146495753862595,-8.273846932784508
130,"[CC,[BK,addnn,getLength],1]",obj_obj,num,program,0.27562807082655816,-8.273846932784508
131,"[KC,[K,subnn,2],0]",obj_obj,num,program,0.30137996624529145,-7.937374696163295
132,"[KC,[K,subnn,3],1]",obj_obj,num,program,0.17444531319074744,-7.937374696163295
133,"[CC,[KK,mulnn,1],2]",obj_obj,num,program,0.0232731432420669,-7.937374696163295
134,"[KS,[K,subnn,2],getDot]",obj_obj,num,program,0.44263712748730644,-8.273846932784508
135,"[S,[K,subnn,2],getDot]",obj,num,program,3.2706705664732256,-6.887552571664617
136,"[CC,[KB,addnn,getDot],2]",obj_obj,num,program,0.3073018442506938,-8.273846932784508
137,"[CK,[K,mulnn,2],1]",obj_obj,num,program,0.20019720860948068,-7.937374696163295
138,"[C,[B,addnn,getStripe],2]",obj,num,program,3.2085978387915497,-6.887552571664617
