,pair_index,agent,recipient,EIG
1,99,"Stone(S4,O4,L1)","Stone(S0,O0,L1)",1.7334234817556697
2,83,"Stone(S4,O0,L1)","Stone(S0,O0,L2)",1.3044371662372005
3,95,"Stone(S4,O3,L1)","Stone(S0,O0,L2)",1.1815089045007254
4,79,"Stone(S3,O4,L1)","Stone(S0,O0,L3)",1.092054688954174
7,75,"Stone(S3,O3,L1)","Stone(S0,O0,L1)",1.0137801899696928
8,59,"Stone(S2,O4,L1)","Stone(S0,O0,L4)",0.9703059466953704
9,55,"Stone(S2,O3,L1)","Stone(S0,O0,L3)",0.8825915544835004
10,39,"Stone(S1,O4,L1)","Stone(S0,O0,L4)",0.872699267424746
13,27,"Stone(S1,O1,L1)","Stone(S0,O0,L1)",0.7746178619435956
14,7,"Stone(S0,O1,L1)","Stone(S0,O0,L4)",0.7146371294810095
15,11,"Stone(S0,O2,L1)","Stone(S0,O0,L2)",0.6950543600834377
17,19,"Stone(S0,O4,L1)","Stone(S0,O0,L4)",0.6573896741226829
